start_time,speaker_label,transcript
00:00,Miss Quarter,"I don't know why you're talking to me that way. And if you keep on, you going to eat cereal, you're not getting none from Taco Bell."
00:05,Miss Quarter,"He got up off the porch and he went to walk this way. I said, where are you going? Wherever I want to."
00:10,Miss Quarter,"I said, no, you're not. You're about to take your back in there and clean your room. And he walked by my door was open. I was just sitting like in my seat smoking and talking on the phone. And he walked by and he slammed my door on my leg first. And I said, okay. And I told my friend, I said, let me call you back in a minute. Let me handle this. So when I went to get out my car, he took off running that way. I said, well, I'm going to give him to the end of the road. Calm down, calm down. And I hollered up the road. You better not go no further than the end of the lane. Well, then I seen him go to turn left. Kirsten started walking behind him. I said, well, I'll wait to order food, whatever. I drove down there. Kirsten turned around and she was walking back this way. As I was driving down there, he was walking up orderly. I got right there. I don't know. A little past that trailer right there. And I stopped my car right there in the middle of the street. And I said, Kenneth. He kept walking. So I drove on behind him and then I parked like down toward the end of the road. I went to get out and he went to run this way. And I said, you better get your behind in my car now. And he was like, you. He ran around my car and like back toward me. And I went to grab him like this. And he started running backwards. And at that point he was like, going backwards toward 204. So I started walking faster toward him and he fell. And when he fell, I don't know. I I seem like a scrape on his arm when we were back there. And I guess he his arm. He started doing like, bam, bam, bam on the ground. And I reached down and I grabbed him by his shirt and yanked him up and then I grabbed him by his arm and I put him in the back seat of my car. Drove down here, we got here. And I said, now get your behind out and go in there. You're not getting no electronics back. And at this point, you're not getting them back at all. Never. You wait till you're 18 years old. me and all that. And that's fine. Say whatever you need to say, but go your to your room. Well, instead of going to his room, he took off that way. He come down, he grabbed him. When he grabbed him, I was like, let me handle it, you know, and he he left. He went walking. And Kenneth was steadily cussing me, cussing me, cussing me. But I know he'll get off, you know what I'm saying? So every time he told me, he said it probably three times. And I backhanded him. I stopped stop calling me that. Stop telling me. I'm your mama. If you want to calm down and talk to me, that's fine. But you're not going to keep disrespecting me. He then started punching me in the side of my face and in my neck here. And I grabbed him by his shirt and I put him on his behind on the ground. Right there. It was right at the steps. That's when Nikki come walking through the woods. He kicked me in my leg a couple of times and I put my foot on him like this. I wasn't stopping him or nothing. I was holding him down like this. And I told him, you better calm down. I will, just let me go. I told Kirsten. He he went in my closet. We had his phone locked in my closet. He went in there and stole the phone the other morning when I took her to school. And we ain't recovered it since. So I told Kirsten, get the phone. So she went and she found the phone and I busted the phone to nothing."
02:56,Officer,Okay.
02:56,Miss Quarter,"It's my phone. I pay for it. And I threw it in the backyard. It's still back there in the backyard to my knowledge. He then told me, I'll calm down. I said, get your up and go to your room and go clean your room. And he said, I will. He as I was leaving, Kirsten was on her bike. She had done drove rode to him. And as I was leaving, I yelled out and told him, go to the house, Kenneth at the house. So I don't know if he ended up sneaking out the back door or what before he made it back here. But I was on the phone with him whenever you pulled up here. To his knowledge, he was still in his room cleaning his room. I don't know what I was going down on down there. I just pulled up on him. He was sitting in the back of the ambulance. I didn't call because I don't never know when y'all are on. Y'all are the only two that ever offer me any kind of assistance. Every other officer that's ever been here tells me there's nothing we can do. I don't know why you're wasting police resources. Find figure out something else. You two are the only two that will have ever offered it. He's got a mental health appointment tomorrow. And I will be requesting that he be put in impatient. She wanted to impatient him around Christmas and I refused to let her do it because it was Christmas time. But I've had enough. He he keeps a knife in his bedroom. He's threatened to come and me in the middle of the night. He's out of control and I I know things are different than when we were kids. My mama could literally me. And and bring me back to life and want to be done about it. And it's different. But it ain't going to be that different. He ain't going to be all of you with that I don't even know if I mentioned to you the other day. He's got some girlfriend on this road blocks, I think it's called. And I deleted that off the tablet. And she's in another state. He loves her and they're going to be together and they don't care what their parents say and if they have to and that's why we don't know what's going on down here, but Right. Did he try to hop a train because that's what he threatened to do. He's going to get on the train and he's going to go and find her and they're going to live happily ever after as hobos. I just told you when he first went back there, he grabbed him like this. So that I could get to him and I told him, let him go. I'll handle it and he left."
04:22,Officer,Roblox.
04:23,Kenneth,is what it's called. I'm not sure. But it's some video chat like.
04:36,Kenneth,"we don't know what's going on down here, but"
04:38,Officer,Right.
04:39,Kenneth,Did he try to hop a train because that's what he threatened to do. He's going to get on the train and he's going to go and find her and they're going to live happily ever after as hobos.
