start_time,speaker_label,transcript
00:00,[Bystander],"Hey, chill then."
00:01,[Bystander],Leave the truck.
00:02,[Bystander],Make sure you take care of your pants.
00:03,[Bystander],I'm going to get butt naked now.
00:06,[Police Officer],What did this guy look like?
00:10,[Witness],"He was African-American, I think. Light skin. Light skin. Um, a black puffer jacket, bald, no teeth, toothless."
00:17,[Police Officer],So he homeless guy comes in and says I want I need to borrow a phone.
00:19,[Witness],"Yeah, jumps over the counter and says I need a phone, the police are after me."
00:23,[Witness],I said we can't help you here. You can take because there's a front entrance and a back entrance.
00:28,[Witness],As you can take that back door right back out and find some help somewhere else.
00:32,[Witness],"He said, why not, man? Why not, man? I said, please leave."
00:36,[Witness],"He reaches over the counter, grabs her phone."
00:39,[Witness],"She screams, give me my phone. He starts looking towards the back exit. We run after him."
00:46,[Police Officer],So you went after the back exit.
00:47,[Police Officer],Okay.
00:47,[Police Officer],The last place that we saw him was above like by that power line.
00:52,[Police Officer],Let's find out if he's still up there.
00:54,[Police Officer],The drone.
00:55,[Police Officer],Same 14. He's uh he's got like a piece of electrical wire and he's been breaking windows on that building that's on the uh
01:01,[Police Officer],And so he's standing on the ledge right now.
01:04,[Police Officer],What happened?
01:05,[Bystander],"You got needles, they're breaking."
01:06,[Police Officer],You got where?
01:07,[Bystander],I think it will be.
01:09,[Police Officer],Okay.
01:10,[Bystander],Get that thing off me. Get that thing off the window.
01:14,[Bystander],I know I made mine.
01:16,[Police Officer],That wood is going to break and you're going to fall.
01:18,[Narrator],"With a suspect who's potentially under the influence, getting him down safely before he hurts himself or someone else will prove challenging."
01:26,[Police Officer],Another unit coming in. I need you on the main street side. That's another entrance you can get into another set of buildings.
01:36,[Suspect],I want to go to the fucking my ball. What's in here?
01:39,[Suspect],"Don't worry about it. Give my ball, please."
01:42,[Police Officer],"Well, I think he's hanging on the wires."
01:44,[Police Officer],"Hey man, we don't want to do this. Come on, dude."
01:46,[Police Officer],"Are you talking, you talking?"
01:47,[Suspect],No.
01:48,[Police Officer],You're going to fall here.
01:49,[Police Officer],"All right, anybody climbing in?"
01:50,[Suspect],I think you're out there.
01:51,[Police Officer],"Come on, man."
01:52,[Police Officer],You got a reach position.
01:54,[Police Officer],Keep going.
01:55,[Suspect],I'm going down.
01:56,[Police Officer],It's fine.
01:57,[Police Officer],It's fine.
01:58,[Police Officer],Come on. We'll try to keep talking to you guys. Get him out here. Will you not go over there if we stop talking to you?
02:06,[Police Officer],"Hey, who's down there with you?"
02:08,[Police Officer],I don't know if he's going to make it across. He's trying to climb across right now. The wires.
02:12,[Police Officer],Bring the truck.
02:13,[Police Officer],I don't know.
02:15,[Police Officer],I don't know.
02:17,[Bystander],"Hey, chill then."
02:19,[Bystander],Leave the truck.
02:20,[Bystander],Make sure you take care of your pants. Make sure you spend time.
02:23,[Bystander],Something going on.
02:23,[Bystander],I think it's reasonable.
02:25,[Bystander],It's very important.
02:27,[Bystander],It's a rush.
02:28,[Bystander],engine up.
02:29,[Bystander],He's already passed you.
02:34,[Bystander],"Stop, stop, stop, stop."
02:36,[Police Officer],"If he gets here, we're going to handle real quick."
02:38,[Police Officer],Cuz it's going to be a fight and it's going to take all those people a little bit to get up here.
02:41,[Police Officer],Okay.
02:42,[Police Officer],And then trying to get him down. I don't know how we're going to do that.
02:43,[Police Officer],Sounds good.
02:44,[Police Officer],Just let's just try to get him secured if he does get to the side.
02:47,[Suspect],I got sigs if you want some sigs.
02:50,[Suspect],I got one.
02:51,[Bystander],He gives me one.
02:52,[Suspect],"I'll give you one if you come down, dude."
02:55,[Suspect],"I promise, I got him in my bag."
