start_time,speaker_label,transcript
00:00,[Arrestee],these fingers right here?
00:01,[Police Officer],Yeah.
00:02,[Arrestee],Both of these pinky and the other one are are still numb because of it.
00:05,[Narrator],He continued to ask the officers for a cigarette.
00:07,[Police Officer],"Nothing on you, nothing in your pockets?"
00:08,[Arrestee],Oh man. I I can you go get a cigarette off of her? Or something so I can try try to smoke a cigarette before I get locked up.
00:11,[Police Officer],Uh right now.
00:14,[Arrestee],"I didn't I didn't resist or nothing, did I? You gonna have to tell them, man. I got them on my hands."
00:19,[Police Officer],"Uh right now we're trying to figure some things out, so right now we're just gonna have to wait."
00:21,[Arrestee],"Figure things out is I'm about to get arrested. I I got warrants, I got this, that and the third. I just want to smoke a cigarette. That's it, man."
00:26,[Police Officer],Nothing in nothing in your waist.
00:28,[Arrestee],Oh man. No. You can sit in the back of the cruiser for now.
00:29,[Police Officer],Yeah.
00:30,[Arrestee],"Last time I heard that, you didn't get to smoke a cigarette, man."
00:32,[Police Officer],"We can't. Oh, our policy is you have to be hands out behind your back."
00:35,[Arrestee],"Oh, I mean my hands could be on my back if I smoke cigarettes. Like shit, I can smoke both at the same time, man. I I literally just want to smoke a cigarette. That's all I want to do, man."
00:43,[Police Officer],Okay.
00:43,[Arrestee],"Cuz I already know I'm going to jail for a long, long time."
00:46,[Police Officer],"Okay, just that from me real quick, okay?"
00:47,[Police Officer],"Well, that that guy's not going to come back tonight. So he's going to have to take a ride with us. Um, are you guys able to email that video?"
00:54,[Bystander],Okay.
00:55,[Police Officer],Or how do you usually give it to us?
00:56,[Bystander],"Uh, email."
00:57,[Police Officer],"Email, okay. Can you just send it to that email on that card? R Miller at Streetboro police.com."
01:02,[Bystander],Okay.
01:02,[Police Officer],"Yep. Um, just whenever you get the chance. Okay. And then we'll uh we'll go tell her."
01:07,[Arrestee],"I told you what I'm going to do, bro. Hopefully I'll bleed to death. Cuz that's what I'm doing right now. Hopefully I'll bleed to death. You out? You out? Hopefully I'll bleed to death. Take me down there. I'm telling you, bro. I'm over with it."
01:31,[Arrestee],Stop!
01:32,[Arrestee],Stop!
01:34,[Arrestee],"Hey! I'm going to kill myself, bro. Stop! Stop! Stop! I'm going to kill myself, bro. Stop! Stop! I'm going to kill myself! Stop! Stop! I'm going to kill myself! Stop! I'm going to kill myself! Stop! I'm going to kill myself! That's why I want to die. That's why I'm trying to set myself on fire. That's my tag. Hopefully I do it."
01:57,[Police Officer],Hey! Hey!
01:59,[Arrestee],"Shoot me, dude."
02:01,[Police Officer],Nope.
02:02,[Police Officer],Ain't going to happen.
02:03,[Arrestee],Shoot me.
02:03,[Police Officer],Not going to happen.
02:04,[Arrestee],Kill me.
02:05,[Police Officer],Hey!
02:06,[Arrestee],"We y'all only want to realize, huh? Y'all only realize, huh? That should out of van, right? I'm going to get out of van. Try to kill me then. Try to kill me. I I I that's what I wanted to be anyway."
02:17,[Arrestee],"Come on, man. My hands are hurting. Oh my God, my hands are hurting, bro. They're killing me, bro. I'm sitting on them. I'm not even on the seat, dude. That's what I that's what I'm saying my hands, dude. I just want to sit here. I go to jail, bro."
02:21,[Police Officer],We're going to get you. Just got to calm down.
02:33,[Arrestee],"I can't do that, man. I can't do that, man. My my hands, bro. My hands hurt. They're already numb. From these two pinkies. This one and this one already numb."
02:44,[Police Officer],"Lean over to the right, buddy. Lean over to your right. There you go. Kick your legs out straight."
02:47,[Arrestee],"My legs fall off. My legs fall off, man. My my leg my arms can't really take that."
