start_time,speaker_label,transcript
00:01,[Voice 1],何これ?
00:13,[Voice 1],何これ?
00:15,[Voice 1],え?
00:20,[Voice 1],鍵が かかっ て ます ね。
00:30,[Voice 1],何だろうこれ全然わかんないな。
00:50,[Voice 1],ええ。
01:14,[Voice 1],何のために作ったのこんなの。
01:31,[Voice 1],あそこ に 扉 ある ん だ けど。
01:37,[Voice 1],Google 写真 で 見る 限り ね 、 この 穴 が 開い て て
01:42,[Voice 1],多分 ね 、 雨水 が 出 て き てる と 思い ます。
01:48,[Voice 1],この はしご の 下 に ね
01:51,[Voice 1],なんか あり まし た。
02:05,[Voice 1],ある けど 何 も 書い て ない。
02:33,[Voice 1],いや 、 それ に し て も ね 、 景色 が すごい ね。
02:39,[Voice 1],うわあ。
02:52,[Voice 1],なんか ここ に ね
02:56,[Voice 1],書い て ある ん です けど ね。
03:03,[Voice 1],昭和 51 年 4 月 1 日
03:09,[Voice 1],え ? 昭和 81 年 ?
03:14,[Voice 1],昭和 81 年 ?
03:17,[Voice 1],え ? どう いう こと ?
03:35,[Voice 1],日本 道路 公団 って 書い て ある ね。
