start_time,speaker_label,transcript
00:00,Officer Deliry,I didn't ask to go into your back. So relax.
00:04,Officer Deliry,"God, I wish I had you on camera."
00:06,[Detained individual],"You understand you are under investigation, right?"
00:09,Officer Deliry,I literally couldn't give a less about you.
00:13,[Detained individual],Yeah. So you can.
00:15,Officer Deliry,Okay. And I will leave after you tell me to leave.
00:19,[Detained individual],Okay.
00:20,Officer Deliry,Can I leave?
00:21,[Detained individual],Nope.
00:22,[Narrator],"On March 9th, 2024, officers responded to an international airport after a 14-year-old girl reported to a flight attendant that the man seated next to her had touched her thighs. As the plane was taxing on the runway, it was diverted back to the gate where the man was confronted and detained for questioning by police."
00:40,Officer Deliry,You mind turning on?
00:42,Officer Deliry,"Um, this one's to court this morning."
00:45,[Detained individual],Uh-huh.
00:46,Officer Deliry,"And for your safety and you guys are now, please do not leave."
00:50,[Detained individual],He said aggressive.
00:52,Officer Deliry,Such items.
00:53,[Detained individual],Okay.
00:55,[Airport announcement],luggage inspected by the.
00:56,[Detained individual],"You have an idea on your back shots, box?"
00:58,Officer Deliry,I do.
00:59,[Detained individual],"It's okay, man."
01:00,Officer Deliry,"No, okay."
01:01,[Airport announcement],The checkpoint for Hawaiian Airlines is located in lobby one. The USDA checkpoint for is located in lobby two.
01:07,Officer Deliry,They don't have my information. You don't need that.
01:10,[Detained individual],"Oh, okay."
01:14,[Detained individual],"Man, man, where are you going?"
01:16,Officer Deliry,"Have a seat. No, just have a seat."
01:17,[Detained individual],What do you mean?
01:18,Officer Deliry,"I'm telling you, just have a seat. Hang on."
01:19,[Detained individual],So I'm I'm the kind.
01:22,Officer Deliry,"You're being detained. Yeah, we're on the investigation."
01:23,[Detained individual],I'm detained.
01:24,Officer Deliry,"Yes, sit down."
01:25,[Detained individual],"Okay. Well, well, thank you for."
01:28,Officer Deliry,Just just relax.
01:30,[Detained individual],Can you have this guy relax?
01:33,Officer Deliry,Huh?
01:34,[Detained individual],Can you have this guy relax?
01:35,Officer Deliry,"I'm very relaxed, but you need to just hang out right now. I can't just be walking around."
01:39,[Detained individual],What do you think? What do you mean? I'm a fucking normal kind of fucking guy that just fucking just.
01:46,Officer Deliry,What do you mean?
01:47,[Detained individual],Nobody's swearing around here.
01:49,Officer Deliry,Just just relax.
01:53,[Detained individual],"Oh God, first of all, God, you guys should."
01:55,Officer Deliry,Like actually like.
01:58,[Detained individual],Please don't put gloves on me.
02:01,Officer Deliry,I'm not going to I'm not going to.
02:02,[Detained individual],"No, you're you're fine. Just just chill out right there. You're fine."
02:05,Officer Deliry,"Yeah, you're you're fine right there."
02:10,[Detained individual],It's fucked up.
02:12,Officer Deliry,"Yes, I can say."
02:16,[Detained individual],Fucked up.
02:19,Officer Deliry,I went to court over in the corner.
02:22,[Detained individual],It's hilarious.
02:24,Officer Deliry,Over a fucking you guys having a fucking.
02:32,[Detained individual],"Well, you don't know what you're talking about. We're we're not Kona officers. We're we're Hilo officers. So whatever happened over there is different officers. It's a different district, huh?"
02:41,Officer Deliry,"Yeah, no, it's the same kind."
02:44,[Detained individual],You guys are really like I and mighty. This guy just wants to like beat somebody up. You're actually kind of cool. And I just got to have a plan for.
02:55,Officer Deliry,"What what what is your name, sir?"
02:58,[Detained individual],I don't ask.
02:59,Officer Deliry,Okay. That's fine.
03:02,[Detained individual],Well just but I'm sure this guy will fucking rough me up.
03:06,Officer Deliry,"No, we're we're not about that. My name is Officer Deliry. My my my name is Officer Deliry. Just chill out. If everything checks out, then you'll be free to go, but right now we're conducting an investigation."
03:18,Officer Deliry,"Okay. Well, that's what we're trying to that's why we got called down here. So we're just trying to determine why it is that we got called down here. We just got to address the situation, huh?"
03:28,[Detained individual],You just got to address the situation.
03:32,[Detained individual],This guy's he's got on steroids.
03:37,[Detained individual],"Seriously, bro."
03:39,Officer Deliry,I heard it all already.
03:40,[Detained individual],"No, no, I I heard it all."
03:41,[Detained individual],I see it in your forehead and your fucking face. I know what you're doing.
03:45,Officer Deliry,I appreciate it. Thank you.
03:46,[Detained individual],"No, I it's not rocket science. I see it."
03:52,Officer Deliry,We're not making any those kind of remarks are unnecessary.
03:55,[Detained individual],But I can't.
03:56,[Detained individual],You guys already like marked me.
04:00,[Detained individual],Steroid.
04:02,Officer Deliry,"Like like I said, it's unnecessary."
04:05,[Detained individual],We're not normal.
04:06,Officer Deliry,Those kind of remarks are unnecessary. Just let us do our job.
04:09,[Detained individual],You guys you guys do not know that. There's no way you can see that.
04:13,Officer Deliry,We're not talking about.
04:14,[Detained individual],You don't care because I can say anything I want to. He's on steroids.
04:19,[Detained individual],Like big time. You guys don't see that.
04:24,[Detained individual],"It's in your forehead, bro."
04:26,Officer Deliry,I appreciate it.
04:27,[Detained individual],Everything.
04:28,Officer Deliry,It's a compliment.
04:29,[Detained individual],It's not a compliment. It's you cheating and on steroids.
04:35,Officer Deliry,"I'm unbothered by it, my man."
04:37,[Detained individual],I don't give a fuck.
04:38,Officer Deliry,We're just not going to let you walk around because we're doing an investigation.
04:41,[Detained individual],Yeah.
04:42,Officer Deliry,That's the point.
04:43,[Detained individual],I got you.
04:44,Officer Deliry,I'm not fighting.
04:45,[Detained individual],You said you are right now.
04:47,[Detained individual],And I have this steroid motherfucker like over.
04:52,Officer Deliry,We're not making any unnecessary.
04:55,[Detained individual],"No, I am because I can because I'm a free American."
05:00,[Detained individual],"Yeah, no, I got you."
