start_time,speaker_label,transcript
00:02,[Officer],"Who are you, sir? Hello."
00:04,[Driver],What's up?
00:05,[Officer],What's the rush?
00:06,[Driver],"Um, I'm just trying to get to work. I have a personal training session."
00:10,[Officer],"So, you're doing 96."
00:13,[Driver],I was not aware I was doing 96. I had the cruise control set at 85.
00:18,[Officer],"I mean, okay, even let's give you the difference. Say you were doing 85, that's still 35 miles an hour the speed limit."
00:24,[Driver],I understand that.
00:24,[Officer],"But like I said, I I got you on radar doing 96."
00:27,[Driver],"Okay, what? So, when did you clock it?"
00:30,[Officer],"Right as you're coming over the crest of the hill. Okay, you're not."
00:32,[Driver],I'm not truck for a while and then you
00:35,[Officer],Truck truck was doing 74.
00:38,[Officer],"Okay. You were doing 96. I need your driver's license, registration, proof of insurance."
00:42,[Driver],"I don't have my physical driver's license. It's it's in the mail on the way to me. Um, I have a passport."
00:51,[Officer],"Okay, you can't drive a car then until you have your license on you."
00:55,[Driver],"Okay. Well, if you want to give me a ticket for that too, go right ahead, sir, but I'm just a girl trying to get to"
01:01,[Driver],Sorry.
01:02,[Officer],"Oh, you say that, but you're putting everybody else at danger, so I I don't think that attitude's going to help your situation, okay?"
01:07,[Driver],"The last time I was pulled over by a cop, they pulled over two people at one time in the middle of the road. So I'm sorry. And he came up to the car and put his hand on his gun. So I'm sorry if I seem a little out of out of sorts right now."
01:20,[Officer],"I got you. I'm not them. Obviously, I'm not done any of that stuff."
01:24,[Driver],"Yeah, that's not. Yeah, that's not."
01:26,[Officer],Do you have your registration paperwork?
01:28,[Driver],Yes.
01:29,[Officer],"All right, hang tight back with you in a few."
01:33,[Officer],"Take your time, take your time, ready."
01:44,[Officer],"All right, ma'am, I need you to hop out of the vehicle and come around to the back of your trunk with me."
01:47,[Driver],What?
01:48,[Officer],I need you to step out of the vehicle and come around back to your trunk with me.
01:50,[Driver],Why?
01:51,[Officer],Because we're going to take care of paperwork back here.
01:53,[Driver],What paperwork?
01:54,[Officer],The paperwork I'm about to provide you back here.
01:56,[Driver],"Okay, why?"
01:57,[Officer],Because I'm giving you an order to.
02:00,[Driver],I I just didn't know like I I don't know why I need to get out of the car. Why do I need to get out of the car?
02:08,[Officer],"Because I have paperwork to take care of and for my safety and for convenience, it's taking care of back here."
02:17,[Officer],"Hey, Shade, can you pull up here with me?"
02:21,[Passenger],"Can I get out as well, sir?"
02:22,[Officer],"No, ma'am."
02:24,[Passenger],Why?
02:25,[Driver],I just want to stand with
02:26,[Officer],"Okay, I I'm not going to have a bunch of people on the side of the Gandy Boulevard. It's a safety issue, okay? This isn't that big of a deal."
02:32,[Driver],"Sorry. If you're okay, if you're telling me this is not that big of a deal, if you physically see me that I'm like"
02:41,[Officer],"It's not that big of a deal, but you are making it a big deal. Yes. I'm asking her to simply do something that I ask people to do every day."
02:47,[Officer],And I told you it's because it's for my safety. This is where I conduct this type of paperwork at is at the back of your vehicle.
02:53,[Driver],I've never been asked to get outside of my car before.
02:55,[Officer],"Well, today you are."
02:58,[Driver],Sorry.
03:00,[Officer],"At this point, you need to step out of the vehicle because I am giving you an order to do so."
03:07,[Driver],Excuse me.
03:09,[Officer],"Right around back here, please."
03:14,[Officer],Want to turn the face me so I can explain some things to you?
03:17,[Driver],Sure.
03:17,[Officer],Fantastic. Your driver's license is suspended.
03:20,[Driver],It's not. I'm You failed to pay a traffic citation out of Pasco and they suspended it on the 19th.
03:21,[Officer],You failed to pay a traffic citation out of Pasco and they suspended it on the 19th.
03:24,[Driver],I had six months to pay that ticket. Your driver's license is actively suspended.
03:26,[Officer],Your driver's license is actively suspended.
03:28,[Driver],The person told me that I had six months to pay that ticket. I actually reinstated my license a few months ago. Got that handled.
03:38,[Driver],And now you're telling me that my license is suspended and I haven't received notification of this.
03:44,[Driver],"And I know this isn't your fault, sir, but I haven't been going through a lot lately."
03:50,[Officer],"So I understand all that, but here are the simple facts today, okay? You don't have a license on you. It's the system, which is real time."
03:57,[Officer],"It is showing us suspended and that's what I have to go by. If there's a clerk or something like that, that is something that you're simply going to have to take care of at a later date in court."
04:06,[Driver],So what happens now?
04:07,[Officer],So I'm about to issue some notices to appear for court in lieu of making a physical arrest and taking you to jail because I don't want to do that.
04:13,[Officer],"All right, but you can't drive this car. If she has a valid license, she's the one that needs to take over, but she'll take over for you."
04:18,[Officer],"But you're going to have a court date that you're going to have to appear for, okay? The court date is going to get mailed to you. You're going to have a court date for driving with suspension and for your speed for doing 96 in a 50."
04:31,[Officer],"If you don't hear anything from the court in the next 30 days, the recommendation I tell everyone is, make sure you call the County clerk of court because you miss this court date for any reason, they will issue a warrant for your arrest, okay?"
04:44,[Officer],"I'm going to need a couple of things from you. First is going to be a signature at the bottom of both these citations next to the blue X. It's not admission of guilt, simply saying you're aware you're going to receive a court date in the mail and you promise to appear for it."
04:56,[Officer],"All right, I'm going to go ahead and crumple these up. I'm going to go print out a new copy. If you don't properly sign the citations, ma'am, I will be forced to make a physical arrest, okay? So I'm going to give you one more opportunity to comply."
05:07,[Driver],"You physically saw me sign those, correct? And that counts as a signature, correct?"
05:12,[Officer],"No, that's not a signature."
05:14,[Driver],"Anything from pen to paper, you physically see me sign, that is my signature. It does not have to be legible."
05:20,[Officer],Okay.
05:22,[Driver],"You have nothing else to say. It's not a signature, says who?"
05:27,[Officer],Okay. He's trying to work with you. I don't know why you're not. Why are you interrupting?
05:30,[Driver],I'm right now. And you made me get out of the car. You handed them to me and I could have signed them in the safety of my car.
05:39,[Officer],"You want me to say something and then you interrupt me, so I'm not going to say anything."
05:45,[Driver],"You don't even allow my wife to get out with me. Like, are you kidding me?"
06:04,[Officer],"All right, ma'am. So again, your signature is as it appears on your driver's license. This is not admission of guilt. This is simply an acknowledgement that you're aware you're going to receive a court date in the mail."
06:12,[Driver],I got this 10 years ago.
06:13,[Officer],"So, simply just need your compliance."
06:18,[Driver],Do you want to see my actual signature?
06:21,[Officer],"All right, go ahead and turn around, please, hands behind your back for me."
06:23,[Driver],"I'm not, please, baby!"
06:27,[Officer],Stay there. Stay there. Stop. Stop.
06:34,[Officer],Stop.
06:37,[Officer],"1061015, I got to get a cage cruiser."
