start_time,speaker_label,transcript
00:00,[Dispatcher],Charlie 2314.
00:03,[Deputy],Where you going to stop at?
00:04,[Dispatcher],21.
00:05,[Deputy],Where you going to stop?
00:06,[Dispatcher],Charlie 231.
00:08,[Deputy],They slow down like they was going to stop and they continued on like they not going to stop.
00:13,[Deputy],"Okay, so."
00:15,[Deputy],Two.
00:15,[Dispatcher],Charlie 231.
00:18,[Deputy],"Oh, you got to stop. They're not stopping. What is going on?"
00:22,[Deputy],"Wait, where are you going? You passed multiple chances for you to stop your car."
00:28,[Dispatcher],Charlie 211.
00:30,[Deputy],"And then they put their hand up like, oh yeah, follow me. No. Pull your car over."
00:35,[Deputy],"They're still driving. Okay, this they don't work like that. You need to stop your car when my lights go on."
00:44,[Narrator],"As the deputy followed, the vehicle turned into a neighborhood and she saw the driver toss a yellow plastic bag out of the window."
00:51,[Deputy],"Oh no. Oh, they lost."
00:54,[Dispatcher],Charlie 231.
00:55,[Deputy],Tried to stop for flag back. The vehicle's not stopping. They threw something out of the window.
01:01,[Deputy],I'm currently on Underwood and undermount.
01:03,[Dispatcher],"Charlie 2314, Charlie 2240, Charlie 2523."
01:08,[Deputy],Hello. Who else is in the car?
01:11,[Driver],Just me.
01:12,[Deputy],Huh?
01:13,[Driver],Just me.
01:14,[Deputy],"Okay, so why didn't you stop?"
01:16,[Driver],I was on my way to come pick up my kids and I.
01:19,[Deputy],"Yeah, but if the lights come on, you hear my sirens, you stop your car. You don't keep driving. Anybody else in the car?"
01:26,[Driver],"No, ma'am."
01:27,[Deputy],"Shut your door. Charlie 224, 223 direct. It's a yellow bag on the road. Once you come on to the um, I don't even know where I'm at right now. One second. You have your driver's license on you?"
01:39,[Deputy],10-4. You should see a yellow bag on the floor.
01:42,[Deputy],Is this your vehicle?
01:43,[Driver],"Yes, ma'am."
01:44,[Deputy],Okay. It's registered to you?
01:46,[Driver],"Yes, ma'am."
01:47,[Deputy],"Listen, next time, just"
01:49,[Driver],I'm sorry.
01:49,[Deputy],"It was simply you didn't, you're not allowed to turn onto that roadway because it's avoiding a traffic control device. You would have stopped. I would have simply said, hey man, you're not allowed to do that. License, registration, have a nice day."
02:04,[Deputy],"I understand that. Like you could have told me that when I came to the car, you know what I'm saying? You didn't make it any easier by believe like you kept driving, then you kept picking up the pace. Like what does that lead me to think?"
02:17,[Driver],That's why I reached out my hand was pointing that I'm going to get ready to stop.
02:21,[Deputy],"I understand. Do you have anything lift your shirt, anything, spin around, lift your shirt all the way up so I can see. Turn around to the front. Charlie 224 flag, copy of Florida 227. It's no, you just have to wait until my stop is complete because we we've passed that point. If you could just come back over here."
02:37,[Deputy],"Anything in your car, like anything that I should be worried about?"
02:42,[Driver],"No, ma'am."
02:43,[Deputy],"Okay, cuz when I cuz when I when you turned on this street, you threw something out the window. What was that?"
02:47,[Driver],What did you throw out the window?
02:48,[Deputy],"What did you throw out the window? When we turned on this road, you threw something out of the window. What was that?"
02:54,[Driver],Okay.
02:55,[Deputy],Just weed?
02:56,[Deputy],Keep your hands where we can see it.
02:58,[Deputy],Like just weed? Are you serious?
03:01,[Driver],I got a I got a situation where I'm going to trial and
03:04,[Deputy],"But if you would have stopped your car, I promise you, bro. It wouldn't have been nothing else. You would have just stopped your car. I would have said, hey, you can't cut through there. Here's a verbal warning. Have a nice day."
03:19,[Driver],Thank you.
03:20,[Deputy],"Like you you got me up in arms like what the fuck is going on? Like why is he not stopping? It's it's not that. Anytime lights come on, I'm hitting my sirens. You kept going and you picked up pace."
03:35,[Driver],"Cuz I was thinking like, oh, this ain't for me. Then I know, then I like, dang, I just saw two of them over there. I'm like, is that a legal turn? That's why I was like wondering what the road that I was going on."
03:47,[Deputy],"Yes, it was illegal. But I wasn't going to hit you with anything like I was simply going to say, hey, verbal warning, next time, don't go through there. But now you're throwing shit out the window. I don't know what that is. You know what I'm saying? So now, you know what I have to do now? I have to search your damn car. What's in the car? Anything in the car before we go in the car?"
04:10,[Deputy],Step back here with me.
04:12,[Deputy],Do you have any weapons or anything on you?
04:13,[Driver],"Um, cuz he was down the road or something?"
04:15,[Deputy],It's down there. I saw him.
04:17,[Driver],Did he is he coming?
04:18,[Deputy],I'm sure he is. No. Stay right here. We'll get with them in a second.
