start_time,speaker_label,transcript
00:00,[Interviewer],"All right, you have the right to remain silent. Anything you say can and will be used against you in a court of law. You have the right to talk to a lawyer and have him present with you while you're being questioned. Do you understand each of these rights I've explained to you?"
00:11,[Interviewer],"Okay. Having these rights in mind, do you wish to talk to us?"
00:14,[Interviewer],"Okay. Perfect. So, we're here today because obviously we got reported an incident. Um that there may have been some unwanted touching that occurred during one of your your visits with the patient. Um during that visit, whenever you were saying goodbye, um what was that encounter like?"
00:32,[Physician],"Um nothing special, man. And uh some axillary shoes, so I checked that and that's it."
00:39,[Interviewer],"Okay. I'm going to get a little more specific because I'm I'm trying to get like you, you know, explain to me. Um so whenever you were saying goodbye, at any point in time, did you you know, pull her in when you hugged her?"
00:51,[Interviewer],No. You didn't kiss her on the lips?
00:53,[Physician],Absolutely no.
00:54,[Interviewer],Okay. Oh my God.
00:55,[Interviewer],So you didn't hug her at all?
00:56,[Physician],No.
00:58,[Interviewer],You didn't even touch her?
00:58,[Physician],No. I did only the exam with the gloves on. That's it.
01:03,[Interviewer],"Okay, so how'd you how'd you leave? Did you just say goodbye?"
01:07,[Physician],I shook hands and said goodbye. That's it.
01:10,[Interviewer],"Okay. Well, we're getting a whole different story. Obviously, I'm not I'm not saying you're lying or anything. Um but if it comes down to that and you are lying, you understand there's severe consequences for that, right?"
01:22,[Physician],Yes. Okay.
01:24,[Interviewer],So is there any reason why she would be saying these things?
01:28,[Physician],"I think she has uh fibromyalgia and pain all over and I don't know why she's saying that, but I only did the exam. Like a physician, I'm supposed to do."
01:39,[Interviewer],"Okay. At any point in time, were you asking her uncomfortable questions that were out of ordinary for what you normally ask other patients?"
01:46,[Physician],Nothing. No.
01:47,[Interviewer],"No, you're not asking her about her life, if she's married, nothing like that."
01:52,[Physician],Nothing. I don't have any reason to ask.
01:55,[Background voice],"7105, go ahead."
01:56,[Interviewer],"Okay. Because obviously people don't just make these things up, right? I'm not saying that it doesn't happen, but her her emotional state is very heightened right now."
02:05,[Physician],"I don't know why, but I did the exam, the axilla because the CT scan showed she has lymph nodes in the axilla and I checked as a physician and it is there. So I told her to see a primary care doctor."
02:18,[Interviewer],"Okay, was there anyone else in the room with you during this?"
02:20,[Physician],No.
02:21,[Interviewer],"No, just you."
02:22,[Physician],Yeah.
02:22,[Interviewer],Are there any cameras in these rooms?
02:24,[Physician],No. I don't think so.
02:26,[Interviewer],"Are there any cameras in the hallways, maybe capturing you guys leaving?"
02:29,[Physician],No. No.
02:30,[Interviewer],You don't have any interior cameras in the building.
02:33,[Interviewer],Do you have any idea?
02:34,[Physician],"Yes, ma'am."
02:35,[Physician],"Fibromyalgia and there's a lot of stuff, you know."
02:38,[Interviewer],What what is that? You're going to have to help me understand.
02:40,[Physician],"It's an autoimmune disease that can affect the brain, your state of mind and all these things."
02:45,[Interviewer],"Are you able to write it down for me? Print it out. I I don't yeah, I don't know what that is."
02:52,[Physician],"Yes, I can bring you a chart."
02:54,[Physician],"All these things called lupus, fibromyalgia, depression, anxiety."
03:00,[Interviewer],And these are all what she has.
03:01,[Physician],Yeah.
03:02,[Interviewer],Is it diagnosed? Is there like a medical chart?
03:05,[Physician],"Yeah, it's I don't do that, but it is she had it for years and years and years."
03:11,[Interviewer],"How do you normally say goodbye to people? I'm I'm because I know every doctor's different, like my doctor's super friendly. I'm I'm"
03:16,[Physician],"Yeah, I I know. Sometimes shake, most of the time shake hands and say goodbye and you know, that's it."
03:23,[Interviewer],I guess I'm just trying to figure out what exactly happened today.
03:25,[Physician],"Sometimes some people want to hug me, but if they start that, I will do that. I normally say goodbye and shake hands and that's it."
03:34,[Interviewer],"Okay, how'd you say goodbye to her?"
03:36,[Physician],"I shook hands, I told her."
03:37,[Interviewer],"You shook her hands. Never hugged her, never kissed her?"
03:41,[Physician],No. No. My God.
03:42,[Interviewer],Because that would be out of
03:43,[Physician],"Yeah, I know. I would not do that. Yeah, I didn't do that."
03:46,[Interviewer],Okay. That would not be in line with what you normally do.
03:49,[Physician],Absolutely. Okay.
03:50,[Interviewer],Have you ever been arrested for anything or been or has any other inappropriate accusations been against you ever or that you ever?
03:56,[Physician],Never. Never. I've been a physician since 2000.
