start_time,speaker_label,transcript
00:00,[Female suspect],"I personally think that she is drunk. And so because I've dealt with her while she was drunk. And so I was like, dude, like now it's not the time to be calling people saying."
00:06,[Female suspect],It's not true. And so I was trying to walk after her because she's obviously mad.
00:10,[Police officer],But she's like all the way on the other side of the building and you run down to her and you guys meet up down there and then you guys start fighting.
00:17,[Female suspect],Yeah.
00:18,[Police officer],"So, you start fighting there and then she runs away, she moved goes back to the car and then you guys start fighting again. And then she drives away, parks over there and then you get back out and then you guys start fighting again."
00:34,[Police officer],Did you have any like injuries or visible marks on you?
00:36,[Female suspect],I'm good. It wasn't I'm telling you it wasn't it was a petty sissy fight. It wasn't hard punches or anything like that. It wasn't anything serious like.
00:43,[Police officer],Mhm.
00:44,[Police officer],But I can tell you instigated it. Like who started the physical part of it?
00:50,[Police officer],"Uh, can I check your eyes real quick? I just need to make sure you're all right to drive."
00:53,[Female suspect],Oh yeah. So.
00:54,[Female suspect],"They're a little like watery, but."
00:56,[Police officer],"That's all right. So, um, have you suffered any head injuries recently, like serious?"
01:01,[Female suspect],"No, I mean she hit me pretty hard, but I mean I don't know. I don't know."
01:04,[Police officer],"Yeah, I saw it on the camera, so I saw everything that happened."
01:06,[Police officer],"So, you together arms down by your side just like that for me. Stare at the green light. All right. Stay in that position. Follow this light with your your eyes and your eyes only, okay?"
01:16,[Police officer],Just your eyes.
01:17,[Female suspect],"Oh, sorry."
01:28,[Police officer],Good.
01:30,[Police officer],So you had one of the big margaritas?
01:32,[Female suspect],"I guess so, yeah, we they came out with them. I didn't think it was going to be that big. Yeah, they were pretty."
01:36,[Police officer],"All right, what I'm going to have you do. Can you flip the camera on in that car? All right. Come on over here. So just stand right over here for me. So, what I'm going to have you do is put your right foot in front of your left just like that, heel to toe with your arms down by your sides and maintain that position until I tell you otherwise, do you understand?"
01:53,[Female suspect],Yeah.
01:54,[Police officer],"There you go. All right, now stay in that position until I tell you otherwise."
01:57,[Police officer],"All right. So when I tell you to, you're going to take nine heel to toe steps down that line there. Uh when you take your ninth step, you're going to turn around keeping your front foot planted with a series of small steps with your other foot and then take nine heel to toe steps back down the line."
02:11,[Female suspect],"One, two, three, four, five, six, seven, eight, nine. And then the right one."
02:20,[Police officer],Yep. Just keep keep going.
02:23,[Female suspect],"One, two, three, four, five, six."
02:26,[Police officer],"Okay. You can stay right there, feet together, arms down by your side. When I tell you to, you're going to raise one foot off the ground, either foot, doesn't matter, left or right, approximately 6 inches, the height of a coat can."
02:36,[Police officer],"All right, begin."
02:37,[Female suspect],"1,000, 2,000, 3,000, 4,000, 5,000."
02:39,[Police officer],Keep that for parallel.
02:44,[Female suspect],"1,026, 1,027, 1,028."
02:46,[Police officer],"All right, you're good."
02:47,[Police officer],I can tell you have you've had something to drink.
02:49,[Female suspect],Yeah. You already admitted that.
02:50,[Female suspect],"Well, I mean she also hit me in the head, so."
02:52,[Police officer],Yeah. Kind of like.
02:54,[Police officer],"Yeah. So, honestly, if I had to have you place your level of intoxication on a scale from 0 to 10 with zero being totally sober and 10 being the most blackout drunk you've ever been."
03:03,[Female suspect],"I'm not I'm not not blackout, but like I."
03:06,[Police officer],Where would you put yourself on that scale?
03:07,[Female suspect],"Yeah, I mean I would put myself at a maybe a three out of five. Yeah."
03:10,[Police officer],Okay. Yeah.
03:11,[Female suspect],I'm going to be honest with you.
03:13,[Police officer],"Okay. And do me a favor, just hang out at the front of the car right there for me."
03:18,[Police officer],Did she feel any like physical pain or any?
03:21,[Second police officer],I mean she got bloody hands.
03:22,[Police officer],She does. Yeah. And she didn't have any marks. She said she didn't feel any pain. She said she'd never been in a fight before. So I was like it was kind of like awkward.
03:29,[Police officer],"They were like all so it started and she again walked away and then she was following and then they got into another fight and then she got into her car, drove around the side of the building over there. And then she the passenger was still over there in that lot. She got out of the car again, walked over there and that's when they kind of came back at each other and that's when they really fought. You could see like grabbing and punching and not not throwing but stuff like that. And then they separated again."
03:58,[Second police officer],"She got back into her car. She followed her to the car, started punching, kicking, hit kicking the windows, stuff like that. She pulled off and then drove over here and that's I guess when I found them."
04:08,[Police officer],Weird.
04:09,[Second police officer],Yeah. Like they did it and then like they're behind like.
04:13,[Female suspect],I told her to give me my phone. She wouldn't give me my phone. That's what I was knocking on her window to give me my phone. She still wouldn't give it to me.
04:20,[Police officer],I saw you kicking the the window too. Beating the hell out of the window and kicking it.
04:24,[Female suspect],"Because she wouldn't open you know, you have my phone."
04:26,[Police officer],"I mean if you guys just got in a fight, would you open the door for somebody who's got in a fight with?"
04:29,[Female suspect],"But if you have my phone, what do you expect? How did you get her phone?"
04:32,[Police officer],"Well, how did you get her phone? You took it off of her from over there?"
04:34,[Female suspect],"Yeah, she she had it on her phone and I was like, just give me your phone and I snatched it away from her. I didn't touch her or anything. I just took her phone. Um and then she wouldn't give me my phone back. So then that's when I it's like I try to be calm and like deescalate it, but then when like you're disrespecting me and like I don't know what else you would expect."
04:50,[Police officer],"All right, so."
04:51,[Female suspect],You're turning around.
04:53,[Female suspect],For what?
04:55,[Police officer],It's all family violence.
04:56,[Female suspect],What about her? She started it too.
05:00,[Police officer],So based on the video and everything.
05:04,[Female suspect],But she threw punches first by trying to get her phone.
05:07,[Police officer],"So when if someone initiates like by punching first and someone punches back, it doesn't mean that they're fighting you. It just means they're trying to protect themselves."
05:17,[Female suspect],"She was punching me. Dude, like like she started the whole thing."
05:22,[Police officer],"Then why did you sprint after her, grab her phone and then."
05:25,[Female suspect],"I sprinted after her because she left the car in the middle of the parking lot. Dude, I did not I'm literally on bail right now. Why would I put myself in a situation to instigate a fight?"
05:35,[Police officer],"So, right now, you're being placed under arrest for that."
05:39,[Police officer],"Hey, let's go in the front of that car real quick. Can you turn that camera off?"
05:42,[Female suspect],Her wallet is right here in my thing.
05:46,[Female suspect],There's literally.
