start_time,speaker_label,transcript
00:00,Officer,"I hear you. Okay. I got to go over a couple of them. What did you say? I just want my money. I understand you just want your money. Okay. Couple things, okay? Let's go through. Let's go through a couple things."
00:00,Jessyle,I hear you.
00:04,Jessyle,I just want my money.
00:14,Jessyle,I just want my money.
00:16,Officer,What is your first name?
00:17,Jessyle,Just so J E S S Y L E. They're not letting me leave. I don't want to live here anymore.
00:24,Officer,Why are they not letting you leave?
00:26,Jessyle,I don't know. I just want my money. I'm not even going to talk to them.
00:29,Officer,So I want to hear your side of the story first.
00:31,Jessyle,"Okay, yes. I just want my money."
00:32,Officer,So what what are they going to tell me?
00:34,Jessyle,They're going to tell you that I don't want to give them my waitress. They give me waitress in my face. I want to leave. I don't want to live here.
00:41,Officer,"Okay, but you're not answering my question."
00:43,Jessyle,I say yes. They're going to tell me that like I'm giving them attitude. I'm not giving them the right answers. And then like I'm not giving them the right thing they're in the middle of.
00:55,Officer,So you're saying that you disrespected.
00:56,Jessyle,"Yeah, but I just want my food because I want to leave. I don't want to leave here anymore. I just want my food so I can leave from here."
01:04,Officer,What do you do for work?
01:05,Jessyle,I'm a waitress.
01:07,Officer,And every day. Did you graduate from high school yet or not?
01:11,Jessyle,"Yes, I did graduate. I went to COC and like October."
01:14,Officer,"Okay. I sometimes people are 18, sometimes they're still in high school, so that's why I'm asking."
01:18,Jessyle,"I know, but I just want my waitress. I want to leave."
01:21,Officer,Let me ask you this. Where do you plan on going?
01:25,Jessyle,I have some friends that I want to stay with them.
01:27,Officer,Which friends?
01:28,Jessyle,I can't tell that. I don't want them to get in trouble.
01:31,Officer,Nobody nobody is in trouble right now. You understand that. But I I got to figure out what
01:36,Jessyle,"They live like two blocks away from here. They're saying that they're waiting that they're waiting to give me away from here, but my mom before I left them to get away from work."
01:44,Jessyle,She was like
01:45,Officer,Where is your work at?
01:46,Jessyle,Work is like two blocks away.
01:48,Officer,"Where do you work at? I understand you're a waitress, which is hard work. I used to do that."
01:51,Jessyle,When I was a waitress there and I'm a waitress there and I just want my waitress because I left my food here and then I tried to look for my food and I couldn't find it.
01:52,Officer,Okay.
02:03,Officer,Is that what started the argument?
02:05,Jessyle,"Yeah, because my food wasn't where I left it."
02:08,Officer,Okay. Do you typically buy your own food or do you guys share food?
02:11,Jessyle,"Yeah, I buy my own food. I pay the rent for them, the rent and everything like that. I just want my food."
02:16,Officer,You pay the full amount or you pay a portion of it?
02:18,Jessyle,"I pay light, gas, weed."
02:22,Officer,How much do you pay?
02:24,Jessyle,400 a bill.
02:25,Officer,$400. Okay. For rent is what you pay $400.
02:26,Jessyle,Yeah.
02:30,Officer,And then that includes
02:33,Jessyle,"Wi-Fi, electricity and food."
02:36,Officer,Okay.
02:38,Jessyle,But like
02:38,Officer,"And then as far as rent, they have you live here rent free."
02:41,Jessyle,"Yeah, and I'm 18, so I just want my rent. I can leave right now. Just as long as they give me the rent back. So I can pay my friend where I'm going to stay right now."
02:51,Officer,So I'll explain to you how that law works. Okay.
