start_time,speaker_label,transcript
00:00,[Detainee],next thing you know you can just shut up.
00:01,[Police Officer],Uh you're detained right now.
00:02,[Detainee],"That's not where that starts. Just so you know, cuz I watched."
00:04,[Police Officer],You're detained and not free to leave. Oh.
00:06,[Detainee],I didn't need to start.
00:07,[Detainee],"That's not where that I'm not drunk, man."
00:09,[Police Officer],"Well, I do have an order of an alcoholic beverage for you, sir."
00:11,[Detainee],water.
00:13,[Police Officer],"So at minimum, disorderly conduct."
00:15,[Detainee],"All right, so you can do whatever you want."
00:16,[Police Officer],assault because you're threatening to harm somebody. So we'll start there. Here you go. You have the right to remain silent. Anything you say can be used against you in court. You have the right to talk to a lawyer for advice before you ask any questions and have him with you during questioning.
00:27,[Detainee],You done?
00:27,[Police Officer],"Yep. I just want to make sure as you keep spouting off the mouth, I'm not"
00:31,[Detainee],You know what you're
00:32,[Detainee],"off anything, man."
00:32,[Police Officer],You haven't stopped spouting off. That's the problem.
00:34,[Detainee],You know what? I'm going to just shut the.
00:37,[Police Officer],"Yep, good, good. Okay. We'll figure it out."
00:40,[Detainee],Where's Manny at?
00:41,[Detainee's friend],"But I'm not going to run, dude. You don't have to shake like that, man. I'm not going nowhere. You don't have to shake. Are you new?"
00:50,[Police Officer],I'm not new.
00:51,[Detainee's friend],Why are you shaking?
00:52,[Police Officer],Why am I shaking?
00:53,[Detainee's friend],Yeah.
00:54,[Police Officer],"I don't know. You're the one shaking and tensing up on me, man."
00:56,[Detainee's friend],I'm not shaking at all. Look at my hands.
00:59,[Police Officer],Looks like you're shaking to me.
01:02,[Detainee's friend],Are you all right? You sure?
01:04,[Police Officer],I'm positive.
01:06,[Detainee's friend],I can face forward if you want me to.
01:09,[Police Officer],"No, we're good right here."
01:10,[Detainee's friend],"I don't want you to shoot me or tase me, man."
01:14,[Police Officer],I just need I just need you to relax.
01:16,[Detainee's friend],"Dude, my hand, look. Do you see how relaxed I am?"
01:21,[Police Officer],"You're not very relaxed, man. You're tensing up."
01:22,[Detainee's friend],Look. Do you see how relaxed I am?
01:25,[Police Officer],"Muscle tone's very rigid, I'll say that. That's why I was asking if you were on something."
01:28,[Detainee],"Oh my God. Go to your car, please."
01:32,[Detainee],I I am not by any means.
01:36,[Police Officer],I ain't doing anything.
01:38,[Detainee],"If you're not, you're my cracker. Okay? Is that better?"
01:41,[Police Officer],"All right, fair enough."
01:42,[Detainee],Hey.
01:44,[Detainee],"No, look, man, I'm straight, man. Just don't shoot me, don't tase me. Let me leave me alone, man."
01:50,[Police Officer],All right. I won't shoot you or tase you. We'll be like gentlemen with each other. We'll figure it all out.
01:54,[Detainee],"Thank you. See, why can't everybody come to you? Me like you."
01:59,[Police Officer],I don't know.
02:02,[Detainee],I said I'll put you in my bag.
02:04,[Police Officer],"Well, that's going to happen too. You know."
02:08,[Police Officer],"I wasn't here initially, so."
02:10,[Police Officer],It is what it is. We'll figure it out.
02:12,[Police Officer],If you could just explain to me what happened since I I just showed up.
02:16,[Employee],"Uh, he came in, no shirt, cussing, calling inward, just came in, done this way, if you ain't done, I'll beat you to death."
02:27,[Police Officer],Did he make an order already or was he just trying?
02:29,[Employee],"He was trying. He was trying to order, but he got to put his shirt on."
02:32,[Detainee],I'll put my fucking shirt on.
02:34,[Police Officer],Okay. So he's doing this after he made an order or he just walked right in?
02:37,[Employee],"Down two entire bottles of liquor in his car and then tries to come in, trying to put his shirt in and he's talking and the first time he came in, he also had a conversation with another customer. And like, all right, you got to pull out his car, maybe come back. He comes back in, he's inward, I'll fuck you up. You might if you ain't right, if you ain't fucking, I come in here all the time, I'll fuck you."
03:00,[Police Officer],"Okay. So let me get this straight. He comes here initially, goes to order."
03:06,[Employee],Yeah.
03:07,[Police Officer],Did he take off his shirt in here?
03:08,[Employee],"No, he didn't have one on the first. So I was like, you have to have a shirt on."
03:11,[Employee],"Okay. So he goes out and they sit out there for a while. He you can see him just down an entire things over and over. And he comes back in and he's hyper aggressive again. Back and forth, bathroom, slams the door, comes back out and it's just over and over. I bet you got a fucking man at home, fucking faggot. I don't like fucking gays. And just being atrocious."
03:34,[Police Officer],Okay.
03:35,[Employee],And threatening to come across the counter and try to beat me to death.
03:38,[Police Officer],Okay.
03:39,[Employee],"And he's staring at her like if she says something, he's going to go right after her."
03:44,[Police Officer],Okay.
03:44,[Employee],And if he's highly dangerous.
03:47,[Police Officer],"Okay. We don't want him anywhere near this. I any charges he can get, place him on."
03:52,[Employee],Okay.
03:53,[Employee],Because he's he's hyper.
03:54,[Police Officer],"Yeah, he will be trespassed here, so inevitably when he does get out of jail, he won't be able to come back here and if he does, it's another arrest."
04:01,[Employee],"Yeah, oh yeah, he'll go straight back because I have no hesitations calling you guys."
04:04,[Police Officer],Okay.
04:05,[Police Officer],"You want to sit down, ma'am?"
04:06,[Detainee],Yeah.
04:07,[Police Officer],All right.
04:09,[Detainee],"Don't worry, I ain't going nowhere."
04:11,[Police Officer],I was going to see if you want to sit on the curb.
04:12,[Detainee],"I didn't plan on running, man. I don't know what type of information you got, but you got the wrong one."
04:15,[Police Officer],Okay. All right.
04:18,[Bystander],I didn't think you did plan on running.
04:20,[Detainee],"Man, goddamn, bro."
04:23,[Detainee],"Trust me, look."
04:24,[Police Officer],"Taser, I think it's on."
04:25,[Detainee],"I you don't need that either, man."
04:28,[Police Officer],Is it?
04:29,[Detainee],"That's why I don't like Goddamn, bro."
04:31,[Police Officer],They don't flip them on.
04:32,[Detainee],"I'm out on bond right now. Like, come on."
04:35,[Police Officer],What? You really think I'm supposed to be getting in trouble?
04:37,[Detainee],"You on bond for, man."
04:39,[Detainee],"Disorderly conduct, this bullshit."
04:43,[Police Officer],No way.
04:44,[Detainee],"I swear to God, like I swear to God, right there on Del Prado. I got to go to court next month on the fourth."
04:48,[Police Officer],What are the odds?
04:51,[Police Officer],"Oh, man."
04:53,[Police Officer],Where did that happen at?
04:54,[Detainee],I just said that.
04:55,[Police Officer],"Oh, the Hooters on the front."
04:57,[Detainee],"You be paying attention, but you are."
04:59,[Police Officer],He just looks young.
05:01,[Detainee],He's not a rookie.
05:03,[Police Officer],How long has he been doing this?
05:05,[Detainee],"Come on, don't lie. Man, come on, be honest. How long you been doing this?"
05:09,[Police Officer],"Actually, I got to look at his badge number."
05:11,[Detainee],Are you serious? Oh my God. You almost made me get up and get tased doing that shit. You serious?
05:18,[Police Officer],You don't like.
05:19,[Detainee],"Almost years, man."
05:21,[Police Officer],How old are you?
05:23,[Police Officer],How old do I look?
05:24,[Detainee],"don't play that game. Yeah, that's"
05:26,[Police Officer],Hey.
05:27,[Detainee],How old do you?
05:28,[Police Officer],How old do I look?
05:30,[Detainee],Not old enough.
05:31,[Police Officer],No? Yeah.
05:34,[Police Officer],That's unfortunate.
05:35,[Detainee],Is it?
