start_time,speaker_label,transcript
00:00,[Interviewer],"a week or so, but if you could just kind of go before Monday, just kind of tell us how you guys know each other, how she ended up out there at your place, that kind of thing and then we'll kind of move from there."
00:10,Mike,She was a waitress at Shivers and I knew her from in there and I talked to her before and stuff like that.
00:16,[Interviewer],Mhm.
00:17,Mike,"And then she told me, I don't know what it was like on Tuesday or Wednesday night that she got kicked out and she needed a place to stay. That's why you would stay at my place for a couple days."
00:30,Mike,"And then it was Friday. She called me and she said, I won't be coming back. She says, we're getting back together. Her boyfriend."
00:38,[Interviewer],Mhm.
00:39,Mike,And all I know is his first name is Sam. I don't know anything else about him.
00:44,Mike,"Okay. And so I didn't see her. And then she called me crying on that Saturday night and she says, oh, we got into it. Can I come out for a day? I said, you can come back out. But I want you got to be gone Monday because I can't have this. I'm single. I don't want anything like this going on."
01:05,[Narrator],"Two initial thoughts can be made upon hearing Mike's story. On one hand, it seems like Sam was back together with Aline, so Sam would be a much stronger person of interest, as he'd likely been the last person to see her. On the other hand, Mike may have had a deep connection with Aline, meaning if he learned she got back with her ex-boyfriend just days after moving in with him, he could have played a sinister role in her disappearance. But detectives plan to let Mike tell his side of the story before confronting him about the suspicious relationship."
01:35,Mike,"So I took her to work Monday morning. I've been a week ago yesterday. Dropped her off at 5:00 a.m. And she was supposed to get off at I don't know if she said 7:00 or 8:00 and her daughter was going to pick her up and she's going to go to her mom's and get her safe and take her to her daughter's. And then she was supposed to come back to work at 2:00 in the afternoon. Well, then I get a phone call from the bar saying, hey, have you seen her? I said, I haven't seen her. I haven't talked to her or nothing. Oh, she didn't show up for work. She didn't show up. I said, I haven't heard anything. And I tried to contact her and couldn't get a hold of her. So I sent her a text message and I says, all your stuff that's bagged up is going to be setting behind the bar. You got to get it. I want it out of here. I don't want to mess with anymore of this. And I never since 5:00 that Monday morning, I've never had any contact with her, phone, text or anything. And then I didn't know anything till right before you called me that she'd come up missing."
02:43,[Interviewer],Okay.
02:44,[Narrator],"Mike would go on to claim that he never had any relationship with Aline and that she stayed in a completely different room to him while living in his house. However, detectives know more about Mike than he thinks, and with some information Aline's close friends shared with them, they don't believe he and Aline were just friends."
03:02,[Interviewer],"Did you, has anybody saying to you that uh, Eileen was saying anything about you? Did have you heard anything about her making any statements about you and your uh, behavior while she lived or was staying with you out there?"
03:18,Mike,No.
03:19,[Interviewer],"So did you, you haven't heard that she may have made a statement that you possibly assaulted her while she was up there?"
03:26,Mike,No.
03:27,[Interviewer],"Okay. Um, that statement was made to a couple people that um, you uh, supposedly laid down in on her bed with her, um, and spooned her from behind. Is that"
03:45,Mike,No.
03:46,[Interviewer],"Can you tell me, is that any of that accurate? Any of those statements?"
03:50,Mike,I would not do that because I guess she was a loose cannon and she scared.
03:55,[Interviewer],"I mean, I guess here's the here's the deal. You're a grown man, she's a grown woman, you know, if there was any type of whatever contact between you that was consensual, there is absolutely nothing wrong with that."
04:05,Mike,"I mean, she was crying that first night she come out."
