start_time,speaker_label,transcript
00:00,[Police Officer],and then she went to outer limits.
00:03,[Police Officer],Okay. That's up to speed.
00:07,[Police Officer],This is the first for her. I don't know if I think Anderson's got a rider with him.
00:16,[Police Officer],Do you want it for training?
00:19,[Police Officer],I can watch over.
00:21,[Police Officer],He could do it too. He's He's the one.
00:25,[Police Officer],Okay. Where you I cut ours as well.
00:28,[Police Officer],"Huh? Cuz I was just say we just cut ours he's the little one, so."
00:31,[Police Officer],"Oh, okay. Do you want to take it as an over guy for training?"
00:36,[Police Officer],"Sure, I'll do it on my own."
00:37,[Police Officer],"That's the spirit. My first one wasn't great, so practice makes perfect."
00:44,[Police Officer],She's in Marty's car.
00:46,[Police Officer],Oh. What's her name?
00:53,[Police Officer],That's right. Christina not Dio.
00:58,Christina,Christina not next.
01:02,[Police Officer],"All right. As I'm going to be putting you through some field sobriety tests, I can get a good idea of how to drink tonight."
01:08,[Police Officer],"So, I know like right now, it's it's pretty cold out, so I'm going to give you the option. Uh if you want to do them out here, we can or we can go to the quick trip up the street up there and get them done inside where it'll be warm, but also have you do them back at my station as well."
01:24,Christina,"Oh my, please. I I I told you this isn't the room. This isn't the room. This isn't the room."
01:34,[Police Officer],"Well, I understand that might not be what you want, but"
01:36,Christina,I also understand what you need to do in order for you to do what you got to do. And I understand that I fully believe you participate you guys.
01:48,[Police Officer],"Okay. Okay. I'm glad that you're uh want to fully participate. So like I said, I'll give you the choice. Um we can do them right out here or we can head up to like the quick trip up there and you can do them inside."
01:58,[Police Officer],"Christina, do you use any drugs?"
02:00,Christina,Nothing. You don't smoke any pot every now and then.
02:03,[Police Officer],I smoke a pot every now and then.
02:05,Christina,Okay. When was the last time you smoked?
02:07,Christina,"I smoked in Wednesday, last Wednesday."
02:11,[Police Officer],Wednesday. Do you normally smoke like bud or do you use like a vape?
02:15,Christina,"Okay. Edibles or anything like that? No, just bud. Okay. All right."
02:20,[Police Officer],But that was last Wednesday. You haven't smoked at all today.
02:22,Christina,You can look at my car. I will give you guys all access to look at my car.
02:26,[Police Officer],Okay. Okay. Um is there anything in the car that we need to know about?
02:32,Christina,No. No. Okay.
02:33,[Police Officer],Not that I'm aware of.
02:35,Christina,Not that you're aware of. Okay. No guns.
02:38,[Police Officer],I I don't put guns in my car.
02:41,[Police Officer],That's good. There's no there's no ninja that's going to
02:44,Christina,I don't want to put Christina. It's not you're not you're talking about guns in my car. I'm talking about people that would put guns in my car to put me in a predicament like this.
02:53,[Police Officer],I'm trying to slash me or anything like that.
02:54,Christina,"I'm in my civilian clothes, but I'm not going to judge anybody for that."
03:00,[Police Officer],So don't worry about that.
03:01,Christina,Yes. Yeah.
03:04,[Police Officer],"So, couple of other basic questions. So you're not on medication. Do you have any medical diagnosis?"
03:09,Christina,No. No. Nothing.
03:10,[Police Officer],Do you have any problems with your head? Like any head injuries recently or anything like that?
03:15,Christina,I'm not going to ask you. No. But I have medical I feel like I feel as if I have to go through so much shit. I go through all the stuff in my life.
03:24,[Police Officer],"Yeah. Well, I'll be honest. You look like you're having a pretty hard time tonight. So."
03:32,[Police Officer],"There you go. We'll transport you down there. If you don't mind, what I'd like to do is put the seat belt on. Actually, uh real quick. I just want to do you have any left?"
03:40,Christina,It's a lot of seat belts. I know. Here. I'll get that for you. It's a lot of seat belts. Yeah.
03:41,[Police Officer],I know. Here. I'll get that for you. Yeah.
03:52,Christina,"See that. I have I would have come my fucking real quick. Do you have anything on you that's dangerous, any knives or anything like that, no weapons or anything?"
03:56,[Police Officer],"Real quick. Do you have anything on you that's dangerous, any knives or anything like that, no weapons or anything?"
04:01,Christina,"No, I don't."
04:02,[Police Officer],Okay. Do you mind if I go through the pockets of your jacket real quick?
04:06,Christina,You have my whole
04:07,[Police Officer],"Oh, no, no, no. It's way too cold for us to take your jacket, okay? You keep that jacket on."
04:12,Christina,"You're so serious. I'm I just want to feel the pocket. I might the best way I can. Okay. All right, good. That's perfect. You're doing good."
04:14,[Police Officer],"I just want to feel the pocket. Okay. All right, good. That's perfect. You're doing good."
04:19,Christina,I really feel like they need to get Just want to grab that.
04:23,[Police Officer],"All right, Christina, we're here at the quick trip. There you go."
04:27,Christina,"Please, please call my sister."
04:31,[Police Officer],"Once we get done with that, we'll be we'll give it a shot, okay?"
04:35,[Police Officer],"Christina, why why don't we get inside, okay?"
04:38,Christina,I just want my sister to know. And I don't have enough. I can't. I just want my sister to know.
04:47,[Police Officer],Why don't we go?
04:48,Christina,"Okay. Yep. Oh, watch out."
04:52,[Police Officer],"Yep. Oh, watch out."
04:55,Christina,"Please, can you guys please do me a easy, bro. I'm begging you. Put on my knees. Please call my sister. Please call my sister. No, I need you guys. Call my sister."
05:07,[Police Officer],"Okay, Christina. Christina. Christina. Christina."
05:11,Christina,"No, I need to tell my sister. This is too much. No, I need you guys. Tell my sister right now."
05:19,[Police Officer],What is her phone number?
05:20,Christina,Her name. I don't have it. My phone is dead. Her name is Julia O'dear. Her number starts with 50
