start_time,speaker_label,transcript
00:00,[Bystander],Stop.
00:03,Officer 1,We got a call about a female getting punched in the mouth.
00:05,Officer 1,Did you actually see it?
00:06,[Witness],"Yeah. I was in my office and I was just looking the camera and I just see like they are fighting so I just watch the camera and I see that like the guy come out from the room and he's just trying to punch her. He he tried to like like he just hold his neck and her neck, yeah. Yeah, and he and after he just pushed her and punched on her mouth and he has a dog too. So he tried to hit the dog too."
00:29,Officer 1,"Oh, he tried to hit her dog too."
00:30,[Witness],"Yeah. So you want to see the camera because he was doing wrong. Because I'm not sure like she was safe in the room or not. So I asked her like you need a help because she was crying on and she was talking on her phone and I asked her you need any help? You want to call somebody? And she said no, but like her tooth was bleeding."
00:45,Officer 1,"Her mouth was bleeding. Okay. Yeah, we'll go up there and talk real quick. Thank you. How you doing?"
00:50,[Suspect],I'm good.
00:51,Officer 1,Switch your place department. We got a call about a female getting punched in the mouth. Okay. Can I talk to you for a second?
00:57,[Suspect],"Uh, yeah, can I grab the room key?"
01:00,Officer 1,Yeah.
01:01,[Suspect],"Man, I just got off work."
01:02,Officer 1,You just got off work?
01:03,[Suspect],Yeah.
01:04,Officer 1,You didn't get punched in the face?
01:05,[Suspect],"No, I just like I just got back."
01:08,Officer 1,So you didn't get punched in the face. You have no one here in the room with you?
01:11,[Suspect],"Uh-uh. It's just my dog. I mean, that's it."
01:14,Officer 1,So the that's lady's just saying that female in 312 just got punched in the face and choked and a male trying to hit her dog too.
01:23,[Suspect],"Uh, I don't know. They do have cameras downstairs."
01:26,Officer 1,"Yeah, they have cameras. That's the that's she said that that's what she's seeing. He left?"
01:30,[Suspect],"Yeah, he went out the door and left."
01:32,Officer 1,Okay. Do you want to do anything about it at all? Can I get your name?
01:36,Officer 2,"It's up to you. I mean, you don't have to tell us the name. Any reason why you don't want to give us the name? We I mean, did he hit you or no?"
01:43,[Suspect],No.
01:44,Officer 2,Okay. Is it is it your boyfriend?
01:45,[Suspect],My husband.
01:47,Officer 2,"Oh, your husband. Gotcha. Okay. Is he driving or no? Where is it or did you guys drive or did you drive here?"
01:54,[Suspect],I drove here. I don't have my license.
01:56,Officer 2,Okay.
01:57,Officer 1,That's the hotel says that they won't don't want him here because of it. We're going to have to
02:02,Officer 2,He's going to have to leave.
02:03,Officer 1,He's going to have to leave.
02:04,Officer 2,Because the room's in your name.
02:05,[Narrator],She informed the police that her husband was intoxicated.
02:08,Officer 2,"Do you want I mean, if if they say it's okay for him to stay, do you want him to stay in the room with you?"
02:13,[Suspect],"Yeah, it's fine. He's just drunk right now. So he can't really hold his liquor."
02:18,Officer 2,Okay.
02:18,[Suspect],"I was at work, so like I don't know how many beers or anything he had. I was at work. I just got off. Family Dollar upward."
02:25,Officer 2,Family Dollar upward. Got you.
02:27,[Voice 7],"Hey, stop walking right there for a second for me. Stop walking for a second. Yeah, keep your hands out your pockets for me."
02:34,Officer 2,What's going on?
02:35,[Suspect],"I got I put down on my knees. All right, I know what's up, man. Yeah, I'm just you're being cool with me. I'm trying to be cool with you, you know. I'm just trying to be cool with you, man. Because I got a F3. Probably you want for domestic violence. You see what the dog did to her? And and you see what she did to me, right? That's what I'm asking. I was cool with you, man."
02:56,Officer 2,"No, we can work on that."
02:57,[Suspect],"All right, she got my cigarettes. She got everything. I just want to smoke a cigarette before I go to jail. Okay. All right. I wasn't trying to I wasn't trying to hassle or nothing. I got down on my knees. I"
03:04,Officer 2,"No, man, yeah, you're you're being cool."
03:06,[Suspect],"Seriously, man. Every time I get drunk or I drink, this is how she acts, bro."
03:10,Officer 2,Okay.
03:11,[Suspect],"All right. And literally, you see my inner forearm? You see my inner arm? That's what she was doing to me when the dog"
03:15,Officer 2,Yeah.
03:17,[Suspect],"And that's how I got out of it. I was working. Trying to get her to fight the live. Okay. But every time I even want to want to want to drink a couple beers or anything, man. That's how she acts. She's sitting there trying to take me first, but I I got a felony warrant, so I'm going to jail regardless. That's why I didn't resist or nothing."
03:33,Officer 2,"Copy, you can hold off for now. We'll clean my other one. All right. I'll stand up because my knees are bothering me like"
03:38,[Suspect],"Yeah, yeah, go ahead. If you want, we can even go sit on. Look, you see what she tried to do? She these right there. They're right there. The scars on my knees. I want to smoke a cigarette before I get locked up there for. I'm saying cool, man. I'll go grab my. Did I run? You didn't even know that was me. That's why I got down on my knees, man."
03:40,Officer 2,"Yeah, yeah, go ahead. stand up."
03:49,Officer 2,"if you stay cool with us, man, we'll be cool."
03:52,Officer 2,"No, you didn't run."
03:56,Officer 2,"Yeah. I mean, it looked like you on the video, so I mean I"
03:58,[Suspect],"I mean, yeah, but you don't know what's going on between me and her, so it's cool, man. I'll get I'll take the charge. And that's that's why I want to get your side of story. Man, listen, I I can't I cannot tell you other than what's on the video. Period."
04:10,Officer 2,Okay. So what so what exactly happened then?
04:11,[Suspect],"All right, she goes in the room and then she school me when we go to the store and got a sandwich and everything. I'm drunk. And this is what happens every time I get drunk. Okay. She'll make it my fault. I had F3 for you warrant and everything else, man. I'm telling you, just let me smoke a cigarette before I go."
04:27,Officer 2,"Well, we just talked to her. She doesn't want to press charges, but at this point what we see on the video. Okay. I mean, it is what it is. I just want to smoke a cigarette before I go. Like I'm not trying to fight you. I got down. You didn't even know it was me at first. You see what I'm saying? Like I just want to smoke a cigarette before I go, man. Because I know I'm going to be going for years, not months, but years."
04:44,Officer 2,What what's your felonies for?
04:46,[Suspect],"Domestic violence, but you know how many I got? Five."
