start_time,speaker_label,transcript
00:00,[Police officer],All right. So I told y'all I'll keep y'all in the loop. So we executed a narcotic search warrant.
00:06,Joanne,Mhm.
00:07,Joanne,For that circle K itself.
00:10,[Police officer],Kind of.
00:11,Joanne,Kind of like that. Okay.
00:12,[Police officer],Your mother-in-law was the target.
00:14,Joanne,My mother. Okay. That's my mother.
00:16,[Police officer],"Mother, mother?"
00:16,Joanne,Yeah.
00:17,[Police officer],Mother-in-law.
00:17,Joanne,That's my mother. I got you.
00:19,[Police officer],Yeah. Your mother was the target.
00:20,Joanne,Okay. And was she getting what's the charges for her being out or y'all still processing that or?
00:26,[Police officer],"Uh, from the looks of it, looks like she's going to be charged."
00:30,Joanne,Am I able to tell her I love her or anything? I won't touch her or anything like that?
00:34,[Police officer],"Uh, yeah, I think they're loading her up and getting her out of here. We've had her detained long enough."
00:38,Joanne,I love you.
00:39,[Police officer],There you go.
00:41,Joanne,I just wanted to let her know. That's all.
00:43,[Police officer],"But yeah, so she's from the looks of it, from what I saw in there, she's going to be charged with uh, possession with intent to distribute uh, control substance by two counts."
00:56,Joanne,Mhm.
00:57,[Police officer],And also What does two counts mean?
00:59,Joanne,Two different Two different charges. Okay.
01:03,[Police officer],And within a thousand feet of a church. And probably trafficking in Fentanyl.
01:18,[Bystander],All search.
01:20,[Bystander],All right.
01:21,[Bystander],All right.
01:23,[Bystander],You were right.
01:25,[Bystander],You were right. Not that much taller than me. Why was my seat so far back?
01:29,[Bystander],"Dude, I got in and I was like,"
01:31,[Bystander],I got stuck.
01:32,[Bystander],Wow. That's your problem. It's not mine.
01:37,[Police officer],I'm going to try to get you to receive.
01:42,Joanne,Am I going to be able to Am I going to be able to
01:49,Joanne,"Wait, I ain't supposed to be here for you."
01:52,[Police officer],She seems a little space.
01:55,[Police officer],It's a lot to take in.
01:57,[Police officer],All right.
01:58,[Narrator],"It was reported that the officers located 16 individual bags, eight containing Fentanyl and eight containing methamphetamine from the 48-year-old's purse."
02:10,[Police officer],All right. So what's going to happen is I'm going to take this off of you. All right. You're going to get out of the back of my car. You're going to stand in that doorway while I check the back.
02:22,[Police officer],"Okay. Stand with your behind against that door, please."
02:25,Joanne,"Yes, ma'am."
02:27,[Police officer],"Okay. I arrested your wife, Miranda at the store and at that time you said you didn't want to talk to me while you were at the store. Um, I'll tell you that we do have ways to work around things. Um, I mean, to get your side of the story can help. So, I mean, you want to talk to me about what happened?"
02:51,Joanne,"No, sir."
02:52,[Police officer],Okay. All right. You sure you don't have any other questions for me?
02:59,Joanne,"Dude. I mean, I know y'all don't have to, but is there any way I can smoke a cigarette, please?"
03:04,[Police officer],"Uh, not right now."
03:06,Joanne,Okay. Okay. All right. The interview is over then.
03:13,[Narrator],"Joanne was arrested and charged with possession of Fentanyl with intent to distribute within 1,000 feet of a church, possession of methamphetamine with intent to distribute within 1,000 feet of a church, and sale, manufacture, or delivery of Fentanyl within 1,000 feet of a church."
03:30,[YouTube voiceover],YouTube thinks you'll love the video on screen. Click to watch now.
