start_time,speaker_label,transcript
00:00,[Driver],"spiritual being. I don't do no smoking, no drinking. I don't need no guns. I don't need none of that stuff."
00:04,[Police Officer],Okay. It's just a yes or no. I just want to know if you got any weapons in your car. That's all I'm going to ask for.
00:07,[Driver],"No drugs, no guns, no alcohol, no nothing."
00:10,[Police Officer],"Okay, perfect. That's all I'm asking."
00:12,[Police Officer],You from Virginia?
00:13,[Driver],"Yes, I am."
00:14,[Police Officer],What brings you down here?
00:15,[Driver],I'm camping. My son and I retired and we came down here for peace.
00:18,[Police Officer],Okay. You're retired military?
00:19,[Driver],"I I was in the military, but I was."
00:21,[Police Officer],What branch of the military?
00:22,[Driver],Navy.
00:23,[Police Officer],"Navy? Well, thank you for your service."
00:24,[Driver],Thank you.
00:25,[Police Officer],How many years you spent in the Navy?
00:26,[Driver],I was in two years and I ran a business. I ran several businesses.
00:30,[Police Officer],Okay.
00:31,[Driver],I was a I had a commercial cleaning business and a landscape and lawn care business.
00:35,[Police Officer],Okay.
00:36,[Driver],I'm on a spiritual journey.
00:38,[Police Officer],Okay.
00:38,[Driver],"This is the type of shit that I'm dealing with. So I got I got nothing against the spiritual journey, man."
00:41,[Police Officer],"I got I got nothing against the spiritual journey, man."
00:43,[Driver],"deal with all this stuff. I dealt with the problem. I already fixed that. If he ain't man enough to do that for hisself, that's his problem."
00:50,[Police Officer],Okay.
00:51,[Driver],"If he wants to run around cussing at people and being mad at people because he can't that little baby can't have his way, then it gets what it is."
01:00,[Police Officer],"Okay, well, that's not always the way the law sees it though. You understand that, right?"
01:03,[Driver],"And let me tell you something about your law. If you go back and actually study your law, none of these laws they have expired. They the the statute of limitations on all American laws have already expired in 20 years from 1776."
01:08,[Police Officer],I study my law.
01:17,[Driver],"And and and furthermore, how are we as citizens on land operating in maritime law?"
01:23,[Driver],"I'm not if I'm in my vehicle, you safe. I'm safe. Everybody's safe."
01:27,[Police Officer],You you you you're not committing a crime that I can commit it.
01:31,[Police Officer],"Okay, yes. So we're investigating this. So we need you to step out, okay?"
01:37,[Police Officer],Is this your son back here?
01:39,[Driver],"Yes, it is."
01:40,[Police Officer],"This is completely cordial. Everything's being good, okay? He's fine."
01:43,[Driver],Why won't y'all let him get in the vehicle?
01:45,[Police Officer],there's no reason. We're trying to get you out. We're not going to let him get in.
01:48,[Driver],Why do I need to get out if I'm not under arrest? Why do I need to get out?
01:51,[Police Officer],Because there's a possibility of you being under arrest.
01:53,[Driver],Why do y'all have to arrest me?
01:54,[Police Officer],"For committing battery, sir. But we have to investigate that and you doing the way you're doing it is making it more difficult for us."
02:03,[Police Officer],"You're here on vacation. We're just trying to we're trying to work our way through it, okay?"
02:06,[Driver],"Listen, guys."
02:07,[Police Officer],"Listen, there's no listening. Just just be cordial. Step out the vehicle and let's figure this out, okay?"
02:13,[Driver],"One thing I want y'all to understand is I don't I'm not going to jail over something that pet. If if two men in the street can't handle their business, if he if he's big enough to run his mouth to anybody he runs into and can just say whatever he wants to say out of his mouth, there's consequences for that."
02:30,[Driver],"Okay. He suffered the consequences. And if y'all get in the way of his judgment, you bring it on yourself. And I'll get out. What you're doing is bringing it on yourself because you're getting involved in some shit that"
02:37,[Police Officer],Thank you. I appreciate you.
02:45,[Police Officer],You wouldn't mind standing right here by him.
02:47,[Police Officer],"Okay, what I want you to do is turn around and put your hands behind your back."
02:50,[Driver],"Look, look, you don't have to do all of that."
02:52,[Police Officer],Put your hands behind your back.
02:54,[Driver],This is why y'all this is why
02:57,[Police Officer],"Hey, back up. Back up."
03:00,[Police Officer],"Go ahead and tase him. Put your hands behind your back. Put your hands behind your back right now. Right now, put your hands behind your back."
03:01,[Driver],Go ahead and tase him.
03:09,[Driver],Why does all this need to calm down?
03:12,[Driver],I'm not doing anything.
03:13,[Police Officer],Don't you tense up on me or we're going to the ground. Do you understand?
03:18,[Driver],This is not.
03:18,[Police Officer],I got it. Are you fucking retarded? Does it take that much to put handcuffs on?
03:23,[Driver],I've been listening. This is what you're doing.
03:25,[Police Officer],"Listen, we gave you the opportunity to go nicely and peacefully. You resist, you want to pull away. This is what happens."
03:30,[Driver],I did not pull away from you.
03:32,[Police Officer],You absolutely did. Now you're catching additional charge. You're going to be placed under arrest for battery as well as resist officer. You understand that?
03:43,[Police Officer],Push him over now.
03:52,[Police Officer],Go ahead and search him.
03:54,[Driver],For what? I don't have any fucking pockets.
03:56,[Police Officer],You're going to jail.
03:57,[Driver],"I'm genuinely asking, or what?"
04:03,[Police Officer],Have a seat.
04:07,[Driver],"When it comes to your soul, I hope you know it's mine."
04:10,[Police Officer],"Okay, great. Fantastic."
04:12,[Driver],You wouldn't mind.
04:13,[Police Officer],"All right. Thank you. I appreciate you. Just around to me. Let me double check it for you. All right, which one's tight when you said this one?"
04:18,[Police Officer],All right. I'm going to let it I'm going to let it come back a couple clicks. Is that better?
04:20,[Driver],This this
04:24,[Police Officer],All right. And let me double check this one. How's that one for you? That one all right?
04:27,[Driver],Okay.
04:28,[Police Officer],"Okay. Okay. All right, hold tight me one second, all right? Is that better?"
04:33,[Police Officer],Okay.
04:35,[Police Officer],He wasn't he wasn't getting out of the car. He wasn't doing this. He wasn't doing the by our laws like I was.
04:40,[Police Officer],He's solving.
04:41,[Police Officer],"Yeah, that's what I'm saying."
04:42,[Police Officer],"Um, you want to put Junior in here with me?"
04:43,[Police Officer],Yep.
04:46,[Police Officer],2317.
04:47,[Police Officer],He probably molded this thing.
04:50,[Police Officer],"Hey, bud, go ahead and sit back."
04:52,[Police Officer],Where are they going?
04:56,[Police Officer],We're going to Las Vegas Trail.
04:58,[Police Officer],"All right, you are searching him down?"
04:59,[Police Officer],Yep.
05:00,[Police Officer],"All right, I'm going to check him a room real quick. Anything that's poke, stick and stab me?"
05:03,[Police Officer],"Anything poke, stick and stab me?"
05:05,[Driver],No.
05:06,[Police Officer],"The call originally came on 217. They were the driver started the call, okay?"
05:12,[Police Officer],"That's all you, my man."
05:14,[Driver],63.
05:15,[Police Officer],Yeah.
05:16,[Police Officer],"You about 6'5, 6'6."
05:18,[Police Officer],I'm 6'2.
05:20,[Police Officer],"All right, slide on in for me right there, okay? I know it's going to be a tight fit because you're taller. I apologize for the fit. I know it's not cozy. All right, seat belt's optional. You want a seat belt or no?"
05:29,[Police Officer],"How about you, sir? Seat belt or no?"
05:31,[Police Officer],"Okay. All right, sit tight with me."
05:34,[Police Officer],"All right. They're going on a spiritual journey, he said."
05:37,[Police Officer],Is that what he said?
05:37,[Police Officer],"Yeah, I said you can stand over there. They're going on a spiritual journey."
05:39,[Police Officer],learning.
