start_time,speaker_label,transcript
00:00,[Police Officer],Why are you dressed like that? Why why are you wearing a robe?
00:03,[Judge],Surprise. Judge.
00:07,[Police Officer],"I'm not a judge, I'm a police officer."
00:09,[Judge],Not you? Me. How about that? You're a judge.
00:12,[Police Officer],You're a judge.
00:13,[Judge],"No, I just wear in this robe cuz I have nothing else to do."
00:16,[Police Officer],"Well, you don't act like a judge, and you definitely don't look like a judge."
00:19,[Judge],"Yeah, what do they look like?"
00:22,[Police Officer],Not you.
00:22,[Judge],"Oh, not me? What do they look like? I don't look like a judge? Well, guess what? I am one. And I'm on my way to work now. But you know what? I've sentenced more men with better discipline than you. You'll be standing when I walk in court. Surprise."
00:43,[Police Officer],"Man, why why didn't you just lead with telling me that you were a judge?"
00:50,[Police Officer],All you all you had to do is tell me you were a judge.
00:52,[Judge],I didn't have to tell you nothing. You treat every citizen with respect.
00:56,[Police Officer],I do. I'm just doing my job.
00:57,[Judge],What would it make if I was a judge? What difference? You still didn't have the right to break my tail light and then you give me a citation with that? I'll see you in court.
01:12,[Police Officer],1019.
01:20,[Police Officer],"Ma'am, the station's calling me. Just get home safely. We'll just settle this with with with the warning, okay? You need to get your tail light fixed. It's not safe to be driving like that and and please just drive your speed limit."
