start_time,speaker_label,transcript
00:00,[Unidentified male],"Hey. Hello, hello. How's it going?"
00:03,[Police officer],"Hi. Just you know my camera's on. Right now you're not free to leave. Okay, for investigative shop with you stand up for me your second for weapons. Stand up for me. Do you have any weapons on you? Give me a favor, just take a deep breath because we're going to chat."
00:16,David,She's been like that the whole 40 minutes.
00:18,[Store employee],Hasn't been since you stopped her.
00:19,David,Yeah. Yeah.
00:20,[Police officer],Okay.
00:22,[Police officer],"Okay. Have a seat. Give me a favor. Take a big breath. As deep in as you can. You got to take a deep breath. One breath, not hyperventilate. I got to be able to talk to you and if I can't talk to you, if you're breathing like that, I can't talk to you. Okay?"
00:35,David,"I'm trying to get information out of her, but she will uh respond."
00:39,[Police officer],Do you speak English?
00:41,Pumar,Not very good.
00:43,[Police officer],Not very good. What's your primary language? What is it? Gujarati? Where is that from? India?
00:50,David,Home and clothing.
00:51,[Store employee],So that's first.
00:52,David,So she just put everything in the cart and then just and then just walk straight out.
00:56,[Police officer],"Okay. Okay. Do you want to talk to me in English or do you want me to call an interpreter? Okay. All right, I'm going to read you something real quick, okay? So we're here. They called us saying you were shoplifting. Do you have any ID on you? A driver's license or anything like that? No. Do you have any medical issues? Do you need me to call the fire department for you right now? Okay. Is this normal for you when you get nervous? Have you ever had a license or anything like that?"
01:23,Pumar,What's that?
01:26,Pumar,I have.
01:27,[Police officer],"Is it out of Washington or out of a different state? Okay. So the name that I don't know if you gave them the name or where your name came from, it came back clear no record. So I'm going to be totally honest with you, okay? If you shoplifted and I can identify you, I'm not taking you to jail tonight. Okay? You'll get a charge and you'll have to go to a court date. Does that make sense? If I can't identify you, meaning if you gave them a fake name or if dispatch just ran it wrong, that's okay. So I'll just get the information from you and then we'll chat about why we're here. Okay?"
02:00,David,"David, has she been able to talk to whoever the so yet?"
02:03,[Police officer],Okay. Who is this calling us?
02:04,David,"You don't want to talk to him? Okay, that's okay. You don't have to talk to him. I'm not going to talk to him."
02:09,[Store employee],It was for Mark.
02:10,[Police officer],"Pumar, are you okay? Tell me what's going on."
02:13,David,Are you saying you aren't going to do this again? Have you ever done this before?
02:17,[Store employee],"Yeah, she's a regular here."
02:19,David,Have you been able to apprehend her before?
02:21,[Store employee],"No, this is the first time anyone's approached her."
02:23,[Police officer],"Okay, so no trespass warnings or anything like that yet."
02:26,David,Is there a reason why you you took all this stuff?
02:30,[Police officer],"Are you able to talk to us about why we're here tonight? Are you able to tell us why we're here tonight, what happened? Were you going to take these things and then resell them for money? Some of it?"
02:40,David,"Copy, thank you."
02:41,[Police officer],Can you check her picture for me?
02:43,[Store employee],"Yeah, I haven't grabbed his up yet."
02:45,David,I haven't grabbed his. I could do that as well.
02:47,[Police officer],"No, I got I'll take it."
02:48,David,I just need to check her picture for me because I don't know how much we're going to get.
02:53,[Store employee],"I still need to get her number, but I'll take the."
02:57,[Police officer],We're checking your ID right now to make sure you are who you say you are. Okay?
