start_time,speaker_label,transcript
00:00,Matt Landry,"What up, what's up? I ain't seen you in a while."
00:03,[Speaker],"What's going on? Come on, what you doing now?"
00:05,Matt Landry,I've been all right.
00:06,[Speaker],You've been all right? Come see.
00:08,Matt Landry,I've been around.
00:09,[Speaker],You're not like her 37.
00:10,Matt Landry,You see the car across the street.
00:13,[Speaker],You gonna have to you gonna have to go around to it. They got the bridge.
00:16,Matt Landry,It's open.
00:17,[Speaker],Huh? It's open?
00:18,Matt Landry,"Yeah, it's open."
00:19,[Speaker],But you Sunday.
00:20,Matt Landry,"About 10, 10:30."
00:21,[Speaker],"10, 10:30. They gonna be."
00:23,Matt Landry,"About 10, 10:30."
00:24,[Speaker],They gonna be.
00:24,Matt Landry,I'm gonna get everybody to place to stay.
00:28,[Speaker],Show me your face.
00:29,Matt Landry,And they got big dogs this house.
00:33,[Speaker],They have big dogs.
00:34,Matt Landry,Two big dogs.
00:35,[Speaker],They there every night?
00:36,Matt Landry,"They there every night. They leave, they come late at night. I've been waiting. I'm gonna tell you, I called Mike. I messaged Mike the day they had the big thing on the interstate. And he told me he was gonna pass by. And so much is going on cuz you know they had a bad accident on airline yesterday."
00:55,[Speaker],"Last night. Girl, I got you."
00:56,Matt Landry,"Uh-huh. So, you know, I've been trying to I know I know accident is more important than this here. Oh, and I got up this morning, I went back there. It's still back there, you know. And so, hey, I I need my safety, you know what I'm saying? Cuz you know what I'm saying? I mean, and that's not And see what get me, baby. This ain't going to happen in the old and the white neighborhood. You go over there in Indigo Lake or you go over this way. It's just right in our area, you know what I'm saying?"
01:22,[Speaker],We go back there and talk to him.
01:25,Matt Landry,"Yeah, and and and look, let me know what they, you know, I'll find and let me know."
01:28,[Speaker],I'll swing back.
01:29,Matt Landry,"All right, good seeing you, baby."
01:30,[Speaker],"I'm saying. Yes, ma'am. You must really want us to take your granddaughter from you, huh?"
01:34,Matt Landry,"No, I don't. I got I place where I was staying yesterday, last night. The man said we all had to leave."
01:42,[Speaker],Who's in the tent?
01:43,Matt Landry,My granddaughter.
01:44,[Speaker],And who else?
01:45,Matt Landry,My boyfriend.
01:46,[Speaker],Who? The same guy?
01:48,Matt Landry,Okay. I called my sister on his phone last night and she's going to come pick me up and take me to where she lives.
01:55,[Speaker],When she going to pick you up?
01:57,Matt Landry,This morning.
01:57,[Speaker],What time?
01:58,Matt Landry,She didn't give me a time.
01:59,[Speaker],Can you contact her now?
02:01,Matt Landry,I don't know. I got to get some stones.
02:02,[Speaker],"That your boyfriend step out. But you you remember that lady? We always go there for her son and her daughter-in-law. She was staying in the trailer. They had the like camping in front of the trailer for the dogs. Yeah. What happened over there? They got put out or something? They lost them. You know her trailer got messed up with the storm. And the camper she was in, that was a FEMA camper, I think. And they took it. They took the camper."
02:26,Matt Landry,They want to know what time you coming to pick me up.
02:28,Matt's Sister,"I can be there by 10:30 at the latest. Sir, I'm coming to pick her up. She's going to come and stay with me at my house until her trailer gets moved over there. I'm going to come and get her and my niece. Um, if you want, you can have my address and my phone number. Um, she's going to come stay with me."
02:46,[Speaker],That's your son?
02:48,Matt Landry,"For the time being, y'all have to pack up. Y'all have to pack up and leave like ASAP."
02:54,Matt's Sister,"Okay, let me go. Does he need my phone number or anything? I'm telling him that this is legit. We're I am coming."
03:01,[Speaker],"No, I don't need your phone number."
03:02,Matt's Sister,"All right, love you. I love you too. Bye."
03:04,[Speaker],What's his name?
03:05,Matt Landry,"His name is Matt Landry. And yes, that's my boyfriend."
03:09,[Speaker],Good morning.
03:11,Matt Landry,"All right, good. Hang up. That's what we got."
03:14,[Speaker],"Okay, come on."
03:14,Matt Landry,"Every since you come pick you up, you can't just be behind people houses. People get nervous. It's a lot going on."
03:19,[Speaker],Yeah.
03:20,Matt Landry,I got.
03:21,[Speaker],We don't need to hear it. Just go ahead and pack up and do what you got to do.
03:24,Matt Landry,I have no problem packing up. I ran out of gas last night.
03:29,[Speaker],Huh?
03:30,Matt Landry,"I ran out of gas here. The Walmart's here. We'll pack everything up, but I can't move until you know, I get her to let me."
03:40,[Speaker],Okay.
03:41,Matt Landry,Put some gas in Walmart.
03:43,[Speaker],"All right, that's fine."
03:45,Matt Landry,"That's easy. Last time we were on the levee, this mattress and blanket or something."
03:49,[Supervisor],"They were um, yeah, they were on the other side of the levee with a like a whole mattress."
03:53,[Speaker],Hey. Hello.
03:54,Matt Landry,This is me talking to my sister.
03:57,[Supervisor],"Okay, it it don't matter. We're staying in bond. We're waiting for a supervisor and everybody."
04:01,[Speaker],Okay. Where have you where have you been staying?
04:04,Matt Landry,I've been staying in the tent.
04:06,[Supervisor],But where has she been staying?
04:07,Matt Landry,"During the day, she goes to school and last night she slept with us. The man over there told us we had to go last night."
04:16,[Supervisor],Cedar.
04:17,[Speaker],"Yeah, you gonna hang tight in front of his car, bro."
04:19,Matt Landry,"Um, told us we had to leave last night. My intention is what, what to come back here. But I did contact my."
04:25,[Supervisor],"Okay, here's the thing. Long-term, where is she sleeping?"
04:29,Matt Landry,"Long-term, she'll be at in Holden."
04:32,[Supervisor],"No, not where she will be. Where has she been all this time since the last time we saw you, cuz you went to her daddy's house. So where has she been since then?"
04:39,Matt Landry,I think to her daddy's house.
