start_time,speaker_label,transcript
00:00,Jumailo,Get out of the car. Why are you arresting me for?
00:01,[Officer],Get out of the car.
00:02,Jumailo,Why are you arresting me for?
00:03,[Officer],Get out of the car.
00:04,Jumailo,Why are you arresting me for?
00:06,[Narrator],"On March 26, 2025, an officer was conducting speed enforcement using an unmarked Dodge Durango."
00:12,[Officer],Hi there.
00:14,[Officer],You're going almost 60 miles an hour.
00:15,Jumailo,I can see my speed limit here. I was going 35. The speed limit is 45. I know I wasn't going no 60. I can see my speed limit. It tells me the speed limit right there.
00:25,[Officer],"Well, you were passing every car."
00:27,Jumailo,"I was going 35. It's a big SUV, it's a Audi. It goes pretty fast for the speed."
00:32,[Officer],"Okay. Do you have a driver's license on you, miss?"
00:34,Jumailo,"Yes, I do."
00:35,[Officer],Do you understand that when you're passing many cars?
00:38,Jumailo,"I can what I'm telling you is I can see my speed limit. It tells me the speed limit right there, 45. I was going 35."
00:44,[Officer],I understand that. Do you understand that I'm a trained motor cop? I do this for a living.
00:48,Jumailo,"I understand that, but you have something to show me what I was going 60?"
00:50,[Officer],"Yes, you were passing all the cars."
00:52,Jumailo,You have something to show me I was going 60?
00:53,[Officer],My radar showed you at 57 miles an hour and you're passing all the cars.
00:58,Jumailo,"Sir, I know what I was doing."
00:59,[Officer],Did you know that you were passing all the cars?
01:01,Jumailo,I was going 35. There was no cars on the road. It was just me and you.
01:04,[Officer],"You are, are you, have you been drinking?"
01:06,Jumailo,"Sir, go, go run my license, get out my face, please. Go ahead. Bye."
01:09,[Officer],I'm trying to educate you.
01:10,Jumailo,Don't ask me if I've been drinking. That's a that's a racial slur right there because how do I look like I've been drinking because I'm telling you what I was going.
01:17,[Officer],Cuz you're you're doing 35 miles.
01:18,Jumailo,"If I was drinking, you want to do a breathalyzer or not?"
01:21,[Officer],"Okay, good."
01:24,[Narrator],A check of the vehicle's temp tag would show that the vehicle had been issued a permanent plate.
01:29,[Narrator],"In Florida, once that's done, the temp tag is immediately invalidated."
01:35,Jumailo,You're not supposed to take my license plate.
01:38,[Officer],You're not supposed to take my license plate.
01:41,[Officer],"Okay, so the temporary license plate is expired today and it's no longer assigned. You have a new license plate assigned to the vehicle."
01:46,Jumailo,I have six days to get a new license. You put my license plate back.
01:49,[Officer],"No, this license plate is no longer assigned to this vehicle. You have a new license plate assigned to it."
01:53,Jumailo,"Okay, well I haven't picked it up yet. That one hasn't expired yet. So you can put my license plate back. Today. So I still got six days to go get it. So I would like for you to put that back."
02:02,[Officer],"No, that's not how it works."
02:03,Jumailo,"And in the state of Florida, you have up to six more days to drive with an expired license plate, temporary. So I need you to put that back before I be suing you."
02:12,[Officer],You can sue me.
02:13,Jumailo,"Okay, I need you to put that back."
02:14,[Officer],"When I run the license plate, it's no longer assigned to the vehicle."
02:18,Jumailo,It is assigned to the vehicle.
02:19,[Officer],It's not.
02:20,Jumailo,So I need you to go put that back. It's a temporary. Do you need to see my registration?
02:23,[Officer],"No, I don't because it's no longer assigned to the vehicle."
02:25,Jumailo,"Okay, but I have 30 days. Okay, I have 30 days to get a this is just expired today."
02:30,[Officer],Yes.
02:31,Jumailo,So I have six more days to get my license plate.
02:33,Jumailo,"Yes, I do."
02:34,[Officer],We're not going to argue on the side of the road so I can get hit by a car while I'm talking to you.
02:37,Jumailo,So you have a license plate to put on my car?
02:38,[Officer],No.
02:39,Jumailo,So I need to put that one back.
02:39,[Officer],You need to go get it.
02:40,Jumailo,Exactly. So put that back so I can go get it.
02:42,[Officer],"No, it's not assigned to the car. I'm not having this discussion with you."
02:45,Jumailo,"Yes, it is. I have my registration in my."
02:46,[Officer],You're getting a ticket today for speeding. We can go in front of the judge and we can explain how you were speeding today.
02:50,Jumailo,I need my license plate back.
02:51,[Officer],There's a fine that you can pay or come and go to traffic court.
02:53,Jumailo,I need my license plate back.
02:54,[Officer],I'm not putting your license plate back. You're free to go.
02:56,Jumailo,"Yes, you are. I have my registration in here."
02:58,[Officer],You're free to go.
02:58,Jumailo,Which you never asked for.
02:59,[Officer],I don't need it. You're free to go.
03:01,Jumailo,"Yes, you do. It's a temporary license plate. You're not supposed to."
03:02,[Officer],You're free to go.
03:03,Jumailo,"I need my license plate, sir."
03:04,[Officer],You're free to go.
03:05,[Officer],You are free to go.
03:06,Jumailo,I need my license plate. How am I going to drive without a license plate? Make it make sense.
03:09,[Officer],Just drive.
03:10,Jumailo,I need a license plate. How am I going to go drive without a license plate?
03:12,[Officer],I'm not talking to you anymore. You're free to go.
03:17,Jumailo,You're not supposed to.
03:18,[Officer],Get back in your car.
03:19,Jumailo,You're not supposed to do that. You're not supposed to do that. I need my license plate back on my car. I have six days.
03:28,Jumailo,You're not supposed to do that. You racist ass.
03:30,[Officer],"If you don't get back in your car, you're going to get arrested."
03:32,Jumailo,"You're not supposed to do that to me, hoe."
03:33,[Officer],If you don't get back in your car.
03:34,Jumailo,You bitch.
03:35,[Officer],Get back in your car.
03:36,Jumailo,I'll shoot your ass.
03:37,[Officer],Get back in the car.
03:39,Jumailo,"I need my license, bitch. What's wrong with you? Get the fuck out of my face. I'll slap your ass. Get the fuck out of my face. Don't touch me. Freedom of speech. Get the fuck out of my face."
03:48,Jumailo,"Get your ass out of my face. Don't touch me. If I don't touch you, don't touch me."
03:53,Jumailo,Simple.
03:56,Jumailo,Get out of my face.
03:58,[Officer],"54, just have somebody 1018."
03:59,Jumailo,Get your ass out of my face.
04:00,[Officer],You'll be arrested. Get in the car.
04:02,Jumailo,For what? Why are you arresting me for?
04:03,[Officer],Get out of the car.
04:04,Jumailo,Why are you arresting me for?
04:05,[Officer],Get out of the car.
04:06,Jumailo,Why are you arresting me for?
04:07,[Officer],Get out of the car.
04:08,Jumailo,Why are you arresting me for? I need to know.
04:09,[Officer],Get out of the car.
04:10,Jumailo,Why are you arresting me for?
04:11,[Officer],I need you to get back in the car.
04:11,Jumailo,"Why are you arrest Okay, so what? I can stand out in the street if I want to."
04:14,[Officer],You're threatening me.
04:15,Jumailo,"I can stand out in the street. I can stand in the street. Do I have a gun? No, I don't. So you can't arrest me. Let me go."
04:20,[Officer],Stop.
04:21,Jumailo,Let me go then.
04:22,Jumailo,Stop. I have kids. Let me go.
04:23,[Officer],Get out of the car.
04:24,Jumailo,I'm not getting out of the car.
04:25,[Officer],Get out of the car.
04:25,Jumailo,Let me go cuz you're arresting me for no reason. Let me go now.
04:28,[Officer],Now you're going to get another charge for resisting.
04:30,Jumailo,Let me go. I'm not resisting. You're arresting me for no reason. Let me go.
04:32,[Officer],Stop.
04:34,Jumailo,Stop. Don't pull me. Do not pull me. I'm going to call my people.
04:37,[Officer],Okay.
04:38,Jumailo,Let me go.
04:38,[Officer],You can sit here until my my backup gets here.
04:40,Jumailo,I don't care. You're not going to call nobody. You're stupid. Don't touch me.
04:44,[Officer],So you're going to call more people.
04:45,Jumailo,I'm going to call my people to come get my kids. Are you stupid?
04:47,[Officer],You're going to call your kids.
04:48,Jumailo,Yeah. So go get my kids. Are you stupid?
04:50,Jumailo,Stop. I have two kids in here.
04:51,[Officer],Stop. Stop.
04:52,Jumailo,"Don't touch me, sir. Back up. Don't touch me. I'm telling you don't touch me."
04:56,[Officer],You're making this worse.
04:57,Jumailo,"You're making it worse cuz I didn't touch you, so don't touch me."
05:00,[Officer],You're making this worse than me.
05:01,Jumailo,Don't touch me. I'm calling my family to come get my kids. Are you stupid?
05:04,[Officer],Get out of the car.
05:04,Jumailo,Don't touch me.
05:05,[Officer],Get out of the car.
05:06,Jumailo,Don't touch me.
05:07,[Officer],Get out of the car.
05:07,Jumailo,Don't touch me.
05:08,[Officer],Get out of the car.
05:09,Jumailo,Don't touch me.
05:09,[Officer],Get out of the car.
05:10,Jumailo,Don't touch me. Don't touch me. Stop trying to touch my phone.
05:13,[Officer],You're really making this worse.
05:14,Jumailo,"Stop trying to touch my phone. I have the right to use my phone. This is my phone. Yes, I do."
05:18,[Officer],"You're under arrest. I'm telling you right now, you're under arrest."
05:20,Jumailo,I'm not under arrest for anything. And you are resisting.
05:21,[Officer],And you are resisting.
05:22,Jumailo,I'm not under arrest for anything. Back up.
05:23,[Officer],You're under arrest.
05:25,Jumailo,"Let me go, sir."
05:26,[Officer],Oh my God. You're going to get tased.
05:27,Jumailo,Let me go. Let me go.
05:28,[Officer],You're going to get tased. You want to get tased in front of your kids?
05:30,Jumailo,For what? I can sue you. I can sue you. You're arresting me for no reason. You're arresting me for no reason. You're arresting me for no reason.
05:38,[Dispatcher],"I'm getting resisting 2, we speak 14."
05:41,[Dispatcher],"Um, nearby we're getting resisting."
05:46,[Officer],Turn on your body cam.
05:50,[Officer],"Motor 26V, I'm trying to go 1015. She's resisting. Get somebody here 1018."
05:54,Jumailo,I'm trying to get I'm trying to come get my kids. I have two kids in here.
05:56,[Officer],Let go and get out of the car.
05:59,Jumailo,I have two kids in here.
06:01,Jumailo,"I have two. You are, he keeps touching me. I have two kids in here."
06:04,[Officer],Get out of the car.
