start_time,speaker_label,transcript
00:00,[Narrator],"Ian Waylen. If anyone was going to know where he was, it was going to be Ian. So later that night, they brought him into the interrogation room for hopefully the last interview that they'd need in this case."
00:11,[Police Officer],"They're their cameras are down, so I'm using this thing, okay? Okay. I'll spend you over here talking. You're not in any kind of trouble, okay? You're not in any trouble. Do you have any idea why you might be down here? Well, yes. Because of the fight or whatever, I guess that Thomas had."
00:31,Ian Waylen,Right? You know anything else about it? No.
00:34,[Narrator],"Remember, Ian hasn't been told any details of what actually happened yet. He doesn't know that Thomas killed Sabrina, or even that there was a physical exchange. But that's all about to change in just a few moments."
00:46,Ian Waylen,"Tom, let's talk about Thomas a little bit. When's the last time you've seen him? It's been about like a day or so. A day or so? What about his girlfriend, Sabrina? A day or so. Okay. What happened between Sabrina and Thomas? I just like heard an altercation and like see anything, I just heard them screaming at each other enough to where it alarmed me. Were they inside your house or anything like that? When they were screaming? Okay. Was there any, do you think physical going on or were they just screaming? Did you see anything physical? Did you hear anything physical? Did you hear yelling stop or him stop or anything? No. So whatever you heard screaming and stuff, where where were they at? Like, I guess it would be like down towards the kitchen area. I don't know, I heard them yelling and what not, and I went out there and I was like, hey man, are y'all okay? And They just said, yeah, man, fine, you know. And what did she say? Nothing."
01:36,[Narrator],"It's clear Ian was around when the fight happened, but it seems like he didn't realize how bad things had actually gotten. Apparently, Sabrina was actually crying when he went to talk to them, but he just figured it wasn't his business and went back to sleep in his room."
01:49,Ian Waylen,"Do you know what the fight was about? I don't. And honestly, I've got so much stuff of my own crap, like. Okay, when's the last time you heard from Sabrina? I don't know Sabrina. Like, I'm not making this up, like. But but she was that's Thomas's girlfriend or whoever. I don't even know that. Like, I just know that that there was an altercation between. I I don't even know if the Sabrina is if this is who like messed up teeth. I'm just I'm assuming that's who it was. So that day that whenever we went out there was the same chick? As the officer mentioned earlier, Ian has a habit of letting people that he barely knows stay at his house. But it turns out this is a recipe for disaster. Since people know he likely won't get involved in their business, they see this property as an area out in the middle of nowhere where they can do whatever they want with no eyes on them at all. Initially, this only resulted in smaller crimes, robbery or drug possession. But this time, it turned into something much more serious, and Ian is now about to find out exactly what happened."
02:46,[Police Officer],"Do you know why you're here? No. Remember I told you last time, we don't we don't come over here for simple stuff. Yeah, yeah, yeah, yeah, yeah. I remember you told me that. So what's up? She's dead."
03:00,Ian Waylen,"You're kidding me. What happened? Do you know? Well, from what she told us before she died was that she was getting her ass beat by Thomas over at your house in the barn with a golf club. She died? And so whenever you heard him arguing, when you said he was getting pretty rough, what did you see him do? I just slapping her. Slapping her. Well, I'm just trying to figure out what happened. And first of all, I'm telling you, he was in your house. He knows, so we can. From the very beginning, cops figured he knew a little more than he was letting on. Now he knows exactly what happened, how serious it was, and what the consequences will be if he doesn't give up everything he knows. Not only will he be implicated in the crime, but if Thomas is on the property and he ends up harming an officer, that will be his fault. The question is, is that enough for him to turn in his friend?"
03:49,[Narrator],"What's the last time you've seen Thomas when he was here? Is he at your house? I don't know. Where does he hide in your house whenever the cops are trying to get him? Where do where would he go hide inside? We're over there. Okay, the house is secure. We're going to search for him for it. Where would he be hiding? If he's in your house, where would he be at? You don't want that problem at your house. No. Like, I didn't know. Have you seen Thomas? Have you seen Thomas today? Tell me the truth, man. Yeah, I mean. Where was he at when you've seen him? Uh, in the house. Okay. Was he there when the cops got there? Just a while ago? Um, Ian. Can we take the Oh, you. Can we take the This is Ian's ultimatum. Ian had been put in a scary position. He knew what the right thing to do was, but he was also terrified of this footage getting out. Amongst the people he hung around, he didn't want to be seen as someone untrustworthy. So he asked for the camera to be turned off and told the detectives the truth. Ian admitted that Thomas was at his house. In fact, he was hiding in the vents. Apparently, that's where he was the whole time. Now the cops knew exactly where he was, but getting to him would be no easy task. To arrest him, they'd have to try everything they could to make contact with him, or else get into the cramped vents with a known killer."
05:10,[Police Officer],"Right. I mean, he knows we're here. Yeah, I assume he knows we're going to come back, I guess. I don't know. But in the interview they said he might be in the vent. Oh, yeah, that's what they're claiming. That's what Ian is claiming is that he might be in the vent. So, is this Ian's vent, the only one large enough for an adult that I know of? Is when you go in, there's a hallway that goes all the way back. There also be a blanket for the hallway. As we go in, still clear all the little areas that we go past. I don't want to get fixated and have him come behind us. Yeah, if you hit that vent, the downside is you'll have two rooms to clear in the hallway before the vent. So the last door is literally next to the vent. We'll figure it out if anybody sees something weird."
05:46,[Narrator],Several cops made it to the scene a few minutes earlier and have managed to locate the vents they think he's hiding inside of.
05:51,[Sheriff],"This, this is the County Sheriff's office. Come outside."
06:01,[Narrator],"He's not answering. Let him know if he doesn't. Look around the house. So that the vent he was in there, this got a huge cover. They saw it. It goes down. There's no access back there. Ian, have you Ian had the screw. He put the vent back on. So he knew he was down there. The officers are right. The vent cover couldn't have been put in place from the inside, so Ian had to have helped him hide. But they'll figure out what to do about that later. For now, they need to figure out a way to get Thomas out of the vents. To start with, locate his exact position, and they came up with a creative solution to do this."
06:51,[Police Officer],"Huh? He's right there. How far approximately? I don't want to get down there. Just trying to see if there's a mirror. I got a good phone. Just need duct tape and a little mirror. Just probably duct tape in the garage. You take a phone and a flashlight. Stick down and then just so we get some good light and light him up. Just confirm. It sounds far-fetched, but after pointing a phone and a torch deep into the vents, they were able to confirm precisely where Thomas was."
07:31,[Narrator],"He looks alive. You can see the back of his neck, a jacket. The problem was, he still wasn't responding, and they certainly didn't want to get in the vents with him. So while another group of officers checked the outside to ensure he couldn't escape, the cops tried desperately to reach out to him. But quickly, they"
