start_time,speaker_label,transcript
00:00,Savannah,"really do that. I had just woken up, everything was a blur. Um"
00:03,Detective,Okay.
00:05,Detective,"I I genuinely don't remember. Okay. So, I'm picturing it in my head because I wasn't there, but I don't want to get it wrong. So, when you say, like, can you give me a demonstration of what he did when the police approached? Like, what did he do body language-wise? What did he do?"
00:07,Savannah,don't remember.
00:22,Savannah,"Well, um, he I'm pretty sure he dropped his hat on the ground and he just like put his hands up."
00:28,Detective,"With his backpack on, like."
00:30,Savannah,"I think it's a Jordan backpack. It's black. Um, the only other things in the car were my bag, which is green, and he had another black duffel bag."
00:40,[Narrator],"The bag that Savannah mentions contains several of Edgar's items, including the weapon he used to kill Garcia."
00:47,Detective,You can see the black towards the barrel. And then it looks like the mag and the gun are separate.
00:54,[Investigator],is open. Okay. And there's a magazine with it. Okay.
00:59,Detective,Okay.
01:00,[Investigator],"So look, watch for trace evidence on the barrel or anything like that."
01:03,Detective,It's a 26. So it's a Glock 26. Yep.
01:06,[Investigator],It's almost like I'll get it.
01:12,[Narrator],"This information is what the detective uses to not only make sure that Savannah is telling the truth, but to find out whether this murder was premeditated or not."
01:22,Detective,Do you know Edgar to carry a firearm on a regular basis? Did you know he was carrying a firearm?
01:28,Savannah,I knew that he had it with him. Okay. I didn't know that he had it when we were like in the casino.
01:34,Detective,"Okay, so you were not aware of that. Does he generally carry it on his person when you guys go out?"
01:40,Detective,"No. I guess I'm trying to wrap my mind around, you know, sometimes people like for me, for instance, law enforcement, I carry it everywhere I go. Nature of the job, right? Some people only carry it sometimes if they feel like there might be a problem or they feel threatened or it's a bad environment or something like that. And other people carry it all the time just just in case, right? I know for a fact he doesn't have it on him all the time. Okay, so he doesn't have it on him all the time. Do you have any idea what would have prompted him to carry it today?"
02:08,Savannah,No.
02:09,Detective,"When he came back to the room, did you see the gun in his possession?"
02:12,Savannah,No.
02:13,Savannah,I saw it when we were leaving the hotel room about to go to the car.
02:17,Detective,And where did you see it at?
02:19,Savannah,He I think he put it in his like box. I I don't know if it's like a gun a gun case or what it is.
02:30,Detective,"Okay. So you I'm sorry, say that for me one more time. You saw it when you were leaving the room?"
02:34,Savannah,"When we and on yeah, from from the room to the car."
02:38,Detective,"Okay, so he stopped it and he put it in a box of some kind."
02:42,Savannah,I think it's his gun case.
02:43,[Narrator],"Under normal circumstances, it would not have been odd for Edgar to carry a weapon. This is because he worked as a"
