start_time,speaker_label,transcript
00:00,Officer Owens,You got it on you?
00:01,[Male suspect],I'll be right back.
00:03,[Bystander],"Yeah, is everything okay?"
00:05,Officer Owens,Do you guys know each other?
00:06,[Juvenile female],Yeah.
00:07,Officer Owens,"Okay. So, I got a call. How do you know each other?"
00:09,[Bystander],She leave.
00:10,[Juvenile female],Oh.
00:11,Officer Owens,How do you know each other?
00:12,[Dispatcher],You're clear. I'm Walgreens.
00:13,Officer Owens,Correct. That's the third time I've asked. How do you know each other?
00:15,[Bystander],"Is everything okay, sir?"
00:17,Officer Owens,"Okay. You're refusing to answer. That's fine. All right. If you got, how old are you? 18 at least? Yep. Can you come out here to my car with me, bud?"
00:24,[Bystander],"Is everything okay, sir?"
00:25,Officer Owens,I'm investigating something right now. You have been named in everything. I need you to step out to my car right now. Do you understand?
00:32,[Bystander],No.
00:33,Officer Owens,Okay. You can either walk out there or I'm going to escort you out there. It's your choice. Let's go.
00:38,[Bystander],Okay. Let's go.
00:39,[Male suspect],"Jesus, I'm coming."
00:41,Officer Owens,Let's go.
00:48,[Male suspect],Whoa.
00:49,Officer Owens,"Take your book back off now, see. Take your book. It's on recording by the way."
00:53,[Male suspect],That's mine. I'm a regular citizen. You're harassing me. I'm not doing this.
00:56,Officer Owens,Start me a car to Walgreens.
00:59,Officer Owens,Have a seat.
01:00,[Male suspect],"Oh, there you go."
01:02,Officer Owens,"I'm investigating something right now and you are not complying with me whatsoever, okay?"
01:07,[Male suspect],You're saying nothing. That's kind of suspicious. I need your ID.
01:12,[Bystander],Okay.
01:13,Officer Owens,Right.
01:14,[Male suspect],I haven't done anything.
01:15,[Dispatcher],"Blackmail, uh, with a backpack and then she's a light skin female black with a blue."
01:21,Officer Owens,How would someone not here know that?
01:23,[Male suspect],I haven't done anything.
01:24,[Dispatcher],We'll have an officer right now.
01:26,[Male suspect],What?
01:27,[Bystander],You're arresting someone for no reason.
01:28,Officer Owens,Who said you were under arrest?
01:30,[Male suspect],This is just how hostile you have been towards me.
01:32,Officer Owens,Nothing hostile at all.
01:33,[Male suspect],"Yes, you have. I've never seen that. You pulled away from me. I told you I was investigating something and you're pulling away from me. I told you to get out to my car."
01:38,[Male suspect],"Right. And I'm trying to be as cooperative as I can, but you're not giving me any information. I'm not following blind."
01:45,Officer Owens,"I told you that I'm investigating something, right? Okay."
01:48,[Male suspect],I have no right to as well. Like what is she's still recording. That's kind of embarrassing.
01:52,Officer Owens,"Everything's recorded, bud."
01:54,[Male suspect],"Right. That's cool. Everything is. It doesn't bother me one bit. It's still recorded, but I'm just."
01:57,Officer Owens,Okay. Is your dad home? Is your dad home?
02:00,[Juvenile female],Can I get a question?
02:02,[Juvenile female],I don't that's the situation that.
02:04,Officer Owens,"At this moment, I can't speak freely about that, okay?"
02:07,[Male suspect],"That doesn't make sense. You're here to serve and protect, not distress."
02:11,Officer Owens,You need to hang out for a minute. Go to have a seat in the car for a minute.
02:14,[Male suspect],And is everything okay? Can I have that?
02:16,Officer Owens,"Yes, everything is okay. Right now you are not under arrest. You are detained. I'm investigating something, okay? So I need you to have a seat in the car. Have a seat in the car. Get in the car completely. I am shutting the door."
02:25,[Male suspect],"You're using brute force, huh?"
02:27,Officer Owens,Nothing's brute force.
02:29,Officer Owens,I've explained everything to you so many times.
02:31,[Male suspect],You said you were investigating.
02:33,Officer Owens,Correct. That's all you need to know at the moment. I can't speak freely right now. Get in the car.
