start_time,speaker_label,transcript
00:00,Allie,Hi. The reason I stopped you is you ran the red light back there.
00:03,Allie,The baby needs to be in the car seat as well.
00:06,Allie,Do you have your driver's license on you?
00:08,[Passenger],I don't have it on me. I do have a license though. You can look it up.
00:11,Allie,How much have you had to drink?
00:13,[Passenger],"Oh, I haven't had no drink."
00:14,Allie,You haven't had anything?
00:16,Allie,"Car seat needs to be strapped in, okay? He was halfway out the window while you were driving."
00:20,Allie,"Through a red light. Had you gotten hit by a car, that baby would be dead right now, okay?"
00:25,[Bystander],"Can I, do you mind if I help?"
00:27,Allie,Please.
00:28,[Child],Oh.
00:29,[Child],Hey.
00:30,[Child],Hey.
00:31,[Child],I know.
00:33,Allie,"Do you want me to hold him while your, while you strap it in?"
00:37,[Passenger],"Yeah, I'm just trying to."
00:38,Allie,Thank you.
00:40,[Passenger],"I'll be back in a minute, okay?"
00:44,[Narrator],"Due to the suspicion of the driver being under the influence, the officer has the suspect contact the passenger's mother to come pick them up while the officer begins to write her report. Another officer arrives on scene and is about to witness the most despicable behavior of his career."
00:59,Officer Malone,"Officer Malone, New Berlin Police Department."
01:02,Officer Malone,"Hey, who's open, who's alcohol is in the vehicle?"
01:05,[Passenger],I just picked it up from down the road.
01:10,Officer Malone,So my partner said she saw open bottles of alcohol.
01:13,Officer Malone,Are you kidding me?
01:14,[Passenger],Huh?
01:15,Officer Malone,Are you kidding me?
01:18,Officer Malone,She just straight up backhanded this kid.
01:20,Allie,What?
01:21,Officer Malone,She just straight up backhanded that child.
01:31,Officer Malone,Do you see a mark on him?
01:33,Allie,I'm not doing anything.
01:35,[Passenger],I'm not doing anything. I'm not doing anything.
01:37,Allie,"You will not, I'm literally grabbing his pocket."
01:41,Officer Malone,Which side of the face?
01:43,Officer Malone,Smack.
01:45,Allie,You will not be able to prove this or whatever. It's not.
01:49,Allie,It's not.
01:51,Officer Malone,"All right, let's secure this."
01:54,Officer Malone,Where's mom?
01:56,Officer Malone,Where's mom?
01:56,Allie,I'm his mom.
01:57,Officer Malone,"No, no, no, your mother."
01:58,Allie,"Yes, I am."
02:00,Officer Malone,"Your mother, where is your mother?"
02:02,Allie,35 minutes away. She just doesn't give a fuck.
02:05,Allie,"Hey, sweetheart."
02:07,Officer Malone,Pop the trunk for me.
02:08,Officer Malone,Pop the trunk for me.
02:18,Officer Malone,"Who's booze, who's booze?"
02:20,[Passenger],Not mine.
02:22,Officer Malone,Okay. I'm just putting this on the trunk right now.
02:24,Officer Malone,"Where's, where's the bottle of liquor?"
02:27,Allie,I don't know.
02:27,Officer Malone,"Right by your foot right there. Let me, let me give me that bottle of liquor."
02:33,Officer Malone,All right.
02:35,Officer Malone,White.
02:48,Officer Malone,I think that's all of it.
03:00,Officer Malone,I think that's all of it.
03:01,Allie,We have fire en route too for someone who's extremely 56.
03:05,Allie,"No, you're not doing anything. I'm getting cold."
03:09,Officer Malone,I'm going to go check my camera real quick.
03:11,[Narrator],"The officer puts the baby back in the car seat for the time being and keeps an extremely close eye on the mother in the back seat. Due to the officer not believing what he just saw, he decides to deactivate his body camera to watch his footage and make sure he's correct. After watching it, he returns to tell the other officer what he saw."
03:28,Allie,You can't.
03:29,Officer Malone,You can't.
03:30,Allie,You can't.
03:31,Allie,"Oh, you can?"
03:32,Officer Malone,No.
03:33,Officer Malone,So my partner said she saw open bottles of alcohol.
03:36,Officer Malone,Are you kidding me?
03:38,Allie,"All right, can you stand by with them? I'm going to grab a blanket for him because he's freezing."
03:43,Officer Malone,Yes.
03:45,Officer Malone,We're getting a blanket right now.
03:46,Officer Malone,When's the last time you slept?
03:48,Allie,Two.
03:49,Officer Malone,He took a nap today?
03:50,Allie,Yes.
03:51,Officer Malone,Does he normally take a nap?
03:52,Allie,Yes.
03:55,Allie,You don't do it.
03:58,Officer Malone,"All right, Mr."
04:00,Allie,"This is the deal, okay? You're not in trouble, regardless what they say."
04:04,Officer Malone,I'm going to close this door so the wind's not on him.
04:06,Allie,Thank you. I just want to.
04:10,Allie,Still.
04:12,Allie,"Keep going, keep going, keep going, keep going, keep going, keep going. Perfect. Thank you. We can take the two."
04:18,Allie,Do you know what the legal limit in is Wisconsin?
04:22,[Passenger],Huh?
04:22,[Passenger],I'm not over the limit.
04:24,Allie,I'm sorry?
04:25,[Passenger],I'm not over the limit.
04:26,Allie,"Yeah, you're got three times the legal limit."
04:30,Allie,"Come on. Step out. I'm not arresting you, okay, but you can't be in the car right now and I'm going to need your keys."
04:36,[Passenger],You want the car?
04:37,Allie,Yes.
04:39,Allie,Thank you. Go ahead and stand back there.
04:43,Allie,Please put your hands. Thank you.
04:49,Officer Malone,"All right, so, what was going on in the parking ride?"
04:54,[Passenger],I was just talking to her.
04:55,Officer Malone,So you normally talk with your shirt off and your pants half down?
04:58,[Passenger],"No, I usually, like, I only took my shirt off earlier because it was hot, that's all."
05:03,Officer Malone,"Okay, and your pants?"
05:04,[Passenger],"No, my pants were on the whole time."
05:06,Officer Malone,"Well, you just said that and they were like half down."
05:09,[Passenger],"No, no, because my belt."
05:11,Officer Malone,"Okay, listen, I just need to know straight up."
05:13,Officer Malone,"Is that your husband, boyfriend?"
05:16,Allie,"No, he's not husband, boyfriend or anything."
05:17,Officer Malone,What were you doing?
05:18,[Passenger],I wasn't doing anything. I was just making out.
05:22,Officer Malone,"Oh, so you were making out?"
05:23,[Passenger],"Yeah, I know."
05:24,Officer Malone,"Okay, so you were doing something."
05:25,[Passenger],"Yeah, no, we were just making out."
05:27,Officer Malone,And where was the baby during this?
05:29,[Passenger],She was in the back seat.
05:32,Officer Malone,And you guys were getting it on in the back seat and then the baby was next to you.
05:35,[Passenger],"No, like I said, like we were, we just kissed, that's all. Like we didn't like have."
