start_time,speaker_label,transcript
00:00,"[Mother of the children, being interviewed by police]",going long. I was just out trying to handle some stuff. I I that's all I was trying to do. They were sleep. They were sleep. They were time to sleep. I made sure they were sleep. I have cameras in there.
00:10,"[Neighbor, providing information to police]",There's two little girls at a door and they crying and screaming mommy.
00:15,"[Neighbor, providing information to police]","out to see what was going on. And I see the two little girls was standing at the door crying, but I was scared to go inside."
00:22,"[Mother of the children, being interviewed by police]","But I see the camera was missing off her door and her car not out here, so I don't know. I didn't go inside. I I I don't I I don't know."
00:30,"[Neighbor, providing information to police]","My sister do got the two little girls, but we still don't see any signs of the mama."
00:34,[Narrator],"Officers spoke briefly with the neighbor, who had been comforting the toddlers until help arrived. Not long after, the children's mother appeared on scene, but her explanation left officers uneasy and searching for answers."
00:48,"[Mother of the children, being interviewed by police]","Yeah, that's my cousin."
00:51,[Police Officer],Sure.
00:52,"[Mother of the children, being interviewed by police]",Yeah.
00:53,"[Mother of the children, being interviewed by police]",What's going on? I I
00:55,[Police Officer],Just just listen to me.
00:56,"[Mother of the children, being interviewed by police]",Okay. I'm sorry.
00:57,[Police Officer],"I'm going to read you your question, all right? You have the right to remain silent."
01:00,[Police Officer],And not answer any questions. Do you understand that?
01:02,"[Mother of the children, being interviewed by police]",Yes.
01:03,[Police Officer],"Just just listen to me. I'm going to read this and I'm going to explain everything, all right?"
01:06,"[Mother of the children, being interviewed by police]","Okay, don't take my kids, please."
01:07,[Police Officer],"Just give me one second, okay? Before you make any statement during any question."
01:11,"[Mother of the children, being interviewed by police]","Okay. Okay. Yes, I do. I do."
01:13,[Police Officer],"Just let me get through this, then we'll get to it, all right? If you cannot afford a lawyer, your entire presence will be recorded for you before you make any statement during any question. Do you understand?"
01:21,"[Mother of the children, being interviewed by police]",Yes. Yes.
01:23,[Police Officer],Any statement you can be may be used against you in the court of law. Do you understand that?
01:27,"[Mother of the children, being interviewed by police]",Yes.
01:28,[Police Officer],"Um, any statement you make must be freely and voluntarily given. Do you understand?"
01:33,[Police Officer],"If at any time during the interview, you do not wish to answer any questions, you are to remain silent. Do you understand?"
01:39,"[Mother of the children, being interviewed by police]","Yes, I will answer."
01:40,[Police Officer],Okay. I can make no threats or promises to induce you to make a statement. Induce you to make a statement. This must be on your own free will. Do you understand?
01:48,"[Mother of the children, being interviewed by police]",Okay. Yes.
01:49,[Police Officer],"Okay. With that, you're right to mind, do you want to talk to us?"
01:52,"[Mother of the children, being interviewed by police]","Yes. I just went, I work from 9 to 5, okay? I just started the job."
01:56,[Police Officer],Okay.
01:57,"[Mother of the children, being interviewed by police]","Not 9 to 5. I work, I work from 7:00 a.m. to 9:00 a.m. I needed to go just get groceries right quick and get some gas and do other stuff. I don't have time during the day, even though they're at daycare, I only get 30 to 45 minutes of break time."
02:12,[Police Officer],Okay. What store did you go to?
02:14,"[Mother of the children, being interviewed by police]","Oh, to Walmart, got some gas. I went to the, I went to the one in Palm Beach Gardens."
02:19,[Police Officer],Palm Beach Gardens?
02:20,"[Mother of the children, being interviewed by police]","Um, cuz this one right here close. Um, so I went, that's my auntie."
02:26,[Police Officer],You were one second. One second.
02:27,"[Mother of the children, being interviewed by police]",I went to the one in Palm Beach Gardens.
02:28,[Police Officer],"Palm Beach Gardens, you went to Walmart?"
02:30,"[Mother of the children, being interviewed by police]",I got gas.
02:31,[Police Officer],"Okay, you went to Walmart."
02:31,"[Mother of the children, being interviewed by police]","I got gas before I got, before I left."
02:33,[Police Officer],Around what time?
02:34,"[Mother of the children, being interviewed by police]","Like 10, 11."
02:37,[Police Officer],"10, 11?"
02:37,"[Mother of the children, being interviewed by police]","Yes, like it wasn't like long."
02:39,[Police Officer],"The Walmart you were at 10, you were at 10."
02:42,"[Mother of the children, being interviewed by police]","Yeah. 10, 11 you were at Walmart."
02:43,"[Mother of the children, being interviewed by police]","Yeah, but I got, I got there, yes. Yes, I had to go get gas, got there real quick before."
02:48,"[Mother of the children, being interviewed by police]","Um, I got there before I got gas. So maybe like, I don't know, like 10ish, like close to 11. It it's right there. The gas station is right there. So it's not like five minutes away. It's like two, three minutes away."
03:04,[Police Officer],You said you got gas before you went to Walmart.
03:06,"[Mother of the children, being interviewed by police]",Yes.
03:07,"[Mother of the children, being interviewed by police]","So I wasn't gone long. I wasn't gone long. I was just out trying to handle some stuff. I I that's all I was trying to do. They were sleep. They were sleep. They were time to sleep. I made sure they were sleep. I have cameras in there. Cameras outside the door. I I have that. I made sure they were sleep before I left so I wouldn't have to wake them up. My other daughter, she's sick, she has a cold. It's cold out here, correct? I wasn't trying to rush her out here. I was being considerate. Don't don't get me wrong. I was being considerate and I was being understanding. I was only gone for I didn't a couple minutes, like literally, maybe like"
03:39,[Police Officer],So what time what time did you say you got?
03:41,"[Mother of the children, being interviewed by police]","Um, I got ready, got dressed, took a shower. Um, maybe like 10:50. 10, 10:50. Cuz it was between between 10 and 11. It was between 10 and 11."
03:55,"[Mother of the children, being interviewed by police]","Do you ever have you ever No, I No, I normally have my dad. I have my dad, my auntie, and my cousin."
04:03,[Police Officer],Okay.
04:03,"[Mother of the children, being interviewed by police]","I know I normally have, but I just started a job. I needed groceries. I don't have barely any groceries. Um, that's why I told you my day is training on the computer. If you want to if you go in there, you can see my laptop, you can see my desktop. I work all day. I don't get off until 9, 10, 10:30ish. So I work all day. I don't have time, even though I get breaks in between."
04:29,[Police Officer],"I'm sorry, you told me 7:00 a.m. to 5:00 p.m."
04:32,"[Mother of the children, being interviewed by police]","No, no, I didn't say 7:00 a.m. I get off at 9:00, 10:30. You can see I can even show you my schedule. I can show you my schedule. I get off that time. Every time. Yes."
04:44,[Police Officer],You go tomorrow?
04:45,"[Mother of the children, being interviewed by police]","Tomorrow, yes. I went into work at about like 12:00, 12:30. So we have a long training shift because I work for Turbo Tax. So that's what I was doing."
04:58,"[Mother of the children, being interviewed by police]","Yes, so I I normally don't leave them alone. No, I do not. Um, I normally always take them with me everywhere I go. It's just that I've been really busy."
05:06,[Police Officer],"When uh we called, where were you at?"
05:09,"[Mother of the children, being interviewed by police]","When I called, I was on the highway coming down the highway."
05:12,[Police Officer],"When we called you, you were on the highway?"
05:14,"[Mother of the children, being interviewed by police]","Yes. Yes, when you called me, when my auntie called me, I was on the highway. I was heading back. I said, Auntie, she said she called me. She said the cops are here. I said I'm heading back."
05:22,[Police Officer],Heading back from?
05:23,"[Mother of the children, being interviewed by police]","I'm heading back from where I was. I had after I had went to the store, got some food. Uh, I I was I went to go, um, damn, I'm sorry. I went to go to drop off some food at my friend's house cuz he had asked for some food. So I dropped off some food and I said I was heading home. That's it."
05:42,[Police Officer],"Okay, so after after McDonald's, you went to go drop off food."
05:45,"[Mother of the children, being interviewed by police]","Yes, and that's it."
05:47,[Police Officer],Where's your friend live?
