start_time,speaker_label,transcript
00:00,[Narrator],911 was flooded with numerous calls about this driver.
00:03,[911 Caller],Holy.
00:06,[Dispatcher],"Okay, what direction are you traveling?"
00:09,[Narrator],Other bystanders are horrified by the devastation that the driver left in his wake.
00:13,[Witness],"You want to set on the car? I didn't realize about that until I seen the broken cones and the shoes and then I thought, oh my God, that probably was a person, so."
00:22,[Narrator],"On May 25th, 2021, Mount View dispatch received this phone call alerting police to an erratic driver."
00:30,[Dispatcher],"911, what is the address of your emergency?"
00:34,[911 Caller],"Um, we are on what road is this? County Road County Road 10, Mount View Boulevard. There's a guy like driving all over the road. He has a cracked windshield. He's going over the curb into the school."
00:49,[Dispatcher],"Okay, what direction are you traveling?"
00:52,[911 Caller],"Oh my God, I can't. Oh, I can't. He's coming back over here. He's running. He's running."
00:59,[Dispatcher],He's on foot.
01:02,[911 Caller],"Yeah, he's running on foot. Where is his vehicle?"
01:05,[911 Caller],He literally almost hit us head on in my neighborhood and then he ended up on the Boulevard right behind us again. I don't know I don't know what's going on.
01:14,[Dispatcher],"Okay. Well, I don't know if he hit anybody, but all I know is that um when he drove past us, his um his car wasn't damaged."
01:22,[Narrator],"The caller relayed the license plate and the car's description to the police. However, 911 quickly got another call confirming dispatch's worst fears."
01:31,[911 Caller],A woman has been hit by a a car. She's in the road. The car has left the scene.
01:38,[Dispatcher],"All right, is she injured?"
01:41,[911 Caller],"Oh yeah, she's extremely. She is not moving. She's not moving."
01:44,[Narrator],No one could have prepared the officers for what awaited them at the scene of the hit and run.
01:49,[Dispatcher],Her throat's just completely gone.
01:55,[Dispatcher],"So, like torn open."
01:57,[Police Officer],Torn open.
02:01,[Dispatcher],I think it's a that's what I'm wondering. I thought it was a doll when I got here.
02:04,[Police Officer],7227. She's the over heard suspect vehicle may have a broken windshield. No further description.
02:20,[Dispatcher],"Give us a minute to get everything and we'll get information from you. Wolf, you just want to shut this down too. All together cuz it's good."
02:31,[Witness],These two are the witnesses.
02:33,[Police Officer],"In the area 7500 Greenfield for 911 open line within 16 meters, nothing heard."
02:41,[Dispatcher],Did you call?
02:42,[Witness],Yes.
02:42,[Dispatcher],Did you witness it?
02:43,[Witness],Yes.
02:44,[Dispatcher],Okay. She saw the vehicle.
02:47,[Dispatcher],What can you give me on the vehicle?
02:49,[Dispatcher],"Sorry, I know we got."
02:51,[Witness],It was it was a blue a blue SUV. The windshield is smashed in front of the driver.
02:59,[Dispatcher],Okay.
03:00,[Police Officer],7227. And it went that way really fast.
03:03,[Dispatcher],South?
03:04,[Witness],Yep.
03:06,[Dispatcher],"7227. I am getting a a suspect vehicle description of a blue SUV, front wheel windshield to be totally smashed in and it was southbound on Long Lake Road. Male driver."
03:18,[Dispatcher],Male driver.
03:21,[Witness],I couldn't see the person because of the windshield.
03:23,[Police Officer],"7227 copy. Suspect vehicle blue SUV, front windshield should be smashed in. Southbound Long Lake Road with a male driver. 7224."
03:28,[Witness],You want to set on the car?
03:34,[Dispatcher],I don't know there was an SUV. I don't know if it was an SUV. It was just.
03:38,[Dispatcher],It was an SUV or was it a car?
03:41,[Witness],I think it was an SUV.
03:42,[Dispatcher],Okay.
03:42,[Witness],I'm not sure.
03:43,[Witness],I'm going north from from. You're back.
03:46,[Police Officer],"7224. I have an SUV and that's well, not this one, but but it looked like that."
03:51,[Dispatcher],Okay.
03:53,[Dispatcher],"Okay. I'm sorry, ladies, that you had to witness this today. I appreciate you."
03:57,[Witness],I just took me a second to figure what had happened. I'm just going by and I seen this car driving south and I I went to look see who was in it and the windshield's all smashed right from the driver.
04:08,[Dispatcher],Okay.
04:09,[Police Officer],7264.
04:11,[Dispatcher],So you're both traveling southbound as well?
04:13,[Witness],I'm going I'm going north.
04:14,[Dispatcher],That's south.
04:16,[Witness],He was going south. She was going north north. She saw his windshield and then turned around and came back.
04:22,[Dispatcher],Okay. So was she just walking across this street?
04:24,[Witness],"No, she was over here raking in her yard in between the Boulevard and the white thing. You know, on the side of the yard. She was she was, you know, standing here raking. He went around me and hit her and kept on going. Didn't even slow down."
04:38,[Dispatcher],Okay.
04:39,[Witness],All I seen was I seen I I didn't know.
04:42,[Dispatcher],So you were going northbound.
04:44,[Witness],I was going up to church something for church and I seen kind of what was going I seen the broken cones and then I seen I wasn't sure what that was and and then I realized what it cuz I seen the broken windshield.
04:57,[Dispatcher],"Okay. So that was why you turned around, but you didn't actually see the impact?"
05:01,[Witness],"No, she did."
05:02,[Dispatcher],Okay. Do you want me to get medics to check on you at all or is there somebody I can call for you?
05:07,[Witness],"No, I don't live that far from home."
05:09,[Dispatcher],Okay. Otherwise we can have somebody get your car home and I can drive you the rest of the way. We can figure out a way if you don't want.
05:15,[Dispatcher],"So, you're going southbound. Was the car in front of you or behind you?"
05:18,[Witness],He was behind me and passed me.
05:21,[Dispatcher],So he passed you in this no pass zone.
05:24,[Witness],Yes.
05:24,[Dispatcher],"And he must not have seen she was out. So she was kind of on the shoulder there, the bike."
05:29,[Witness],I'm going to I'm going to say he did for sure see her and just he was in such a freaking hurry.
05:34,[Police Officer],Okay. Or maybe it took him by surprise that she was there. But he was I was I was 30 cuz there's so many cops on this road. He just went right around.
05:46,[Witness],And he didn't stay in the other lane.
05:50,[Dispatcher],"Okay. So he passed you and whether or not he saw her, he was in such a rush, he just went right through."
05:59,[Witness],Yes.
06:00,[Dispatcher],"And it was a blue SUV, broken windshield."
06:04,[Witness],Okay. He drove right away and then I realized that what had happened. So I turned around at the next going to church. I didn't say I come back.
06:17,[Dispatcher],"Okay. All righty. Nope, that's that's not your job. The fact that you called is appreciative enough. And I don't blame you for not wanting to see that as a citizen, you don't have to. So, you guys did the right thing. I appreciate you staying around. If you want to go, you can or I can call um."
06:37,[Witness],I walked across the street a little bit and then I knew that it was it was not what's going on over there.
06:43,[Dispatcher],So you think a normal royal blue like that can't get to make him out. Did you get a partial plate or anything like that? It's okay if you didn't at all. We have to ask all those questions. It's okay to not know.
06:53,[Witness],"I thought about it, but then I saw her. Yeah, and yeah, yeah. I didn't realize about that until I seen the broken cones and the shoes and then I thought, oh my God, that probably was a person, so. And I came back cuz I know she was here at home."
07:06,[Dispatcher],"Okay. Uh, they might have the vehicle as an update. Otherwise, we've got every agency in the area searching for it. Every agency."
07:15,[Witness],All I know is.
07:16,[Dispatcher],"So we are going to do our darndest to catch this guy or guy, it sounds like."
07:20,[Witness],Okay.
07:22,[Witness],I live over on.
07:24,[Dispatcher],"Okay. I would love to hug you, but I don't know if that's odd. But like I am I am."
07:28,[Dispatcher],"I'll take it. Okay. And I'm sorry you had to see this today. No, we deserve to witness that. Okay. If you have any questions for us or you need anything from the police department, please reach out. We will do whatever we can for you."
07:40,[Witness],Let me know if you catch the guy.
07:41,[Dispatcher],"I I should be able to give you that information. Absolutely, okay. I've got all your info and I'll keep you in the loop, okay?"
