start_time,speaker_label,transcript
00:00,[Police Officer],Did they serve her food?
00:01,[Bystander],I didn't.
00:02,[Police Officer],"A lot of her. So did you guys, did you guys allow her? I'm saying, did you guys allow her because you guys you guys didn't come in. They said no."
00:10,[Restaurant Employee],"They said you're talking with a cop about the situation, something like that."
00:14,[Police Officer],Okay.
00:16,[Customer],I just got food. What are you doing?
00:19,[Police Officer],Don't fight. Don't fight.
00:20,[Customer],What are you doing? She just said I could order food. Why are you doing?
00:25,[Customer],You just said I could order food.
00:28,[Customer],She just said I could order food. Really?
00:31,[Police Officer],This a restaurant.
00:33,[Customer],"Wait, wait, wait, wait. I I know my rights."
00:37,[Police Officer],"Wait. Don't fight. If you fight, you're going to get hurt. I'm telling you."
00:41,[Police Officer],Put your hands together.
00:42,[Customer],"Girl, did you not just say I could order food?"
00:46,[Customer],Did you not just say I could order food?
00:49,[Restaurant Employee],You told me you're talking to the cop.
00:50,[Police Officer],"God, she's been here right now."
00:52,[Restaurant Employee],You just told me that.
00:53,[Customer],I was on the phone with them and I asked you if I could order food. Now I have to call them again.
00:59,[Customer],Now I have to call them again.
01:02,[Police Officer],Relax.
01:03,[Customer],Can I please just can you please stop?
01:05,[Police Officer],You're on arrest.
01:06,[Customer],Can you please stop?
01:07,[Police Officer],Right now. Right now.
01:09,[Customer],For what?
01:09,[Police Officer],Trespassing.
01:11,[Customer],For what?
01:11,[Police Officer],Trespassing.
01:12,[Customer],For what?
01:14,[Customer],You just said I could order food.
01:17,[Restaurant Employee],You went to the bathroom and I told you they just told you to leave and then you say you're talking to them.
01:22,[Police Officer],Let's go.
01:23,[Customer],Please. That's my phone.
01:25,[Police Officer],Your phone's right here. We got your phone.
01:27,[Customer],"Bro, what the"
01:29,[Customer],"You just said I could order food. Bro, what the"
01:34,[Customer],What the
01:36,[Customer],Dude.
01:36,[Police Officer],"Relax, relax."
01:38,[Customer],Can I please make a phone call?
01:39,[Police Officer],"Relax, relax right now."
01:40,[Customer],I need to talk to your manager.
01:41,[Police Officer],Relax right now.
01:42,[Customer],I was just on the phone with the company. Let me make a phone call.
01:48,[Police Officer],"Hey, can you relax?"
01:49,[Customer],"No, I can't. She just said I could order food."
01:53,[Police Officer],We told you you weren't allowed back on the property.
01:55,[Customer],And she said that it was okay. She just said it was okay. I don't understand this. Let me get something to drink. I have a medical issue.
02:07,[Police Officer],Simple.
02:08,[Police Officer],We'll get you medically cleared before you go to jail.
02:11,[Customer],Please. What's your medical issue? I need to make a phone call. I have intussusception.
02:18,[Customer],Please.
02:19,[Police Officer],Do not fight it. You're not getting away with this. Do not fight it.
02:22,[Customer],Please.
02:24,[Police Officer],You're going to get more charges.
02:26,[Police Officer],We told you we'd give you several chances.
02:28,[Customer],Can I please just get my drink?
02:32,[Customer],Can you please just go get my drink?
02:36,[Customer],I need to make a phone call. I was just on the phone with your company. This doesn't make sense. She said I was able to order food.
02:45,[Police Officer],We told you already not to come back.
02:47,[Customer],"And then I asked her, I said I lost my mail in the bathroom."
02:51,[Customer],Can she come out and talk to you?
02:54,[Police Officer],She already told us.
02:56,[Customer],"I need to make a phone call. I need to make a phone call. Please, officer, please. Please, please, I will not resist."
03:05,[Customer],Can you please just let me make a phone call?
03:07,[Police Officer],Just relax. Just relax. Just relax for now.
03:09,[Customer],I've done nothing wrong.
03:11,[Police Officer],Just relax for now so I can take this off.
03:12,[Customer],"I've done nothing wrong. I know my rights. You are violating me, my rights. You're violating me. You're violating me and my rights."
03:22,[Police Officer],Stop clenching.
03:25,[Customer],"You are violating me and my rights, sir."
03:29,[Police Officer],You're reaching for.
03:31,[Customer],You are violating me and my rights. I'm trying to get my nail that just broke off. I don't need to be going to jail. I'm going to the bathroom.
03:46,[Customer],I need to make a phone call.
03:48,[Police Officer],"Listen, you need to stop."
03:49,[Customer],I need to stop. Tell me I need to come out here. Please. I already reported you guys.
03:57,[Police Officer],And that's good. That doesn't mean that you can't come back.
04:01,[Police Officer],Let's put her in the car.
04:03,[Customer],I need my I need my drink and please one of you get my drink.
04:09,[Police Officer],Stop. What you're doing right now is not helping.
04:13,[Customer],What you're doing is illegal. Don't take her off. Do not take my grandmother off. We're going to the bathroom.
04:24,[Police Officer],All right. All right.
04:26,[Customer],You just broke off all of my nails.
04:30,[Police Officer],"All right, stand up. Get in the car."
