start_time,speaker_label,transcript
00:00,Allison,What are you?
00:01,Natalia,I can't have you walking away.
00:03,Allison,I had nothing to do with this.
00:05,Natalia,I'm trying to go home and you're making things more difficult. You just don't realize that.
00:10,Allison,You guys understand why I'm walking away and I know you'll do.
00:13,[Police Officer],We're trying to get you guys a ride home.
00:15,Allison,I don't need any ride home. I can get my.
00:18,Allison,She's got nothing to do with it. I was the one that cat.
00:20,Natalia,"I understand that, but we lose someone, that's an issue. She can get attacked if she walks away."
00:26,Allison,Let her go there.
00:28,Allison,I don't need to.
00:30,[Police Officer],How far are you going from here?
00:32,Allison,I live on.
00:33,Allison,"I know that they are emotional, but I'm not."
00:35,[Police Officer],Hey.
00:36,[Police Officer],"Hey attorney, you want to just take give them a ride home?"
00:38,Allison,I had nothing to do with this. Why would I hurt?
00:41,Allison,Why would I get involved?
00:42,[Police Officer],"Hey, she's got nothing to do with it."
00:44,Allison,"I'm not. Sorry, that's your problem. I had nothing to do with it. I don't have to talk to you all."
00:49,[Police Officer],You don't have to talk to.
00:50,Allison,I don't. I don't.
00:52,Natalia,Like very aggressive.
00:53,[Police Officer],You can't you can't leave yet.
00:54,Allison,"I'm sorry, but my my brother-in-law is a New York is a New York NYPD. He actually died."
01:01,[Police Officer],Are you recording?
01:03,Allison,"I No, I'm not recording right now. And guess what?"
01:05,Allison,Because why would I need to?
01:07,[Police Officer],You can't leave yet.
01:08,Allison,I can I can do whatever I want. This is America.
01:10,[Police Officer],"No, come back here."
01:11,Allison,I'm recording. How am I resisting? We're resisting what?
01:14,[Police Officer],I can't.
01:15,Allison,What am I resisting?
01:16,[Police Officer],I'm telling you to stay because we're conducting an investigation and you're walking away.
01:19,Allison,"Stop. You will listen, look at me, look at me and not him. I will be arrested."
01:21,Natalia,"Listen, look at me, look at me and not him."
01:23,Allison,I will be arrested.
01:24,Natalia,"No, I won't. This is not Virginia. This is Florida. You will be arrested. You are a you aren't."
01:30,Natalia,"Listen, you are walking away from an investigation. Therefore, you are no, because it's in your world, you think you're in Virginia, you're not and you will be in jail. Think about your job, think about your husband, your career. It is not worth it for you being drunk and stupid and not paying attention thinking you think you know your rights. It's different in every state. So please walk back."
01:49,Allison,My rights haven't been read to me yet.
01:51,Natalia,Walk back.
01:51,[Police Officer],"We're not asking any questions, but you have to stay here."
01:53,Allison,You just have to stay with us. Why?
01:55,Natalia,Just stop. Is it worth it?
01:57,Allison,Why? I'm an American. You just stop.
02:00,[Police Officer],I don't have her. What about what she says that she lives five minutes away from here. We could just take them to where they're going. So they all go to sleep and call it a night.
02:09,[Police Officer],"Oh, they just want what? Trespasses or?"
02:11,[Police Officer],"I I think so. I think all the part you asked, I haven't gotten to the bottom of it, but I'm just saying because this chick's going to probably give every Uber."
02:18,Allison,Stop!
02:19,Natalia,"Megan, just stop! Shut up!"
02:21,Allison,What is wrong with you?
02:22,Natalia,Shut up!
02:23,[Police Officer],Let me let me explain this. I just explain this to you.
02:25,[Police Officer],"Right now, we are investigating something. You are not free to leave. If you do walk off."
02:30,Allison,Stop!
02:31,[Police Officer],"Let's just listen, okay? If you walk off and you don't listen to us, you will go to jail."
02:37,Allison,Why? Cuz you're walking off.
02:39,[Police Officer],You're not free to leave.
02:40,[Police Officer],Why? Because we are investigating a crime.
02:43,Allison,What are you investigating? What crime?
02:44,[Police Officer],I've already explained this to you.
02:45,Allison,"No, I'm telling you. Stop, Megan, you're not free to leave. Stop, Megan, just stop."
02:50,[Police Officer],"Let it go, let it go, let it go."
02:51,Allison,Go for it. Go for it.
02:54,Natalia,It's okay. You're being ADHD. You're lighting you're lighting your disability.
02:59,Allison,No one has read me my Miranda rights. This is against the law.
03:03,Natalia,They did tell you. Can you keep talking?
03:05,Allison,"No, I'll say it. I'll say it."
03:06,[Police Officer],We're not asking you any questions about anything. So we don't need to read you Miranda because you're not.
03:12,Allison,"Actually, no Miranda rights are read to me all the time. I'm I want a Netflix show with for all of you."
03:19,[Police Officer],"You need to chill, is what you need to do."
03:20,Allison,Oh my God.
03:22,[Police Officer],You're talking yourself into going to jail.
03:24,Natalia,Falling on the ground is your fault.
03:26,[Police Officer],Why are you falling on the ground? Get up.
03:28,Allison,Read me my rights. Read me my rights. My rights haven't been written. My rights haven't.
03:32,Allison,What did I do? What did I do? What did I do?
03:34,[Police Officer],Right now you're under arrest.
03:35,Allison,What did I do?
03:36,Allison,You have not said anything. You have not told me one time what law did I broken?
03:41,[Police Officer],"Okay, it's all on camera."
03:42,Allison,"What law have I broken? I'm allowed to drink. This is the United States of America. Everyone's allowed to drink alcohol. I haven't done anything. What law did I break by saying that I don't want to talk to you guys? And I was literally in an Uber. Y'all accosted me in the middle of an Uber and pulled my ass out of the Uber for no reason. My Uber was that guy who was terrified of y'all and literally said, girl, I'm so sorry."
03:47,[Police Officer],"Yes, ma'am."
04:08,[Police Officer],Do you listen to yourself?
04:09,Allison,"I go, yeah, I am listening to myself. Can you listen to yourself right now? Cuz you don't know."
04:14,Allison,I'm going to fight him. I'm going to fight him right now. You're going to never.
04:22,[Police Officer],You need to stop screaming. Stop screaming.
04:24,Allison,This is insane. I didn't break one law.
04:28,[Police Officer],Stop screaming.
04:29,Allison,I didn't break one law.
04:30,[Police Officer],It's all right.
04:31,Allison,You're murderers. Read me my rights. Read me my rights.
04:35,Natalia,"Okay, husband, please look at me."
04:36,Allison,You're a father. I love you so much.
04:39,[Police Officer],Just stay here.
04:40,Allison,"Allison, they're doing this. They're doing this. I didn't break the law. Ask them what it is. What did I do to you?"
04:41,Natalia,Just stop.
04:46,Allison,This is against the law.
04:48,Natalia,"Hey, hey, hey."
04:49,Allison,Allison!
04:50,Natalia,"Listen, Allison, look at my wrist. Look at my wrist. Look at my wrist. Look at my wrist."
04:55,[Police Officer],You can breathe once you just calm down.
04:56,Allison,"I can't breathe. No, I can't. I haven't done anything."
04:59,Natalia,"Listen. Watch, watch, watch when I calm down. Watch."
05:03,Allison,"You know, you calm down, they're going to start using us. It is. Watch, watch, watch when I calm down. Watch this."
05:09,Natalia,"Listen, Jesus is with you, right? Jesus is with you. No, you're not. I'm with you. Natalia is with you and Jesus is with you. We got to come down. Look at me. Breathe."
05:11,Allison,I'm going to die.
05:17,Allison,That's fine. They're trying.
05:19,Allison,Look at my ankles right now.
05:21,Natalia,"Breathe through your nose. Natalia, you're killing your friend. Right? You know, if I die, if I'm not going to be with you anymore, I let me have these last moments. Right? Breathe. Look at me together, together."
05:26,Allison,I'm blind.
05:33,Natalia,"Okay, one, two, three."
05:34,Natalia,You know what? I'm I'm your only hope right now. So please look at me and tell this. They want to see you okay? And they're afraid that your mind has taken over your body.
05:39,[Police Officer],You have to get medical attention.
05:44,Natalia,"No, no, listen, listen, look at me."
05:46,Allison,What did I do? I drink alcohol.
05:47,Natalia,"You have not done. Listen, you have not. And you know what? Listen. You're not. But you know what? They have taken a negative effect. The alcohol has taken a negative effect. So let me just."
05:50,Allison,Is that a law?
