start_time,speaker_label,transcript
00:00,[Police officer],Okay. Let me.
00:02,[Police officer],and whatever. I I was walking with her all the time. You're pretty actually pretty good.
00:07,[Police officer],"I'm going to read you something, okay? Um you have the right to remain silent, do you understand?"
00:11,[Suspect],Yes.
00:12,[Police officer],"Uh anything you say may be used against you in court, do you understand? You have the right to talk."
00:15,[Suspect],When you arrest?
00:16,[Police officer],"Uh we'll talk about it, but I have to ask you these questions first, okay? Um you have the right to talk to a lawyer before and during questioning, do you understand? If you cannot afford a lawyer and want one, one will be provided for you before questioning without charge, do you understand?"
00:27,[Suspect],I understand.
00:28,[Police officer],Uh has anyone threatened you or promised you anything to get you to talk to me?
00:32,[Police officer],Do you want to talk about why you're in handcuffs?
00:35,[Police officer],It's your choice. You can decide not to talk or say anything or you can talk.
00:41,[Suspect],Talk with you.
00:42,[Police officer],"That's pretty much what I was going to ask you, so you're good. Just hang tight for me, okay?"
00:54,[Police officer],Um do you still wish to talk if I ask you questions about this?
00:58,[Police officer],Can I ask you questions?
00:59,[Suspect],I guess.
01:01,[Police officer],Yeah. Can you tell me what this is?
01:03,[Suspect],That was already in the bag. That's not mine.
01:06,[Police officer],It's not yours. So you don't know what it is?
01:09,[Police officer],"When we test it, it's not going to be or anything like that."
01:13,[Suspect],It's not mine.
01:14,[Police officer],"Okay, it was um yeah, you're going to be going to jail today."
01:21,[Police officer],For shoplifting and then possession of whatever that ends up testing for.
01:24,[Police officer],That's $178.
01:27,[Suspect],What are you talking about? $170?
01:29,[Police officer],$178 worth of merchandise that you tried to steal.
01:33,[Suspect],"That is a lie. Cuz literally it's pens, notebook, an outfit that's"
01:40,[Police officer],"Yeah, the accessories are $15 a piece, $18, the bag is $20. That stuff adds up."
01:48,[Suspect],We don't have it.
01:49,[Police officer],I got it all on video. I follow you around. I follow you around.
01:54,[Unidentified speaker],what was the last year?
01:56,[Suspect],"Check on my mom, man."
01:57,[Police officer],"Okay, give me a second. Oscar 20. Can you also run a criminal history check for prior petty theft convictions?"
02:08,[Police officer],I'll write your statement while you do all the stuff you got to do.
02:11,[Police officer],"Yeah, I'm going to actually get a test kit cuz I have to test it."
02:15,[Police officer],I'm not going to include that in my statement. I'm going to include that in my statement.
02:18,[Police officer],"Yeah, no, that's fine cuz I have to that's fine. I will be right back."
02:22,[Police officer],"Yeah, the door's open, so just just push it. Should be good."
