start_time,speaker_label,transcript
00:00,[Narrator],"and even nails on all three of them were completely blue. It was clear the victims had been choked, but there were no signs of stab wounds or similar on their bodies."
00:10,[Narrator],"This made the officers question, where exactly all the blood had come from? In every room the officers would look through, there were pools of it, especially in the master bedroom where the victims were found."
00:22,[Narrator],This is where one of the officers would find a trail of blood droplets leading downstairs into the kitchen where she would find their biggest clue yet.
00:32,[Narrator],"A letter to Debbie. Despite the difficult handwriting, there are several clues in the narrative proving that Jason Carroll wrote this note and left it in plain sight for Debbie to find."
00:42,[Narrator],"According to Jason, their marriage lasted for seven years before they filed for divorce and fought in court over the full custody of their children."
00:51,[Narrator],"Halfway through the note, it seems that Jason lost the court, and this is also confirmed by the disturbing sentence written in the middle of the note. If I can't have them, neither can you."
01:01,[Narrator],"Finally, Jason ends the letter by saying he would end everything on his terms. Yet, it wasn't the most horrifying thing the officer would discover in the same room."
01:11,[Narrator],"She'd find another writing, now on the board. I'm sorry. I loved them too much to leave them behind. You promised, you swore, you lied."
01:22,[Narrator],"This is not just evidence. This is a confession that whatever happened to their kids, he knows the absolute truth."
01:29,[Narrator],"But if he did what he promised to do, then police officers would have more trouble finding his body than his confession."
01:35,[Narrator],"But luck was on the officer's side this time. Something was missing in that house, specifically in the garage. Jason's red 2010 Nissan Maxima."
01:45,[Narrator],A significant clue that would help them find Jason.
01:48,[Narrator],"Moments later, the Round Lake Beach police would alert police departments across the Chicago area to look for that exact car."
01:55,[Narrator],"The clock was ticking, but it wouldn't be long before an Illinois State officer discovered a car that fit the description perfectly and attempted a traffic stop."
02:03,[Narrator],They weren't sure if this was their guy until the driver stepped on the gas and sped away quickly.
02:08,[Narrator],This would result in a major police chase that would draft helicopters and a dozen units ending in absolute disaster.
02:17,[Narrator],"But before we get to that, we got to talk about the sponsor of today's video, Morgan and Morgan."
02:22,[Narrator],"If you're seriously hurt, your injury could be worth millions. With over 1,000 attorneys, Morgan and Morgan will fight to give you the best results if you become their client."
02:30,[Narrator],"And unless you win, they do it all for free."
02:33,[Narrator],"In just the past few months, Morgan and Morgan has helped hundreds of people. One car crash victim in Florida won a verdict worth $12 million, and another in Philadelphia, $26 million."
02:43,[Narrator],"That was 40 times more than their insurance offered. So if you ever get seriously injured, your case could be worth millions, and it takes only a few minutes to see if you have a case."
02:52,[Narrator],"You can start your claim with Morgan and Morgan by visiting www.forthepeople.com/insanity, found in the description."
03:00,[Narrator],"With that said, let's catch back up with Jason, who just sped away from the officer that tried to stop him."
03:05,[Narrator],"That officer wasted no time in calling all available units to help catch him, including a police helicopter equipped with thermal vision."
03:12,[Narrator],"The adrenaline pumping chase continued like this for 17 minutes with police driving as fast as possible, but Jason somehow going quicker, even managing to slip out of the helicopter's vision for a brief time."
03:23,[Police Officer],He got stationary with 92.
03:29,[Police Officer],"Uh, what's Patch here? Patch here."
03:34,[Police Officer],"All right, 137 following on the state. It's like he's got a 1050 on it."
03:39,[Police Officer],"Outside shoulder now, outside shoulder."
03:44,[Police Officer],right on him now. We got a trip.
03:47,[Police Officer],41 on him.
03:48,[Police Officer],I got him. I got him. I got him.
03:49,[Police Officer],I got him too. I got him too.
03:50,[Police Officer],Open over.
03:52,[Police Officer],Coming up on Ridge. Coming up on Ridge.
03:55,[Police Officer],Outside shoulder.
03:57,[Narrator],"If Jason had more fuel than the helicopter, there might have been a slight chance he could have gotten away, but suddenly, this happens."
04:05,[Police Officer],"Brown Patch, Chicago, CD."
04:07,[Police Officer],Steel bridge coming up.
04:08,[Police Officer],Steel bridge coming up. Continue.
04:14,[Police Officer],Vehicle's off the roadway. Vehicle's off the roadway here at uh
04:18,[Police Officer],"He came all the way down, sir."
04:21,[Police Officer],"Water Street, Water Street in uh Duncan, Water Street, Duncan."
04:24,[Police Officer],"Street in uh Duncan, Water Street, Duncan."
04:36,[Police Officer],I can't see. Can you see?
04:48,[Police Officer],I have no eyes on him. I got no eyes on him.
04:51,[Police Officer],I got no eyes on him.
04:52,[Police Officer],"Oh, he's gone."
04:53,[Police Officer],"Oh, he's gone."
04:57,[Police Officer],Beat the man.
04:59,[Police Officer],"All right, man. Beat the man."
05:01,[Police Officer],I got him. I got him. I got him.
