start_time,speaker_label,transcript
00:00,Sam,Yeah.
00:01,Sam,"And she said, I'm hanging out with her and this was at"
00:04,Sam,"at 1:22. What did it say? And it says, I'm hanging out with her friend. I will get a hold of you later. I'm not going to work. Uh, I'm not sure."
00:13,[Detective],"back at two, right?"
00:16,Sam,"I think two or three. Yeah, I can't remember. Okay. And then, uh, you go to work, go back there. They treat me like shit. And then she says, you've seen it. They have. I mean, but I can't say nothing."
00:29,[Detective],Uh-huh.
00:30,Sam,"And then, uh, I said, why are you telling me? Why didn't you tell me this earlier when I was talking to you? You're drunk. You're drunk, ain't you? Be honest. That's why I can't do this no more. Please, do not call me no more, text me no more. I'll be your friend with you at work. And that's what she got this off."
00:49,[Detective],Mhm.
00:50,[Narrator],"Based on these texts, it really seems like Aileen's disappearance was just a way for her to take a break from her traumatic life. If this allegations are true and her ex-boyfriend refused to give her a place to stay, well, then running away for the time being is completely reasonable. Sam's story seems solid so far, but there's one tiny detail that just doesn't quite add up. And this detective has just picked up on it."
01:16,[Detective],And you said you dropped her off in front of Mike's house. Yeah. And you watched her walk into the
01:21,Sam,All she did is she got out and she walked in front of the truck. She walked in front of the truck. I went and turned and that's all I did.
01:27,[Detective],"Okay, so you didn't see her get in the house, anything like that?"
01:30,Sam,Mhm.
01:31,[Detective],"So if she had walked away from there, I mean, that's quite a ways away from your apartment complex. I wonder how she would have gotten to you."
01:38,Sam,Her friend was supposed to come and pick her up.
01:42,[Narrator],"Sam claims the day of Aileen's disappearance, he drove her from her workplace at Sugar's Diner over to Mike's house to get her belongings. After that, he drove off, assuming she was to be picked up by one of her friends. Fortunately, police can easily cross-reference these claims using surveillance footage. At this point, the majority of the CCTV camera footage has been obtained from the day of Aileen's disappearance, so detectives quickly wrapped up Sam's interview so that they could further investigate his claims. Additionally, the detective would apologize for assuming Sam's earlier word choice was suspicious. After nearly 48 hours of compiling the surveillance footage from around the town, officers managed to put together a complete timeline of Sam and Aileen's car ride."
02:26,[Narrator],"At 8:30 a.m. on February 13th, Aileen would patiently wait at her work, Sugar's, for Sam to pick her up. Aileen needed a ride to go and purchase a new apartment since Mike had kicked her out. She would tell her boss and daughter that a friend was picking her up because she didn't want anyone to know her and Sam were back together. Aileen and Sam would first drive to her mother's apartment, Dudley Courts. She would be seen carrying a suitcase-like object out from her mother's apartment, then leaving with it. This would turn out to be a safe containing $1,200, which she had planned to use as a down payment for an apartment. At 9:30 a.m., they would drive directly to the Sherwood Apartment complex to purchase the apartment. However, the complex happened to be closed, so they were unable to purchase anything. This is where the timeline starts to deter from Sam's claims in the interrogation room. From 9:45 to 10:30 a.m., Sam's car can be seen driving all across town. He went in multiple circles and even made a quick stop to Burger King at 10:30. However, he never drove Aileen to Mike's house like he had claimed. In fact, Sam's car can be seen driving in the opposite direction to Mike's house the entire morning. This is concerning, but it would only get worse. For the next two hours, Sam's truck goes off the grid. It's completely unknown where he went, and no CCTV cameras had managed to capture his location. Luckily, at 1:00 p.m., his truck would appear back on the same streets he circled on for hours that morning, and eventually, he would make his way back to his own home at the Cottonwood Apartment complex. But things were different in all the recordings past 1:00 p.m. Aileen was no longer with Sam. Cameras had clearly captured that Sam was nowhere near Mike's house."
