start_time,speaker_label,transcript
00:00,Rebecca,try to get her out. The security threw her out. Um there's an officer Smith that was down there. I was talking to him. Um these girls came at us. They they took they jumped us. They took our things. I have a knot on my head and I mean there's like scrapes on me.
00:20,[Officer],Is that from the fight or that's
00:22,Rebecca,"That's from the fight. Okay. Um her boyfriend came down, met me to take her home cuz she was just out of it. I'm coming back home. I live on San Antonio. Um I didn't the the arrows I I was slowing down. I was coming off the exit. He was walking across with a bag. And I slammed my brakes. I'm like, oh my God, oh my God. And I just the impact happened. I'm so sorry."
00:52,[Officer],Okay. And then this is where we're at now.
00:54,Rebecca,This is where we're at now.
00:55,[Officer],Okay. Was there anyone else in the car?
00:57,Rebecca,"No, it's just me. It was me and my sister, but her boyfriend picked her up and they're on their way home. They probably already passed by, but"
01:06,[Officer],"So, is that your"
01:07,Rebecca,Yes.
01:08,[Officer],How much have you had to drink tonight?
01:09,Rebecca,I had one drink.
01:11,[Officer],Just one?
01:12,Rebecca,"Um at home around 6:00. I had a bottle of not a bottle of wine, but like half of it, so that's like two glasses. Um we went out, we left the house. I have messages when I picked her up at like 10 10:30, 10:45. Um and then I had one drink at the club at at the library."
01:38,[Officer],Okay. So you said two two glasses of wine or a half a bottle and then you had
01:44,Rebecca,I'm so sorry. Am I in trouble?
01:46,[Officer],I'm just trying to get to the bottom of what's going on.
01:49,Rebecca,Okay. You said you had one drink at the club?
01:51,[Officer],"Well, yes, sir."
01:53,Rebecca,What kind of drink did you have?
01:54,Rebecca,"Um I had a cranberry um vodka drink, but it was mostly cranberry cuz I cannot I do not like drinking and my sister knows that. Um she she I cannot I'm so sorry."
02:10,[Officer],"Okay, so you had a couple glasses of wine and a cranberry vodka."
02:13,Rebecca,"Yes, sir."
02:13,[Officer],When was you say your last drink was?
02:15,Rebecca,"Um what it's like 2:00, so maybe like 11:30 midnight."
02:23,[Officer],Okay. And that was at the library?
02:25,Rebecca,"That was at the library, sir."
02:27,[Officer],"Okay. All right, so I'm just going to check you out, okay?"
02:29,Rebecca,"Yes, sir."
02:30,[Officer],"So this is just a standard thing that I do in my job. I'm just going to check you out, okay? I'm going to have you stand here in front of me. Right there, face me. Take can you take your hair, brush it behind your ears the best you can. Do your eyelashes come off?"
02:42,Rebecca,Yes.
