start_time,speaker_label,transcript
00:00,[Narrator],"And then the next day, that's when he had her by the hair, dragging her out."
00:04,[Bystander],She was down.
00:08,[Narrator],"Not only did Julian physically abuse his wife, but also threatened her life multiple times before actually going and fulfilling those threats."
00:18,[Narrator],"There was only one person left to question, Jasmine herself, the victim of this twisted crime. Only she could tell the true story behind closed doors, that is, if she would ever recover from this vicious attack. Doctors could not promise her survival. Two shots to the abdomen are too severe for any person to survive. Likely, it was already too late for her."
00:44,[Narrator],That's why the officers transporting Julian to the hospital needed Julian to survive. They wanted to hear his side of the story and understand one simple question. What drove him to try and the life of his own wife and the mother of his four little boys?
01:00,[Narrator],"But when they finally arrived at the hospital, cops quickly ran into a new problem."
01:06,Julian,That's why I'm going home.
01:08,Detective Melinda,Right there.
01:09,Julian,I'm going to go home.
01:11,Detective Melinda,Yeah.
01:13,Detective Melinda,So stop kicking.
01:14,Julian,I have.
01:16,Detective Melinda,I bet.
01:18,Julian,"Hey, they're sick people."
01:24,Detective Melinda,"Hey, calm down. You understand me? You calm down. Let's"
01:30,Julian,"There's there's kids around here. I know you don't, but I do."
01:35,Detective Melinda,What do you guys need from me?
01:36,Julian,I stop. This is what happens.
01:39,Detective Melinda,Nurse is Michael.
01:40,Julian,"No, you know."
01:43,Detective Melinda,"You're not you're not going to like this, so I'm going to try to get you to calm down, okay? We're back your injuries. I'm not going to place you."
01:50,Julian,You understand.
01:53,Detective Melinda,Okay.
01:56,Detective Melinda,"Are we asked the doctor, so."
01:58,Julian,I'm going to shoot me.
02:03,Detective Melinda,"Let's go, man."
02:05,Julian,"Let's go, man."
02:07,Detective Melinda,We coming.
02:09,Detective Melinda,"You going to sit on this wheelchair? We're going to wheel you out to the car, okay?"
02:13,[Narrator],"Right after the crash, the police discovered a pistol with an empty magazine along with several half-empty bottles of beer inside. This explains Julian's erratic behavior during and after the arrest. Additionally, on his way to the police station, Julian admitted to shooting his wife in cold blood, all without interrogation. But as you'll soon see during the questioning, even details like this can suddenly vanish, because once they brought Julian to the interrogation room, he had already forgotten everything."
02:44,Detective Melinda,"Having those in mind, you want to talk to me? Can I give me your version of what's been happening and what not?"
02:49,Julian,I don't know what's happening.
02:52,Julian,I've been drinking for three days.
02:56,Julian,I just seen her.
02:59,Detective Melinda,"What, if you want to keep them closed, it's easier for you to talk that way and you're not struggling, that's fine. Just don't fall asleep."
03:05,Detective Melinda,Was there anything other than alcohol you were drinking?
03:07,Julian,No.
03:08,Detective Melinda,What type of alcohol are you drinking?
03:11,Julian,Budweiser.
03:12,Detective Melinda,Budweiser?
03:13,Detective Melinda,Okay. Can or bottle?
03:18,Julian,Bottle.
03:19,Detective Melinda,Bottles?
03:20,Detective Melinda,"Okay. So, for three, why for three days? What's been going on?"
03:24,Julian,You and your old lady been having some problems?
03:29,Julian,No.
03:30,Detective Melinda,Huh?
03:32,[Narrator],"This only confirms why Julian is so visibly intoxicated, and it's honestly a surprise he's even able to understand and talk with the officer. Still, his condition might complicate the interrogation process. After all, alcohol can lead to lapses in memory. He simply might not remember the events of that evening. A perfect excuse for someone like him in this situation. But this isn't going to be good enough for Detective Melinda to accept. So he keeps pressing for a confession."
04:00,Detective Melinda,What what happened at the house with your wife? With Jasmine?
04:04,Julian,I don't remember.
04:06,Detective Melinda,I think you do because you told them what happened.
04:08,Julian,I remember going in there.
04:13,Julian,I don't know what to tell you.
04:16,Detective Melinda,Uh-huh.
04:17,Julian,I don't remember.
04:19,Detective Melinda,Where'd you pull the gun out from?
04:22,Julian,My pocket.
04:24,Detective Melinda,"Which side, which pocket did you have it in?"
04:27,Julian,My pocket.
04:28,Detective Melinda,What type of gun is it?
04:30,Julian,I don't know what type of gun it is. I just know I cannot see nothing.
04:40,Julian,I'm trying to open my eyes.
04:42,Detective Melinda,"That's fine, dude. I don't want you to see anything. I want you to remember things and talk to me about things."
