start_time,speaker_label,transcript
00:00,[Narrator],"So when the detectives return to the interview room, they'll use this information to try and get Sam to own up to his lies."
00:07,[Detective],"We got a small little snap of you right here. We need to talk to you about, okay? So, you said after you dropped her off and out there off of highway 191 at that residence, you headed back to your apartment. We checked some of our cameras, okay? And we have camera 36 and Broadway and we have your truck going westbound at 9:28 a.m. going to Omaha. Okay, what you passed 36 and Broadway heading west."
00:31,Sam,Uh.
00:33,[Detective],"So you didn't go home, you went over to Omaha, it looks like. Do you remember what you did or you saw?"
00:37,Sam,I never went to Omaha.
00:39,[Detective],Where'd you go?
00:40,Sam,"I told you, I went straight home. I don't remember going to Omaha."
00:43,[Detective],"Well, I the camera doesn't lie. It's your truck and it's your license plate number. Okay? At at 36 and Broadway at 9:28 a.m. going west to 480. And then one hour later, you're coming back from Omaha and you're going eastbound back coming back into Council bus. One hour later."
01:04,Sam,I never went to Omaha.
01:05,[Detective],Where'd you go?
01:06,Sam,I went straight home.
01:08,[Narrator],"Sam is stuck at this point. No matter what information detectives reveal, he will not admit to anything. At this point in the interview, all Sam has left is to simply reject everything the detectives tell him. They know Sam isn't telling the truth, but why he's not telling the truth is what remains to be seen. However, with Sam seemingly uncooperative, all detectives can do is end the interview and let Sam back onto the streets. Until more concrete evidence can prove he had more to do with Aline's disappearance than he claims. But, fortunately, letting Sam back onto the streets would lead them to the exact evidence that they were looking for. While law enforcement was working away at this case, another investigative group would be working in the dark. Aline's family. Everyone held hope that Aline was still alive, but with time passing, her family was demanding answers. Sam and Aline had a long history of arguments, physical assault, and much more that the family was well aware of. They knew Sam had more information about Aline's whereabouts than he had told them. So, to figure this out for themselves, Aline's son, Jack, would show up to Sam's door that same night, and he would pound on the door and upon opening, Jack would ask the simple question, what the hell did you do to my mom? In Jack's words, Sam stared at him as if he had seen a ghost and then shut the door in his face. Sam panicked. Whatever he did to Aline, people were starting to catch on. Later that night, Sam would talk to his granddaughter, Emily, and would claim that he was going to harm himself so that he could go visit her deceased grandmother. This shocked Emily, as in her eyes, Aline was still alive. Quickly she would call 911 to report everything Sam had just told her, and shortly thereafter, police would locate a drunken Sam at his local bar."
03:01,[Police Officer],"Hi, sir, how are you?"
03:02,Sam,I'm good.
03:03,[Police Officer],Is this your vehicle?
03:04,Sam,Yes.
03:05,[Police Officer],"Hey, can I just talk to you real quick? Yeah."
03:11,[Police Officer],Do you have any weapons or anything on here?
03:13,Sam,No. Okay.
03:15,[Police Officer],"Hey, um, we were called to check your welfare, okay? I think you talked to your granddaughter earlier and she was concerned about you, some of the statements that you made to her. I'm here for you, man. Tell me what's going on. Why why why are you feeling the way you're feeling?"
03:29,Sam,"My girlfriend, it was like a week ago. Me and her broke up. She moved in with a guy and apparently he supposedly he her."
03:40,[Police Officer],What's his name?
03:41,Sam,"Uh, I don't think I know, but he goes by Mike. Me and her broke up. She didn't have a place to go. She moved in with him. She told me Friday that he tried to mess with her. So I called my son and see if she could move back in because she kicked us out. So I called my son and see if she could move back in with her. And then uh I went to his house, got her stuff, took her to my son's. And then the next morning, we went to work and then she went right back to him, so I don't know."
