start_time,speaker_label,transcript
00:00,[Driver],Why are you arresting me for?
00:01,[Motor Cop],Get out of the car.
00:02,[Driver],Why are you arresting me for?
00:03,[Motor Cop],Get out of the car.
00:04,[Driver],Why are you arresting me for?
00:05,[Motor Cop],Get out of the car.
00:06,[Motor Cop],You're going almost 60 miles an hour.
00:08,[Driver],I can see my speed limit here. I was going 35.
00:11,[Motor Cop],The speed limit is 45.
00:13,[Driver],I know I wasn't going no 60. I can see my speed limit. It tells me the speed limit right there.
00:18,[Motor Cop],"Well, you were passing every car."
00:20,[Driver],"I was going 35. It's a big SUV, it's a Audi. It goes pretty fast for the speed. I was going 35."
00:24,[Motor Cop],"Okay. Do you have a driver's license on you, miss?"
00:26,[Driver],"Yes, I do."
00:28,[Motor Cop],"Do you understand that when you're passing many cars,"
00:31,[Driver],"I can what I'm telling you is I can see my speed limit. It tells me the speed limit right there, 45. I was going 35."
00:37,[Motor Cop],I understand that. Do you understand that I'm a trained motor cop? I do this for a living.
00:41,[Driver],You don't have something to show me what I was going 60.
00:43,[Motor Cop],"Yes, you were passing all the cars."
00:45,[Driver],You don't have something to show me I was going.
00:46,[Motor Cop],My radar showed you at 57 miles an hour and you're passing all the cars.
00:51,[Driver],"Sir, I know what I was doing."
00:52,[Motor Cop],Did you know that you're passing all the cars?
00:53,[Driver],I was going 35. There was no cars on the road. It was just me and you.
00:57,[Motor Cop],"You are, are you, have you been drinking?"
00:59,[Driver],"Sir, go, go run my license, get out of my face, please. Go ahead. Bye."
01:02,[Motor Cop],I'm trying to educate you.
01:03,[Driver],You ask me if I've been drinking. That's a that's a racial slur right there because how how do I look like I've been drinking because I'm telling you what I was going.
01:10,[Motor Cop],Because you're doing 35 miles.
01:11,[Driver],"If I've been drinking, you want to do a breathalyzer or not?"
01:14,[Motor Cop],"Okay, go."
01:17,[Narrator],"A check of the vehicle's temp tag would show that the vehicle had been issued a permanent plate. In Florida, once that's done, the temp tag is immediately invalidated."
01:28,[Driver],I'm going to go get it.
01:34,[Motor Cop],"Okay, so the temporary license plate is expired today and is no longer assigned. You have a new license plate assigned to the vehicle."
01:39,[Driver],days to get a new license. You put my license plate back?
01:42,[Motor Cop],"No, this place, this place no longer assigned to this vehicle. There's a new license plate assigned to it."
01:46,[Driver],"Okay, well I haven't picked it up yet. That one hasn't expired yet. So you put my license plate back today. So I still got six days to go get it. So I would like for you to put that back."
01:55,[Motor Cop],"No, that's not how it works."
01:56,[Driver],"And in the state of Florida, you have up to six more days to drive with an expired license plate, temporary. So I need you to put that back before I be suing you."
02:05,[Motor Cop],You can sue me.
02:06,[Driver],"Okay, I need you to put that back."
02:07,[Motor Cop],"When I run the license plate, it's no longer assigned to the vehicle."
02:11,[Driver],"It is assigned for the vehicle. So I need you to go put that back. If it's temporary, do you need to see my registration?"
02:16,[Motor Cop],"No, I don't, because it's no longer assigned to the vehicle."
02:18,[Driver],"Okay, but I have 30 days. Okay, I have 30 days to get a this is just expired today."
02:23,[Motor Cop],Yeah.
02:23,[Driver],So I have six more days to get my license plate.
02:26,[Driver],"Yes, I do."
02:27,[Motor Cop],We're not going to argue on the side of the road so I can get hit by a car while I'm.
02:29,[Driver],"So put my license plate, put on my car."
02:31,[Motor Cop],"No, you need to go get it."
02:33,[Driver],Exactly. So put that back. I'll go get it.
02:35,[Motor Cop],"No, it's not assigned to the car. I'm not going to discuss this with you."
02:38,[Driver],I have my registration in my.
02:39,[Motor Cop],You're getting it today for speeding. We can go in front of the judge and we can explain how you were speeding today. There's a fine that you can pay or call the number to traffic court.
02:43,[Driver],I need you to put my license plate back.
02:47,[Motor Cop],I'm not putting your license plate back. You're free to go.
02:48,[Driver],"Yes, you are. No. I have my registration in here."
02:51,[Motor Cop],You're free to go.
02:51,[Driver],Which you never asked for.
02:52,[Motor Cop],I don't need it. You're free to go.
02:53,[Driver],"Yes, you do. It's a temporary license plate. You're not supposed to."
02:55,[Motor Cop],You're free to go.
02:56,[Driver],"I need my license plate, sir."
02:58,[Motor Cop],You are free to go.
02:59,[Driver],I need my license plate. How am I going to drive without a license plate? Make it make sense.
03:02,[Motor Cop],Just drive.
03:03,[Driver],I need a license plate. How am I going to go drive without a license plate?
03:05,[Motor Cop],I'm not talking to you anymore. You're free to go.
03:10,[Motor Cop],Get back in your car.
03:12,[Driver],You're not supposed to do that. You're not supposed to do that. I need my license plate back on my car. I have six days.
03:21,[Driver],You're not supposed to do that. You racist ass.
03:23,[Motor Cop],"If you don't get back in your car, you're going to get arrested."
03:25,[Driver],"You're not going to arrest me, ho."
03:26,[Motor Cop],If you don't get back in your car.
03:27,[Driver],"Fuck you, bitch."
03:28,[Motor Cop],Get back in your car.
03:29,[Driver],I'll shoot your ass.
03:30,[Motor Cop],Get back in the car.
03:32,[Driver],"I'm my license, bitch. What's wrong with you? Get the fuck out of my face. I'll slap your ass. Get the fuck out of my face. Don't touch me. Freedom of speech. Get the fuck out of my face."
03:41,[Dispatcher],941018.
03:42,[Driver],"Get your ass out of my face. Don't touch me. If I don't touch you, don't touch me. Simple."
03:48,[Dispatcher],"5433, do you need to send?"
03:50,[Driver],Get your ass out of my face.
03:51,[Motor Cop],"54, just have somebody 1018."
03:52,[Driver],Get your ass out of my face.
03:53,[Motor Cop],You're going to be arrested.
03:54,[Driver],For what? For what? Why are you arresting me for?
03:56,[Motor Cop],Get out of the car.
03:57,[Driver],Why are you arresting me for?
03:58,[Motor Cop],Get out of the car.
03:59,[Driver],Why are you arresting me for?
04:00,[Motor Cop],Get out of the car.
04:01,[Driver],Why are you arresting me for? I need to know.
04:02,[Motor Cop],Get out of the car.
04:03,[Driver],Why are you arresting me for?
04:04,[Motor Cop],I need you to get back in the car.
04:04,[Driver],"Why are you arrest? Okay, so what? I can stand on the street if I want to."
04:07,[Motor Cop],You're not going to be threatening me. You're not going to be threatening me.
04:08,[Driver],"I can stand on the street. I can stand on the street. Do I have a gun? No, I don't. So you can't arrest me. Let me go."
