start_time,speaker_label,transcript
00:00,Jason,"felt like they deserve to be with me. And I felt like she was neglecting them and I wanted myself and for some reason I thought it was okay to hurt them too. I don't know why I did that. I thought we would be together. Like you know, whatever it's asked for this like you know, and like the whole time I was trying to at home. I can't tell myself to wait and show you that I have to be with them."
00:23,Detective Barrera,"Was it something that you wanted to for her to feel your pain in that sense or or you know,"
00:29,Jason,"That's more noble. Honestly, I don't think so. I just honestly I I just didn't want to be in pain. And I think I told my I told myself that you actually hear it in the last time we talked. I told her it's like if I'm not around, you're just going to start taking it out on him and they don't deserve that. And I think I felt like I was saving him. I don't I don't know why."
00:52,Detective Barrera,Saving them in what sense?
00:53,Jason,From going through the pain that I did.
00:56,[Narrator],"It's almost as though he believes what he did was reasonable, at least in the moment he did it. If this is indeed the case, it's likely he is genuinely mentally ill, which means he had limited control over what he did and can claim that in a court of law. But regardless of if he is mentally ill or not, detectives still need to build a case against him. So they decide to dig deeper into what exactly he did to his kids."
01:20,Detective Barrera,"kind of walk me through today, kind of what was going on, how were the kids? Were they joyful, playful?"
01:26,Jason,They were awesome. Yeah. I mean they there wasn't like frustrating like yesterday that they were for.
01:32,Detective Barrera,What was?
01:33,Jason,"I I was I I did what everything I did, I started doing last this morning early morning. So 1:00 in the morning is uh when when everything happened. Yes, sir. Okay. So what what what was going on? Um because I know you guys spoke on the phone yesterday, right? What time did your guys's phone call end?"
01:42,Detective Barrera,"Yes, sir."
01:43,Detective Barrera,"Okay. So what what what was going on? Um because I know you guys spoke on the phone yesterday, right? What time did your guys's phone call end?"
01:50,Jason,"I want to say about midnight. Oh, midnight? Yeah. Okay, you guys phone call ends around midnight. Yeah. Um and then then what happens? Were you drinking? You said you don't drink, right? Okay."
01:53,Detective Barrera,"Oh, midnight? Yeah. Okay, you guys phone call ends around midnight. Yeah. Um and then then what happens? Were you drinking? You said you don't drink, right? Okay."
02:05,Detective Barrera,"No, no, no. No, absolutely. No. Okay. So so then so then what what kind of happened uh what what what kind of triggered you um after the phone call ended? Were the kids sleeping or were they up?"
02:17,Jason,They were they were watching TV and then I like I I had to give them a bath. Yeah. And like I don't know like I I just something in my brain snapped because of the thing she said to me on the phone.
02:33,Detective Barrera,What was it that she said?
02:34,Jason,"Um that I you know, it's it's it's weird because she did say some nice things to me in the end. But it's like she said that I was nothing. I deserved nothing. I was a terrible father, a terrible husband and like all these things, you know, it was like I don't know like something snapped in me like and I know that makes it seem like I was trying to get back at her, but it was like it wasn't it was never about getting back at her. It was about doing as up as it sounds was doing something for myself. And like that's what I told myself as well."
03:04,Detective Barrera,Okay. And like that's what I told myself as well.
03:07,[Narrator],The detective makes a final note and leaves Jason on a little break before they can continue questioning. There might be something Jason hasn't mentioned yet. Something like a sheet of paper with his handwriting lying on a kitchen table and a short note on the board.
03:23,[Narrator],Detective Barrera comes back shortly after and informs Jason that there will be cops watching him for the next 24 hours to make sure he doesn't run away or try to harm himself. Barrera then recites the whole timeline to ensure they're on the right track with Jason making minor adjustments to the story and eventually Barrera stops to question Jason about one final crucial detail.
03:43,Detective Barrera,One thing I did I did want to ask was um so I know we um one of the officers noticed there was a note um last on the what was in the kitchen. Um now was that when you left the house?
03:56,Jason,"So like for some reason after me, I wrote the letter and then I did it."
04:00,Detective Barrera,"Okay. Okay. That makes sense then. I just I haven't seen it, so that's why I was just looking for some some help there."
04:06,Jason,"I think it's starts off like I I mentioned about how she swore on the kids' lives that she wasn't cheating on me and like, you know, and I said I hope it was worth it. It was like it wasn't like I hope it was worth it. I'm getting back at you. I was hoping it worth it. Like you pushed me to do something for myself. Like Okay."
04:22,Detective Barrera,"Okay. So she swore on the kids um lives. Yeah. That she wasn't cheating on you. Yeah. In reality she was. Yeah. So then you yeah. Basically in your head you're you're saying you're thinking, you know, correct me if I'm wrong. Any any moment if I"
04:31,Jason,Snap. Like I don't know. Maybe like so then you yeah.
04:34,Detective Barrera,"Basically in your head you're you're saying you're thinking, you know, correct me if I'm wrong. Any any moment if I"
04:39,Jason,"I'll admit. I'll admit like if she's going to swear on their lives, they belong to be with me. Like, you know, like stuff like that."
04:44,[Narrator],"This statement confirms the writing on the board. You promised, you swore, you lied. It seems like his supposed mental illness and urge to quote, save his children were not his only reasons for doing this. These statements make it seem like Jason partly did this to get back at his ex-wife for cheating on him, leaving him"
