start_time,speaker_label,transcript
00:00,[Police Officer],"I didn't know you pulled me over. No, we're trying to talk to you. So how's it going?"
00:03,Antonio,Good.
00:04,Antonio,What's the matter?
00:05,[Police Officer],"Well, we got a call from the Chase Bank about you in there trying to withdraw money from an account that's not yours."
00:11,Antonio,"No, I was with my friend that was in the parking lot as well that they tried to withdraw money."
00:15,[Police Officer],So where's your friend now?
00:16,Antonio,"Uh, in the parking lot of Chase trying to get money, I guess. They were trying to take money out."
00:19,[Police Officer],"Hey, let's get another unit to the Chase Bank supposedly that somebody be still there. And this one saying that that's his friend."
00:26,Antonio,What's the mean?
00:27,[Police Officer],According to this guy is going to be a red Honda and boss. That was second party driving out of the vehicle.
00:33,Antonio,"I know him from full sale. I went to full sale with him. I hadn't seen him in a while and he wanted to buy a PlayStation that um, PlayStation 5 that um, I was selling because I have two of them."
00:35,[Police Officer],Okay.
00:41,[Police Officer],"Oh, got you."
00:42,Antonio,"I was waiting and waiting. I said I want to do it in a public place. And when I was at the public place, um, at the public place, um, he was taking too long and then I pulled out and left."
00:50,[Police Officer],Okay.
00:51,[Police Officer],"All the way, so I can see inside."
00:52,Antonio,Why do you want to sit in my vehicle? I'm not doing anything.
00:55,[Police Officer],I want to be able to see your hands while you're busy.
00:57,Antonio,My hands are right here.
00:58,Antonio,"No, I'm not playing games with you. He's he's He's talking to be nice to me and you're telling me he was telling me that something about taking money out of a chase. I'm like, I didn't take any money. I got my chase right here."
01:05,[Police Officer],"That's fine, but for our safety purposes, I need the window to come down because your window tint is too dark."
01:10,Antonio,My hands are right here. And the windows aren't too dark. They're legal. Give me my hands off.
01:13,[Police Officer],"All right, just relax."
01:14,Antonio,Thank you.
01:15,[Police Officer],You'll be all right.
01:16,Antonio,"I'm not going to get arrested. I don't want anything like that. So when I see cops behind me, I'm like, what the hell?"
01:20,[Police Officer],description on the guy?
01:21,[Police Officer],"Um, we don't have access to the video. That'd be requested."
01:24,[Police Officer],"He's 5'7, he's thin build, he's like around his height. Yeah, my height. Um, and it's probably early 40s. Early 40s. Like orange type tan, you know, like Yeah, spray tan. Spray tan. Spray tan. Blue red shirt, floral pattern. Yeah, it was a floral. Okay, it was floral. He's saying floral. I think it's a bogus story he said. Just try to get us with somebody else."
01:47,Antonio,"Um, he's wearing a black hoodie and he has tattoo pants, uh, tattoo pants, like."
01:54,[Police Officer],"Long jeans that are like washed, they're not dark, they're lighter color. Maybe not clean them."
02:00,[Police Officer],"You want to go take a look at this guy and tell me if you send him or not. All right, jump in the car. All right, I'll take care of you."
02:04,[Police Officer],631 639 just signal 14. He's probably telling a lie.
02:10,[Police Officer],other person.
02:11,[Police Officer],That's 104. 104.
02:13,[Police Officer],"Yeah, I think he just said that just try to get out of it. Yeah. All right. You completed a statement for you guys have access to your video?"
02:18,[Police Officer],He said no.
02:19,Antonio,"No, we don't. Okay. We don't want to request it or something like that. You have to request it."
02:24,[Police Officer],"We'll complete a statement real quick, sir."
02:27,Antonio,"I'm not missing the other one guy I was talking to about my I was talking to about my I was with my Chase um Southwest card. And then um Jeffrey was talking to another guy and then he went to the drive through and then when I came outside, um I said what's going on with taking so long. Um and then he was in the car still. I pulled out, but he was still there. So I assume he was still there dealing with the guy and then Okay. Last I saw him, he was in the car outside because he was going to go to the drive through."
02:49,[Police Officer],"He said that he needed a check in or like a check made out for $5,000. Gave me the temporary ID and kind of right away."
02:56,[Police Officer],"Okay. So I I just want to clear something up. I'm more than asking you to roll the window down to be mean or to be rude. For our safety purposes, it is so dark. I literally cannot see through it unless I'm looking over. That's why I wanted you to roll it down. I wasn't trying to be a douche. So I don't I so here here's the thing. I don't want to have to sit forward this far just to be able to see on the car."
03:16,[Police Officer],"Hey Antonio, could you just do me a favor? I'm just just going to ask you to step out of the car real quick."
03:21,Antonio,"He just said to me, don't talk to the police. That's on you."
03:23,[Police Officer],That's okay.
03:24,[Police Officer],"We'll take a look at it. Hold on, hold on because before you get the car. Let me take a picture of you."
03:29,Antonio,"I'll put my hands right out there because he keeps when you went away, he was like trying to tell me to like roll because I'm like, I'll put my hands right out the door."
03:36,[Police Officer],Just let me see the text you sent you if you don't mind.
03:38,Antonio,"Text to other people? Yeah, text to my mom. She said, what are you doing? Let me go back to my text. So you want to see the text from him?"
03:45,Antonio,"This is the text that I got after I said what's going on with somebody else text me. Um, if you talk to the I know what that means. Polo, but I know what that means. It's on you. So I'm not sure what that meant."
03:56,[Police Officer],can you can you clear that so I can see who was the sender?
03:59,Antonio,This is the text that I got from him right now. What's this number?
04:02,[Police Officer],"That's all I did there. It's just all I can remember. Um, I don't know. I don't know if it's sufficient."
04:08,[Police Officer],Thank you.
04:09,Antonio,"I can write him back and be like, can I say to not do that?"
04:11,[Police Officer],"Uh, don't do it."
04:13,Antonio,"And stay out of my and stay out of my this is Brian. And stay out of my business if you know what's best, bro."
04:20,[Police Officer],So obviously he's hiding something.
04:21,[Police Officer],Yeah. Why don't you guys call him?
04:23,[Police Officer],"Um, I don't know what they've done so far. They've been doing other things while we've been over here talking."
04:27,Antonio,I was going to say that and that just came in just now. that's just now. And stay out of my business if you know what's best.
04:33,[Police Officer],"Hey German, he just texted him again."
04:34,Antonio,"He said, stay out of my business if you know what's best, bro."
