start_time,speaker_label,transcript
00:00,[Law enforcement officer],Everybody out.
00:02,[Bystander],My wife just went to the bathroom.
00:04,[Law enforcement officer],"Okay, we'll take care of her."
00:06,[Law enforcement officer],Close one. Check it out.
00:09,[Law enforcement officer],Everybody back. Everybody back.
00:11,[Law enforcement officer],"Yeah, everybody back."
00:13,[Law enforcement officer],Okay.
00:18,[Law enforcement officer],You're coming this way? You're being a stand or not?
00:26,[Bystander],You got to get out.
00:30,[Bystander],I'm going to get out of here now.
00:35,[Law enforcement officer],"Okay, I'm watching them."
00:38,[Bystander],"What's going on, man?"
00:39,[Law enforcement officer],"Okay. Right now we're just handing you both and we'll be explaining you. All right, if you're not an employee, you need to leave."
00:44,[Bystander],Okay.
00:47,[Law enforcement officer],"Okay, is there anything I need that's going to poke me, stick me, hurt me at all?"
00:49,[Bystander],No.
00:54,[Law enforcement officer],"All right, can I have you on your stands?"
01:01,[Bystander],Watch the safety to the officer.
01:03,[Law enforcement officer],Yes.
01:04,[Bystander],I have no idea.
01:05,[Law enforcement officer],I don't even know what that is.
01:11,[Bystander],"Uh, how do I get to the store owner or manager or something like that?"
01:15,[Law enforcement officer],It's under cam work.
01:16,[Bystander],You mind if I open it up?
01:18,[Law enforcement officer],No.
01:19,[Bystander],You don't mind?
01:19,[Law enforcement officer],No.
01:20,[Bystander],It's okay.
01:21,[Law enforcement officer],"Yeah. I mean, I can call it."
01:25,[Bystander],How do I do that?
01:27,[Law enforcement officer],I'd like to do it.
01:28,[Bystander],That's fine.
01:29,[Law enforcement officer],You able to do a grand for us?
01:30,[Bystander],No. That's going to be a problem.
01:34,[Law enforcement officer],"Hey, how are you?"
01:35,Kristen,"Oh, I'd be better if I was sitting at home actually enjoying my buzz. I haven't had my daughter drive me because I just smoked a blunt."
01:42,[Law enforcement officer],"Oh, gotcha. You're fine. No, that's fine. Uh, we're waiting for our sergeant to come back. Somebody had to run him to the office so he could get all his gear off and he'll be able to explain more of what happened."
01:51,Kristen,"Okay, just brief synopsis, please, because I'm like, I don't want to give you too much info right now. I know you work here, don't go in."
01:58,[Law enforcement officer],"I wouldn't go in, not unless you're going to go in handcuffs. Not yet. So this is what happened. Patrol guys were here, regular patrol guys. There was a guy that locked himself in the bathroom of the war. While we were here, a bunch of people with masks came in and shut your store down. That's what we know."
02:13,Kristen,What the Yes.
02:16,Kristen,"My my my market manager is on the way too because when y'all said, even just that you had my CSRs in cuffs, you shut my store down and I'm like,"
02:27,Swanson,"Florida, uh, Sheriff County, Florida, all law enforcement deputies to include all law enforcement officers, County Sheriff's office and private. Have you seen now I do have a camera running?"
02:38,Swanson,My name is Swanson. I'm with the police department. What was your name?
02:43,Kristen,Kristen.
02:44,Swanson,Kristen. Nice to meet you. Nice to meet you.
02:46,Kristen,"Yep. Uh, well, under these circumstances."
02:49,Swanson,"Man, and."
02:51,Swanson,When do you start here?
02:54,Kristen,"I um, I can't remember right now. My mind's blank. I think this is like my ninth."
02:59,Kristen,"Okay. I know I have like a couple days off in between, but this is my ninth."
03:04,Swanson,"Okay. Um, have you worked with her before?"
03:07,Kristen,Mhm.
03:08,Swanson,Did you notice anything odd at all? Did she have people coming in just to see her?
03:13,Kristen,"No, we have no, we have a lot of homeless people that come in and they like ask for like free drinks and stuff. And you know, sometimes she'll give it to them. But other than that,"
