start_time,speaker_label,transcript
00:00,Officer,How are you doing this morning?
00:01,Devonte,How are you doing yourself?
00:02,Officer,"Fine. You're not going to throw up on me, are you?"
00:03,Devonte,"No, no, no."
00:04,Officer,Where are y'all headed?
00:05,Devonte,Louisiana.
00:06,Officer,Louisiana. Any weapons or anything in the car?
00:07,Devonte,No.
00:08,Officer,"No firearms, bazookas."
00:10,Devonte,"Oh, no."
00:11,Devonte,Just the baby.
00:12,Officer,"Just the baby. Nothing illegal in the car? Cocaine, methamphetamines, fentanyl pills."
00:18,Devonte,The things are bad.
00:20,Officer Mary,"People are horrible, I see."
00:22,Officer,Yeah.
00:22,Officer,"It looked like you had marijuana on your, it's still on your shirt, but when you're in the car, it was on your lap and stuff."
00:28,Devonte,You don't have marijuana.
00:29,Officer,"There was marijuana on your shorts. It's probably on your floorboard now, but well, that's marijuana, you just grabbed, I'm pretty sure."
00:34,Officer,Did y'all throw it out when you pulled off the road?
00:36,Devonte,I promise you.
00:37,Officer,"So, was there marijuana in the car or?"
00:39,Devonte,No.
00:40,Officer,Because it smells like someone's smoking in the car. You okay if I search the car?
00:43,Devonte,"I mean, it's not up to me, it's up to him, it's up to him."
00:46,Officer,"Okay. Well, you're the driver, that's why I asked you."
00:50,Officer,"Hey, are you okay with me searching the car?"
00:52,Devonte,For what?
00:53,Officer,"She said it was your car, so."
00:54,Devonte,No.
00:55,Officer,You have your driver's license?
00:56,Devonte,Yes.
00:56,Officer,Where are y'all headed now?
00:57,Devonte,Texas.
00:58,Officer,Texas. Y'all going straight to Texas today?
01:01,Devonte,Yeah.
01:02,Passenger,We got a feature in Miami.
01:03,Officer,Got to work. You're not okay with me searching the car though?
01:05,Devonte,No.
01:06,Officer,"I'll be right back, okay? He said that y'all are all going to Houston."
01:09,Devonte,"No, after we go to Louisiana."
01:11,Officer,"Oh, you told me."
01:12,Devonte,It doesn't really matter.
01:13,Officer,"Yeah, it matters, because your stories don't match. So now I got to figure out why."
01:17,Devonte,For reasons of reason.
01:18,Officer,"Okay, well then why? Why are they different?"
01:20,Devonte,"Because we were going to go to Houston as well. I mean, I didn't know it was going to be that big of a deal."
01:24,Officer,"The only reason why it's a big deal is when stories don't add up, there's usually another reason why."
01:29,Officer,I got to figure out why.
01:31,Devonte,There's nothing to search.
01:33,Officer,"Okay. She pulled off the side of the road when I got out. When I saw the weed on her leg and stuff, so I think she probably threw it out on the side of the road."
01:40,Devonte,"Yeah, I don't know."
01:41,Officer,"Smells like weed, so I'll search it."
01:44,Officer,"I'm just giving you a warning, all right?"
01:45,Devonte,Okay.
01:46,Officer,Just for following too close.
01:47,Devonte,"Okay, thank you, officer."
01:48,Officer,"So here's what we're going to do, okay? We all know that was weed."
01:51,Officer,"All right? We're out here looking for bad people, and I don't think y'all are bad people, but we still got to do our job. I'm going to search the car, make sure there's nothing in there. It'll be quick, and then we'll get you back on the road."
02:00,Officer,Did you throw the weed out on the side of the road?
02:02,Devonte,"I didn't throw anything out, sir."
02:04,Officer,Don't lie to me.
02:04,Devonte,I'm not lying to you.
02:06,Officer,"Well, you had weed on your leg, did you not? We're going to sit here and argue about that part?"
02:09,Devonte,I'm not arguing with you.
02:11,Officer,"Okay, so was it weed?"
02:13,Devonte,I can't tell you it was weed.
02:14,Officer,Okay.
02:15,Devonte,You came with me.
02:16,Officer,"All right, guys, we're going to step out, okay? You can grab your daughter."
02:19,Devonte,"Okay, so what are we doing now?"
02:20,Officer,I'm going to explain it to you.
02:21,Officer Mary,"All right, go ahead and get off the phone for a little while."
02:23,Officer Mary,You can call her back. Right now you're detained.
02:25,Officer,"Detained? Yes, ma'am, off the the smell of marijuana gives us probable cause to search the vehicle, so you're not freely."
02:29,Officer Mary,"So, you can hang up the phone now."
02:32,Officer Mary,It's an officer safety issue. I need you to get off the phone.
02:34,Devonte,"Auntie Pat, I have to get off the phone. She's telling me I have to get off the phone."
02:37,Officer Mary,You can call her back.
02:39,Officer,Can you step out for me?
02:40,Devonte,What's going on?
02:41,Officer,Step out.
02:41,Devonte,"No, I'm I'm I'm getting out. What's going on?"
02:45,Officer,"I'm I'm telling you, the car smells like weed."
02:47,Devonte,"Okay, so you just search the car. That's it."
02:49,Officer,Yes.
02:50,Devonte,"Okay, we good."
02:50,Officer,"All right, cool."
02:53,Officer,No weapons or anything on you?
02:54,Devonte,Sir.
02:55,Officer,I'm just asking.
02:56,Devonte,"No, I know, I know you think it's silly, but I have to ask."
03:00,Officer,"Is that that's not your kid, is it?"
03:02,Devonte,It's I wish.
03:04,Officer,Okay.
03:06,Officer,You can leave your purse.
