start_time,speaker_label,transcript
00:04,[Police Officer],About what's your name?
00:11,[Police Officer],Do you want to know why I stopped you?
00:15,[Police Officer],Do you speak English?
00:23,[Police Officer],Interesting conversation.
00:27,[Police Officer],There we go.
00:44,[Police Officer],Do you remember what I asked you?
00:46,Caitlyn,Anything you want.
00:47,[Police Officer],"Well, I asked you for your driver's license and you handed me a vape pen and then you dumped out your purse and then you looked at your driver's license and didn't hand it to me, so that's where I'm at."
00:58,[Police Officer],"Is this your car, Caitlyn?"
01:02,[Police Officer],Hello. Is this your car?
01:08,[Police Officer],Do you know why I stopped you?
01:12,[Police Officer],"You made a right on red at Hilliard Madison, floored it, went through the red light at McKinley, then you turned on the Riverside, then you use a turn signal, then you started to make a left turn and then turn your signal on kind of like as you were making your left turn, made a wide right turn around the curve, and I smell alcohol. You can't tell me where you're coming from. You handed me a vape pen instead of a driver's license. So I'm going to have you step out, we're going to do some field sobriety tests, okay?"
01:37,Caitlyn,"No, thank you."
01:38,[Police Officer],"No, thank you. Okay, well then step on out."
01:43,[Police Officer],Because you're under arrest for DUI. Okay?
01:49,[Police Officer],Do you want to get out or do you want me to help you out?
01:52,Caitlyn,"No, thank you."
01:53,[Police Officer],"No, thank you. It's not really an optional thing right now, ma'am."
01:58,[Narrator],"From the jump, Miss Cloud Dummy turned a license check into a stand-up routine. Asked for ID, she proudly served up a vape pen like it was her passport to freedom."
