start_time,speaker_label,transcript
00:00,Tony,I never used to do this. I just my mom made sure I took it with me so I didn't want.
00:09,[Bystander],She got a gun in her car.
00:11,Danny,I haven't found it yet.
00:12,Detective Ross,"For sure, you got a gun?"
00:14,[Bystander],"Hey, turn that off."
00:16,Detective Ross,Turn that off.
00:17,Detective Ross,What's your name?
00:18,Danny,Danny.
00:19,Detective Ross,Is it okay if I check your pockets here real quick?
00:22,Detective Ross,"Yeah, we're not trying to give anyone a hard time. We got a call that people with guns and warrants and things like that."
00:28,Danny,Warrants.
00:32,Detective Ross,You got to put your hands over there.
00:34,Danny,What is it?
00:35,[Bystander],"Oh, hell no, over there."
00:37,Detective Ross,What is it?
00:37,Danny,Meth.
00:38,Detective Ross,Meth?
00:41,Detective Ross,Just going to run it.
00:43,Detective Ross,"There you go, man."
00:44,[Narrator],"Eventually, the officers brought Danny and Tony back to the station for interrogation, and this is where the hard part started for the detectives."
00:52,Detective Ross,Attorney wants to check the roth.
00:54,Danny,"Hey, you doing?"
00:57,Detective Ross,"So, we got you with a gun."
01:02,Detective Ross,Okay. You okay?
01:04,Danny,I want my attorney.
01:05,Detective Ross,"Okay. I read you your rights and everything, right? Yep. For the record? You have the right to remain silent. You understand this right?"
01:11,[Narrator],"Here, it's important to note that Danny thinks he's been brought in just because of the gun incident. At this point, he is unaware that police have him and Tony as lead suspects for Samantha's disappearance. Detectives are doing this to potentially lead him into a fake story or timeline that they can prove wrong later."
01:28,Detective Ross,You've indicated that you want to talk to your lawyer?
01:30,Danny,"I don't know what it's about, but I still want my attorney. I know that. I do this."
01:33,Detective Ross,All right. I don't know what to do about your.
01:35,Danny,I got 11 numbers. Get me my attorney.
01:37,Detective Ross,"All right. Uh, man, I don't know what we can do about your freezing, but maybe get you out of here as soon as we can. How's that?"
01:43,Detective Ross,"While you're here, can we can we cover at least cover some?"
01:46,Danny,You can talk. I ain't going to say nothing.
01:48,Detective Ross,"Uh, you want to forget some swaps from you?"
01:51,Danny,"Like I said, you can talk. I ain't going to say nothing."
01:53,Danny,"All right. I'm going to tell you like this, man. I got 11 numbers, 23 years in the system. I ain't got nothing to say to y'all. I want my attorney present. Nobody else sitting here. I ain't got nothing to say to you."
02:00,[Narrator],"Danny's been in this situation before, and he knows exactly what to do. At the very least, stall the detective's process for as long as possible. He's staying quiet and refusing to speak without an attorney present, as is his right. So the detectives have no other choice but to switch over to Tony and see if she will budge instead."
02:20,Detective Ross,She's the one.
02:22,Detective Ross,"All right, I'm going to tell you with Mr. Detective Ross."
02:24,Tony,Hello.
02:25,Detective Ross,Hey.
02:27,Tony,"Um, I didn't know. I knew I was never had a weapon before in my life. The longest I've been here at least."
02:34,Detective Ross,"So, I'm going to read your Miranda rights, okay?"
02:36,Tony,I didn't know that.
02:38,Detective Ross,"Okay. Good. Okay, you understand them and everything?"
02:40,Tony,Okay.
02:41,Detective Ross,There's a girl that's missing. And we have strong reason to believe he's involved in her disappearance.
02:47,Tony,He didn't do that.
02:48,Detective Ross,So.
02:49,Tony,He didn't do that.
02:50,Detective Ross,How why couldn't he do it?
02:51,Tony,Because he's not that type of person.
02:53,Detective Ross,"Okay. But we like I said, we have a lot of information pointing to his involvement in this girl's disappearance. So, what I want for you to know if you've ever seen this girl before. Think hard between you and I. If you want to know if you've seen her."
03:08,Detective Ross,"Okay, and you've never seen her before. That's your."
03:11,[Narrator],"They're deciding to be a lot more upfront with Tony and treat her not as a suspect, but more of a witness. It's likely she wouldn't confess to being involved in the murder, but they think there could be a chance that she'd turn Danny in if she thought it meant she'd get away. Unfortunately, though, having been on the wrong side of the law in the past herself, she's not about to help the cops out so easily."
03:32,Detective Ross,"I'm going to be straight with you. He's he's looking at some serious, serious problems. And from what you're telling me, if you were with him that whole time in the past three days, which she went disappeared in the last three days. So, if you were with him the whole time, you know what my next leap is."
03:48,Tony,"Well, that's ridiculous because he was with me. We were in Warren."
03:52,Detective Ross,Think real hard because this is very important to what happens with you in the future. Okay?
03:57,Tony,"No, I get that. I'm I'm not that stupid."
04:00,Detective Ross,"Okay. Hang on. Hear me out. So, this is not a misdemeanor crime we're investigating. We don't do that, okay? When we get involved, something bad has happened. We know some other stuff went on this weekend specifically yesterday, Saturday night at a house in Akron. So, I don't want you to get in any trouble with something that you were just along for the ride. But if you're going to sit here and tell us,"
04:20,Detective Ross,"you the whole time, you think you're helping him, but you're not. You're hurting yourself. Let me tell you about the house where it happened at. We've talked to people that's been at the house. They were all at this house where this girl disappeared from. In fact, something bad happened to her at the house. You know why we know that? Because the the guys we've already talked to him all day. We spent all day talking to him. And he gave us detailed accounts of what happened at that house. You have to think hard about how you want to handle this because if you're going to sit here and vouch for him, that can get you caught, that can get you in trouble."
04:50,Detective Ross,"Do you have uh, you have kids?"
04:51,Tony,"Yes, I have two kids."
04:53,Detective Ross,Two boys?
04:54,Tony,Yes.
04:54,Detective Ross,"Okay. Um, what would you do if one of those boys went missing?"
04:59,Tony,Everything I could to find him.
05:01,Detective Ross,"Okay, would you expect people to help us to find them, to locate them?"
05:03,Tony,Yes.
05:04,[Narrator],"The route the detective is taking is obvious and would work on the majority of people. He's trying to scare Tony into giving up what she knows so they can get to the bottom of things faster. If she gives Danny up, she might get a good deal with them, but if not, things could end up real badly for her. The most interesting dynamic here though is how the detective is trying to use Marshall's earlier statement against her. This happens all the time, but usually they're exaggerating the strength of the evidence or making it up completely. This time though, they actually have an airtight statement, but Tony simply doesn't believe them. That means she thinks she can just continue to deny everything and instead of taking a deal for less jail time, she can just get away with no charges. So with this in mind, watch how confidently she denies everything, unaware that the detectives know every word she speaks is a lie."
05:54,Detective Ross,"So, this girl's family has been out looking for her all day. Okay, but unfortunately, we already know what happened to her. So, from here on out, anything that we from based on what you're telling us, I'm we're giving you this chance to talk to us now. Anything that in relation to her, what happened to this girl is going to be attached to you too, okay? Because we're giving you a chance, but if you want to cover for him, that's fine. I don't care."
06:17,Tony,I'm not doing that.
06:18,Detective Ross,It don't matter. It don't matter to me.
06:19,Tony,That's just.
06:20,Detective Ross,We're going to move on.
06:21,Tony,I'm sorry that this happened to that girl. I don't.
06:23,Detective Ross,We have reason to believe you were there.
06:25,Tony,"Yeah, I was there."
06:26,Detective Ross,And.
06:27,Tony,I don't.
