start_time,speaker_label,transcript
00:05,Michael,Good day.
00:05,Amber,Let's go.
00:08,Amber,Got you.
00:09,Michael,"Yes, you did."
00:15,Michael,"Sorry, I didn't even do that."
00:17,Amber,Why?
00:18,Michael,I made a little bit of a nation.
00:20,Amber,It's literally loose.
00:22,Michael,That's good.
00:22,Amber,Fucking.
00:24,Amber,Imagine.
00:26,Amber,Stepping.
00:36,Michael,"All right, Amber, at this time, I'm just going to read some stuff off to you and you tell me, all right?"
00:41,Amber,Okay.
00:42,Michael,"If you understand at the end, all right?"
00:43,Amber,Okay.
00:44,Michael,"Um, I'm going to advise you of your Miranda warning, okay? You have the right to remain silent. Anything you say can and will be used against you in a court of law. You have the right to talk to a lawyer and have him present with you while you are being questioned. If you cannot afford to hire a lawyer, one will be appointed to represent you before any questioning if you wish. You can decide at any time to exercise these rights and not answer any questions or make any statements. Do you understand each of these rights I have explained to you?"
01:14,Amber,Yes.
01:16,Michael,"Have these rights, uh, having these rights in mind, do you wish to talk to us now?"
01:21,Amber,About what? No.
01:24,Michael,No.
01:25,Amber,No.
01:26,Michael,Okay.
01:27,Amber,Just right now.
01:28,Michael,Yep.
01:39,Amber,About what?
01:40,Michael,"So like I again, remember, I I just read all that stuff to you. Um, what kind of alcoholic drinks have you had tonight?"
01:49,Amber,A a surf side.
01:52,Michael,Surf side.
01:56,Michael,About how many?
01:58,Amber,Like three.
02:01,Michael,Where were you?
02:04,Amber,Jacks.
02:05,Michael,In Long Branch?
02:06,Amber,Yes.
02:10,Michael,About how much time between each drink?
02:15,Amber,I don't know. Uh.
02:19,Michael,It's all right.
02:20,Michael,"Uh, about what time did you have your first drink?"
02:27,Amber,"Whoa. Okay. Uh, so I've been here for I don't know, like 7:00 o'clock."
02:35,Michael,"7:00 o'clock of the 22nd, so yesterday?"
02:37,Amber,Maybe? I don't know.
02:47,Michael,These are all just questions that we have to ask.
02:50,Amber,I I literally I'm just guessing.
02:52,Michael,"No, that's fine. Just do your best for me answering them. It's"
02:54,Amber,I'm guessing.
02:55,Michael,"Okay, that's fine."
02:56,Amber,At this point.
02:57,Michael,What's that?
02:58,Amber,I said I'm guessing at this point. I don't know.
03:01,Michael,"Okay, that's fine. When did you finish your last drink, roughly?"
03:05,Amber,What time is it?
03:06,Michael,"Uh, it's 1:19 right now."
03:10,Amber,Probably like 11:30. Yeah.
03:16,Amber,It's been a while.
03:28,Michael,"Uh, what time did you finish eating today?"
03:31,Michael,Like your last meal?
03:34,Amber,It's like aggressive.
03:48,Amber,"I watch a bunch of these shows, so like I get it."
03:51,Michael,"Just to make sure, just don't put your hands in your mouth. All right?"
03:54,Amber,Why?
03:55,Michael,"It's uh, it's part of the thing because we have to take your breath, so you can't put your hands in your mouth."
04:00,Amber,I'm literally telling you about like the shows.
04:03,Michael,"Tell me, what shows you watch?"
04:06,Michael,Which ones?
04:07,Amber,"These shows, so like I'm not."
04:15,Michael,You watch Criminal Minds or like Law and Order?
04:18,Amber,"No, it's just like this shit."
04:25,Michael,What do you mean?
04:32,Michael,Tell me about the Sims world that you have.
04:35,Michael,I played Sims for a long time.
04:37,Michael,You were telling in the car.
04:40,Michael,You play Sims?
04:41,Michael,What do you play it on?
04:42,Amber,Computer.
04:43,Michael,Computer?
04:44,Amber,Yeah.
04:46,[Officer],"Just like for the next 20 minutes, just try not to only touch your mouth or anything. I understand that's why I don't want you to if you're crying, just have that with your tissue in there."
04:57,Amber,Okay. Thank you.
04:58,[Officer],"Just because it has to do with the testing and if you do one of these things, we have to start that the 20 minute observation over, so quicker we get you tested, the quicker we get you out of here."
05:16,Michael,"Are you from, like born and raised?"
05:19,Amber,Yes.
05:20,Michael,"Yeah. Middlesex County, right?"
05:22,Amber,Yeah.
05:22,Michael,I'm from Middlesex County too.
05:24,Amber,"Okay, cool."
05:39,Amber,Do I think something's wrong with me?
05:42,Michael,Do I think something's wrong with you?
05:44,Amber,Yeah.
05:45,Michael,"No, actually not."
05:46,Amber,Okay. You said something about Sims.
05:49,Michael,"Yeah, you were talking to me in the car about Sims, about how you play Sims with your boyfriend?"
05:54,Amber,You
05:55,Michael,"Yeah, I was just making conversation."
06:00,Michael,Who's not judging you?
06:02,Michael,"No, I play it too. It was a great game."
06:05,[Officer],I don't even know what the hell Sims is.
06:07,Amber,You don't know what Sims is?
06:09,Amber,How old are you?
06:10,[Officer],38.
06:14,Amber,Too old for that.
06:25,Amber,So am I going to get charged with a DUI?
06:30,Michael,"Yeah, you get charged. The statute is driving while intoxicated."
06:33,Amber,Yeah.
06:37,Amber,"Uh, so what does that mean?"
06:43,Michael,"Uh, that means you will you'll get the charge and then you'll have a court date. So you'll have to go to court."
06:50,Amber,Okay.
06:52,Amber,And then what?
06:54,Michael,Then the judge decides what he wants to do from there.
07:00,Amber,Okay.
07:01,Michael,"And you'd never had a DUI before, so."
07:05,Amber,DUI?
07:06,Michael,"Yeah, driving while intoxicated."
07:09,Amber,Driving under the influence.
07:11,Michael,Yeah.
07:12,Amber,So thank you.
07:13,Michael,"Yeah, pretty much."
07:14,Amber,Okay.
07:15,Amber,I don't know.
07:17,Michael,Say that again.
07:18,Amber,I said no.
07:19,Michael,Okay.
07:31,[Narrator],"After being arrested and placed in the patrol car, her vehicle was impounded for 12 hours under John's law. At the station, Amber agreed to blow into a breathalyzer. What number did she reach that shocked everyone after processing she was released to her boyfriend? Does this ending look like a happy movie scene?"
07:51,Michael,"That's your car, the um, the one you're driving registered to you?"
08:03,Michael,"Amber, who's your um, your boyfriend?"
08:08,Michael,"Yeah, I guess he's calling to see where you're to see where you're at."
08:12,Michael,Is he sober? Can he pick you up possibly?
08:17,Amber,He's always sober.
08:18,Michael,Okay.
08:24,[Officer],"Hey, Sarge, I got a message from the dispatcher. I guess her boyfriend's on the phone."
08:28,[Officer],He's calling to see where she is.
08:32,Michael,"Do you want to talk, do you want to call him or talk to him or"
08:36,Michael,We're not going to talk to him.
08:38,Amber,Can he just pick me up?
08:40,Michael,"Yeah, we can. He can pick you up. Do you want him to pick you up?"
08:42,Amber,Yeah.
08:43,Michael,"All right, we'll we'll call him back."
08:46,[Officer],Just get a phone number for him.
09:05,Michael,"Remember, don't touch your face, Amber."
09:07,Amber,Sorry. I didn't face.
09:08,Michael,"No, I got you."
09:11,Amber,I'm sorry.
09:12,Michael,"No, it's okay."
09:29,Amber,Fuck you.
09:50,Michael,"Sarge, do you want me to give him a tissue?"
09:54,Michael,Huh?
09:54,[Officer],You want to give her a tissue?
09:56,Michael,"Yeah, I'll give her a tissue."
10:04,Amber,Can I get me?
10:05,Amber,Can I get me?
10:06,Michael,"Here, babe."
10:07,Michael,I don't know what's in there.
10:08,Amber,It's it's a fucking vape.
10:14,Amber,I have to pee.
10:15,Michael,You can use the bathroom now. You can you can get a tissue now. Do you want a tissue still?
10:18,Amber,I want a tissue and I have to pee.
10:23,Michael,"All right, when he comes back in, we'll take care of both of those."
10:25,Amber,It's just so unnecessary.
10:28,Michael,And you should be out of here as soon as your boyfriend gets here.
10:30,Amber,I should just go ahead and pick me up.
10:34,Amber,I'm sorry to be like this.
10:38,[Officer],Did you print out the summons yet or no?
10:40,Michael,Not yet. I'm going to go do that right now.
10:41,[Officer],This is all her stuff.
10:42,Amber,It's not here. Maybe.
10:45,Michael,Not in here.
10:46,[Officer],I think it was in your in your dash in your car.
10:51,Amber,Probably it.
10:52,Michael,Yeah.
10:53,Amber,Yeah.
10:54,Michael,This is all your I'm going to leave this up here.
10:56,Amber,I don't know.
10:58,Michael,This is all yours.
11:00,Michael,That's all yours.
11:04,Amber,Can I get me?
11:05,Amber,Can I get me?
11:06,Michael,Your vape. I don't know what's in there.
11:08,Amber,It's it's a fucking vape.
11:14,Amber,I have to pee.
11:15,Michael,You can use the bathroom now. You can you can get a tissue now. Do you want a tissue still?
11:18,Amber,I want a tissue and I have to pee.
11:23,Michael,"All right, when he comes back in, we'll take care of both of those."
11:25,Amber,It's just so unnecessary.
11:28,Michael,And you should be out of here as soon as your boyfriend gets here.
11:30,Amber,I should just go ahead and pick me up.
11:34,Amber,I'm sorry to be like this.
11:38,[Officer],Did you print out the summons yet or no?
11:40,Michael,Not yet. I'm going to go do that right now.
11:41,[Officer],This is all her stuff.
11:42,Amber,It's not here. Maybe.
11:45,Michael,Not in here.
11:46,[Officer],I think it was in your in your dash in your car.
11:51,Amber,Probably it.
11:52,Michael,Yeah.
11:53,Amber,Yeah.
11:54,Michael,This is all your I'm going to leave this up here.
11:56,Amber,I don't know.
11:58,Michael,This is all yours.
12:00,Michael,That's all yours.
12:22,Amber,It's me so pissed.
12:28,Amber,It sucks.
12:34,Amber,Can I see you later?
12:35,Michael,Can you come in here?
12:37,Amber,Yeah.
12:39,Michael,I'm going to help get this stuff right here.
12:41,Amber,Can I just take my vape out of my car? Please?
12:45,Michael,What's that?
12:48,[Officer],The car is your your car is
12:50,Amber,It's gone.
12:51,[Officer],"Well, it it's in the tow it's in it got impounded."
12:55,[Officer],So your it has to be impounded for 12 hours. It's mandatory to save all.
13:00,[Officer],So 1:00 tomorrow because I think your arrest time is 1:00.
13:08,Amber,1:00 p.m.
13:09,[Officer],1:00 p.m. tomorrow. You can get the car.
13:12,Amber,What's tomorrow?
13:14,[Officer],"What's tomorrow, Wednesday?"
13:17,Amber,"Okay, cool."
13:18,[Officer],"Okay, so 1:00 tomorrow, you can come here."
13:22,[Officer],"You come here, right?"
13:25,[Officer],"Do you want me to tell you this or not? I mean,"
13:28,Amber,Can you said something?
13:31,[Officer],"Amber. Amber. Amber, you're getting all this paperwork."
13:37,[Officer],Amber.
13:39,Amber,Okay.
13:41,[Officer],Okay.
13:46,Amber,"Okay, go for it."
13:48,[Officer],You're getting all this paperwork.
13:50,Amber,Cool.
13:50,[Officer],"Okay, and you'll bring this paperwork with you and then you bring it here. The car gets signed out. You bring the paperwork we will give you to the tow yard and you get the car back."
14:03,Amber,And it costs how much?
14:05,[Officer],I don't know.
14:06,[Officer],"From from the tow company, I don't know how much they charge for."
14:10,Amber,Okay.
14:13,Amber,Do you have something?
14:14,[Officer],You'll see you. You're going to get it once you're released. It's right here.
14:17,Amber,Okay.
14:18,[Officer],"Once you get released, you'll you'll get copies of everything."
14:22,Amber,"Right now, I need it right now."
14:24,Amber,"It's a vape, right?"
14:25,[Officer],What's that?
14:26,Amber,"I said it's a vape, right?"
14:29,[Officer],It's cig.
14:31,Amber,Cig. Right on.
14:34,Michael,Gotcha.
14:35,Amber,Right on.
14:42,Michael,Watch Commander HP.
14:46,Michael,Let's do that one.
14:47,[Officer],"Oh yeah, Commander HP."
14:49,Michael,"Kind of an ass, you know."
14:52,[Officer],"I mean, it should be you can go check."
14:54,Michael,Yeah.
14:57,[Officer],I just printed the whole thing even though we only need the last page.
15:00,Amber,Can I have a can I have a tissue or like my boyfriend or where any fuck you.
15:06,Michael,There's a tissue right there.
15:10,Amber,I have to pee like hello.
15:21,Amber,I hate it.
15:24,Amber,You.
15:26,Amber,This is so I don't want to.
15:29,Amber,This is dumb.
15:33,[Officer],"Listen, you're here. It happened."
15:35,Amber,This is dumb.
15:36,[Officer],But you're getting out of here. You're going home.
15:37,[Officer],You'll have a date in court. You'll have a date in court.
15:39,Amber,It would have happened once in my life and here it is.
15:42,[Officer],What's that?
15:43,Amber,Is it?
15:44,[Officer],You knew it would happen?
15:46,Amber,Once in my life.
15:47,[Officer],You knew it would happen?
15:48,Amber,"At 28, I knew it would happen once."
15:51,[Officer],"Okay, well."
15:52,Amber,The time of my life.
15:56,[Officer],Listen.
15:59,Michael,Okay.
16:00,Michael,So we'll talk to you soon.
16:02,Amber,Okay.
16:03,Michael,Um.
16:04,Amber,Where is he? Where's my boyfriend?
16:06,[Officer],I don't think it's been 35 minutes.
16:07,Amber,Fuck you.
