start_time,speaker_label,transcript
00:00,[Driver of the car],Ta.
00:04,[Driver of the car],"is clear, traffic is light."
00:10,[Driver of the car],Easy.
00:16,[Police officer],You want to go get him? Huh?
00:18,[Police officer],So you want to go get him from move over?
00:20,Susan,I want to hear about the DUI.
00:22,[Police officer],Fair.
00:24,Susan,I'm about to put my car in this lane though since you're going to do DUI.
00:27,[Police officer],That sounds good.
00:28,Susan,Huh?
00:29,[Police officer],Sounds good.
00:42,[Driver of the car],"I have her ID, do you?"
00:44,[Police officer],Yes. Okay.
00:51,Susan,Yeah.
00:52,[Driver of the car],out 61.
00:56,[Driver of the car],Where's the at?
01:02,[Driver of the car],Crossroad SR6.
01:09,[Police officer],"Well, I guess I should just do all that first, huh?"
01:11,Susan,I'm going to have to print that out now.
01:14,[Police officer],Yeah.
01:23,[Police officer],"Have you been drinking tonight, Miss Susan?"
01:25,Susan,"Well, I drank earlier, maybe three hours ago."
01:27,[Police officer],"Okay, cuz I can smell the odor of alcoholic beverages coming from the vehicle. Is that you or both of them?"
01:32,Susan,Both of us have drank.
01:34,[Police officer],"Okay. Um, you mind if I check you real quick, make sure you're good enough to drive?"
01:37,Susan,"Yes, that's fine."
01:38,[Police officer],Okay.
01:45,Susan,Do I need to get out?
01:45,[Police officer],"Yes, please."
01:47,Susan,And I'm sorry about the ID. I really thought I had it.
01:49,[Police officer],"No, that's fine."
01:50,Susan,Can you turn off my fronts?
01:52,Susan,It's just on my desk. I forgot I didn't put my purse in.
01:56,[Police officer],I got you.
01:59,[Police officer],I'm going to step back here between the cars that we're not out in the roadway there.
02:02,Susan,"Sorry, I can't hear you."
02:03,[Police officer],"Okay, that's it. We're just going to step in between the cars that we're not out in the roadway here."
02:06,Susan,"Okay, that's fine."
02:07,[Police officer],"Okay, feet together like this, hands down by your sides. Cool. Okay, the first test is called horizontal gaze and nystagmus test, okay? Do you have any problems with your eyes besides wearing glasses?"
02:17,Susan,"Um, this eye right here, but it's just um, it was injured and there's just some floaters, so I can still see."
02:24,[Police officer],But not like a TBI or glaucoma or anything like that that require prescriptions or any other thing or damage to your eyes that's permanent?
02:31,Susan,"No, just the side."
02:32,[Police officer],"Okay. All right, so what I'm going to do is I'm going to have you, can you see the tip of my finger there?"
02:36,Susan,I can.
02:36,[Police officer],"Okay, I'm going to have you watch the tip of my finger. I'm going to make some passes back and forth, up and down in front of your eyes. I want you to follow the tip of my finger with your eyes and only your eyes. Do not turn your head, okay?"
02:45,Susan,Okay.
02:45,[Police officer],You understand?
02:46,Susan,Yes.
02:46,[Police officer],All right.
03:51,[Police officer],Okay. I'm with that one.
03:54,Susan,"Oh, so."
03:55,[Police officer],Okay.
03:56,Susan,Okay.
03:57,[Police officer],Okay.
03:58,Susan,"So, stand."
04:00,[Police officer],"Come this way, face me."
04:04,[Police officer],"Okay. The next test is called one leg stand, okay? You're going to pick one leg to stand on. I don't care which one."
04:09,Susan,Okay.
04:10,[Police officer],"The rest the other one you're going to raise approximately 6 inches off the ground like so. You're going to point your toe, look at your toe, and count out loud in the following manner. 1001, 1002, 1003 and so on until I tell you to stop."
04:21,Susan,Okay.
04:22,[Police officer],"Okay. You should keep some things in mind while you're doing this test. Keep your hands down by your sides, point your toe, look at your toe, count out loud like I described, keep your leg straight and do not stop until I have told you once you started, okay?"
04:32,Susan,Okay.
04:33,[Police officer],You understand the instructions as far as I give them to you?
04:34,Susan,"Yes, sir. That's hard for anyone, but yes."
04:36,[Police officer],Sure. Give me one second.
04:39,[Police officer],I'm going to have to do that from there. You got a stopwatch?
04:43,[Another police officer],I got one.
04:44,[Police officer],That'll work.
04:52,[Police officer],"All right, whenever you're ready, may begin."
04:53,Susan,Okay.
04:59,Susan,"1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1014."
05:14,[Police officer],"Hold on, don't go back."
05:20,Susan,"Oh, I have to continue?"
05:21,[Police officer],"Yeah, yep, I said don't stop until I tell you."
05:23,Susan,Okay.
05:26,Susan,"1016, 1017, 1018, 1019, 1020."
05:30,[Police officer],"All right, you can stop."
05:32,[Police officer],"Okay. So, uh, step down here, face this way. Step down here and face that way. Okay, perfect. Can you"
