--- Detailed Conversation Log ---

[00:05] [Police Officer]: Turn the car. Turn the car.
[00:08] [Police Officer]: Mary, good.
[00:10] [Police Officer]: Good.
[00:11] [Police Officer]: Good.
[00:12] [Police Officer]: Good.
[00:13] [Police Officer]: Good.
[00:14] [Police Officer]: Good.
[00:15] [Police Officer]: Good.
[00:16] [Police Officer]: Good.
[00:17] [Police Officer]: Good.
[00:18] [Police Officer]: Good.
[00:19] [Police Officer]: Good.
[00:20] [Police Officer]: Good.
[00:21] [Police Officer]: Good.
[00:22] [Police Officer]: Good.
[00:23] [Police Officer]: Show me your hands! Show me your hands now!
[00:25] [Police Officer]: Good.
[00:26] [Police Officer]: Good.
[00:27] [Police Officer]: Good.
[00:28] [Police Officer]: Good.
[00:29] [Police Officer]: I'm trying to end it up here.
[00:30] [Police Officer]: Okay, I'm coming up on the scales now.
[00:31] [Police Officer]: Good.
[00:32] [Police Officer]: Good.
[00:33] [Police Officer]: Good.
[00:34] [Police Officer]: Good.
[00:35] [Police Officer]: Good.
[00:36] [Police Officer]: Good.
[00:37] [Police Officer]: Good.
[00:38] [Police Officer]: Good.
[00:39] [Police Officer]: Good.
[00:40] [Police Officer]: Good.
[00:41] [Police Officer]: Good.
[00:42] [Police Officer]: Good.
[00:43] [Police Officer]: Good.
[00:44] [Police Officer]: Good.
[00:45] [Police Officer]: Yeah, I got my way. He's broken down. I'm out of the way.
[00:47] [Police Officer]: Good.
[00:48] [Police Officer]: Good.
[00:49] [Police Officer]: Show me your hands! Put your hands up! Put your hands up!
[00:53] [Police Officer]: Taser, taser, taser!
[00:55] [Police Officer]: Oh!
[00:56] [Police Officer]: Oh!
[00:57] [Police Officer]: Oh!
[00:58] [Police Officer]: Oh!
[00:59] [Police Officer]: Oh!
[01:00] [Police Officer]: Oh!
[01:01] [Police Officer]: Oh!
[01:02] [Police Officer]: Oh!
[01:03] [Police Officer]: Oh!
[01:04] [Police Officer]: Oh!
[01:05] [Police Officer]: Oh!
[01:06] [Police Officer]: Oh!
[01:07] [Police Officer]: Oh!
[01:08] [Police Officer]: Oh!
[01:09] [Police Officer]: Oh!
[01:10] [Police Officer]: Oh!
[01:11] [Police Officer]: Oh!
[01:12] [Police Officer]: Oh!
[01:13] [Police Officer]: Oh!
[01:14] [Police Officer]: Oh!
[01:15] [Police Officer]: Oh!
[01:16] [Police Officer]: Oh!
[01:17] [Police Officer]: Oh!
[01:18] [Police Officer]: Oh!
[01:19] [Police Officer]: Oh!
[01:20] [Police Officer]: Oh!
[01:21] [Police Officer]: Oh!
[01:22] [Police Officer]: Oh!
[01:23] [Police Officer]: Oh!
[01:24] [Police Officer]: Oh!
[01:25] [Police Officer]: Oh!
[01:26] [Police Officer]: Oh!
[01:27] [Police Officer]: Oh!
[01:28] [Police Officer]: Oh!
[01:29] [Police Officer]: Oh!
[01:30] [Police Officer]: Oh!
[01:31] [Police Officer]: Oh!
[01:32] [Police Officer]: Oh!
[01:33] [Police Officer]: Oh!
[01:34] [Police Officer]: Oh!
[01:35] [Police Officer]: Oh!
[01:36] [Police Officer]: Oh!
[01:37] [Police Officer]: Oh!
[01:38] [Police Officer]: Oh!
[01:39] [Police Officer]: Oh!
[01:40] [Police Officer]: Oh!
[01:41] [Police Officer]: Oh!
[01:42] [Police Officer]: Oh!
[01:43] [Police Officer]: Oh!
[01:44] [Police Officer]: Oh!
[01:45] [Police Officer]: Oh!
[01:46] [Police Officer]: Oh!
[01:47] [Police Officer]: Oh!
[01:48] [Police Officer]: Oh!
[01:49] [Police Officer]: Oh!
[01:50] [Police Officer]: Oh!
[01:51] [Police Officer]: Oh!
[01:52] [Police Officer]: Oh!
[01:53] [Police Officer]: Oh!
[01:54] [Police Officer]: Oh!
[01:55] [Police Officer]: Oh!
[01:56] [Police Officer]: Oh!
[01:57] [Police Officer]: Oh!
[01:58] [Police Officer]: Oh!
[01:59] [Police Officer]: Oh!
[02:00] [Police Officer]: Oh!
[02:01] [Police Officer]: Oh!
[02:02] [Police Officer]: Oh!
[02:03] [Police Officer]: Oh!
[02:04] [Police Officer]: Oh!
[02:05] [Police Officer]: Oh!
[02:06] [Police Officer]: Oh!
[02:07] [Police Officer]: Oh!
[02:08] [Police Officer]: Oh!
[02:09] [Police Officer]: Oh!
[02:10] [Police Officer]: Oh!
[02:11] [Police Officer]: Oh!
[02:12] [Police Officer]: Oh!
[02:13] [Police Officer]: Oh!
[02:14] [Police Officer]: Oh!
[02:15] [Police Officer]: Oh!
[02:16] [Police Officer]: Oh!
[02:17] [Police Officer]: Oh!
[02:18] [Police Officer]: Oh!
[02:19] [Police Officer]: Oh!
[02:20] [Police Officer]: Oh!
[02:21] [Police Officer]: Oh!
[02:22] [Police Officer]: Oh!
[02:23] [Police Officer]: Oh!
[02:24] [Police Officer]: Oh!
[02:25] [Police Officer]: Oh!
[02:26] [Police Officer]: Oh!
[02:27] [Police Officer]: Oh!
[02:28] [Police Officer]: Oh!
[02:29] [Police Officer]: Oh!
[02:30] [Police Officer]: Oh!
[02:31] [Police Officer]: Oh!
[02:32] [Police Officer]: Oh!
[02:33] [Police Officer]: Oh!
[02:34] [Police Officer]: Oh!
