start_time,speaker_label,transcript
00:00,Lamont,"here what I really like 11 months ago, I cheated. She get mad about that shit when she's under the influence. So she was on my ass in there. If you could see my face, there is smack marks on my shit. If you look at my knuckles, nothing red, my hands not red. when she started hitting me, I did restrain her. I said stop fucking hitting me like that. She get the fuck out there."
00:19,Officer,How was she hitting you with the open hand or a closed hand?
00:21,Lamont,"Open bro, look at my face. You can see."
00:22,Officer,I still have to ask.
00:24,Lamont,"All right, she was hitting me open-handed."
00:25,Officer,Okay.
00:26,Lamont,"So what I'm saying is,"
00:27,Officer,How many times she hit you?
00:28,Lamont,I don't know. I don't know. I know she was tweaking when she was drunk. I don't hit females.
00:32,Officer,Does she live here?
00:34,Lamont,This is her crib.
00:35,Officer,Does she live alone?
00:36,Lamont,"Yeah, but you know what I'm saying? As her being my bitch, you know, she tell me to slide every day and I slide every day."
00:41,Sergeant,Can you like crack the window so I can talk to you?
00:44,Sergeant,What what is going on?
00:45,Miss Day,He called.
00:47,Miss Day,I typically he called.
00:49,Sergeant,Okay. What what is this all about? What is going on?
00:51,Officer,So he called us because he had a night.
00:53,Miss Day,"No reason. No, I did not have a night. We got into it and I wanted to leave and I told him get out."
00:58,Officer,Okay.
00:59,Miss Day,"He has he has like three pieces of clothing in my house. He's like I want that back. Mind you, we called y'all last week."
01:08,Officer,"No, I think they just they don't think they have a good relationship."
01:10,Officer,Okay. Okay.
01:11,Officer,Last time we came here it was the same same style.
01:14,Officer,So he hurt me. I can't remember if it was him or her. They just they don't have a good relationship.
01:18,Officer,Okay.
01:19,Lamont,Okay.
01:21,Miss Day,"I'm sorry, my anxiety is really high. And I'm trying not to down."
01:23,Officer,Okay.
01:26,Sergeant,"No, you're you're doing good."
01:27,Miss Day,"Okay, okay."
01:28,Sergeant,Go ahead.
01:29,Miss Day,Okay.
01:31,Lamont,"She's in front of the door. trying to stab me through the door like as the crap every time they crash you trying to stab through the door, you know what I'm saying? So that little shit like that."
01:40,Officer,her back of the door or her front?
01:41,Lamont,"Yeah, that's why I'm doing it like this. This the door yeah, this the door. This her back doing this."
01:48,Sergeant,So do you live here?
01:49,Miss Day,"Yes, sir, I do. And my my issue is,"
01:52,Sergeant,Does does he live here with you?
01:53,Miss Day,No. He he comes here every now and then.
01:56,Sergeant,"Okay. So again, we're getting called because"
01:59,Miss Day,I understand. I understand. Let me explain to you. Nothing's wrong with him. Nothing's wrong with me. I just wanted to leave.
02:06,Sergeant,Okay.
02:06,Miss Day,He has maybe a sweat pair of sweatpants in my house that he did.
02:10,Sergeant,"Okay, he doesn't stay here at all."
02:11,Miss Day,He does not stay here. This is my and my son's house.
02:14,Sergeant,"Okay. So when he comes over, he just knocks or he calls you up and let you in."
02:19,Sergeant,Okay. Do you have a driver's license?
02:22,Miss Day,I have a picture I guess.
02:23,Sergeant,Does he have stuff in the house that you got back home?
02:25,Miss Day,He has a pair of sweatpants. Like nothing that really belongs to him. They're in the dirty laundry basket. I can we can all go in together and get.
02:31,Sergeant,Did he bring any bags over with him?
02:33,Miss Day,"No, no stuff. There's no bag in my house of his stuff. And we can all go in collectively together. There's no bag."
02:40,Sergeant,Didn't he I thought last time he grabbed all his stuff.
02:42,Miss Day,I I did too. And he came back the first time with seven officers and two days later came back with more to get more of his stuff and now all of a sudden there's more things and this is very traumatic for me and I'm emotional and
02:57,Sergeant,Why was he over tonight?
