start_time,speaker_label,transcript
00:00,[Female Officer],"Sit down. Joelle. Joelle, stop. Sit down. Stop. You're doing it. Come on. Sit down. You're a grown adult. Come on. Sit down."
00:00,Joelle,I don't want it.
00:08,Sergeant,Sit down.
00:10,Joelle,I don't want it.
00:11,[Female Officer],"I know, so make it easier for yourself. Stop. I know. Just sit."
00:15,Joelle,I don't want it anymore.
00:18,[Female Officer],"Joelle, if you try to get this, you're going to the cell."
00:20,Joelle,I don't want it anymore.
00:22,[Female Officer],"I understand. If you try and get out of your cuffs, you're going in the cell."
00:26,Joelle,I didn't do anything.
00:29,Joelle,Please get out of me.
00:33,[Female Officer],What do you mean get out of me?
00:34,Joelle,What do you mean get out of me?
00:35,[Female Officer],I can't do that.
00:36,Joelle,How?
00:37,[Female Officer],You're not arrested.
00:38,Joelle,How? What would I do?
00:40,[Narrator],"The female officer was just trying to be nice to her. Little did she know it was making Winnie and Bikini horny, the consequences of which we'll see soon."
00:48,[Female Officer],"I don't know. I don't even know. I don't know what you're charged with, so I don't know. Joelle, don't make me charge you. There's nothing to cry about. There's nothing to cry about. I don't know anything right now, okay? I don't know what you're being charged with right now. I don't know, you know, what you're going to cry about. Don't make it an issue until I finish here, okay?"
01:08,Joelle,I'm done. I'm done. I'm done. Okay. I'm done.
01:11,Joelle,I don't want to do that.
01:13,[Female Officer],I don't want to do that.
01:13,Joelle,I don't want to do that.
01:16,[Female Officer],Okay.
01:17,[Friend of Joelle],"She was being She said if I get locked up or if I get charged or something, I'm telling you, I'm going to"
01:26,Sergeant,"All right, you got to tell her. What? You got to tell her to write down her name and your phone number. I will call you. Thank you so much. Joelle, how are you doing? I'm Sergeant."
01:33,[Female Officer],Thank you so much.
01:36,Sergeant,"Obviously, you saw me before. Before you get all upset. No, you're being handcuffed. You assaulted one of my officers tonight, all right? The one that was charging you. It's all on camera. Listen, you're being charged with three charges. Disorderly person. Criminal trespass and resisting arrest. Okay? Listen. Listen to me. You you're going to be giving these uh citations to you via the summons. They're disorderly person's offense. All right? So it doesn't mean that you're going to county jail tonight, all right? So, um, you cooperate with them. You will be released to a sober subject tonight. You'll be released to somebody who's sober, hasn't been drinking. Did you say to one of my officers that you were in a"
01:39,Joelle,I don't want it.
01:55,Joelle,I don't want it.
02:01,Joelle,Please.
02:25,Joelle,How would that be?
02:33,Joelle,I don't want to do this.
02:36,[Female Officer],"Joelle, we're trying to get you in the mail, okay? You're not going to jail tonight. Relax. We already told you you're not going to jail, okay? So stop. Right? Right?"
02:43,Joelle,You're doing this to me. You're doing this to me.
02:46,[Female Officer],"No one's doing anything to you, Joelle."
02:47,Joelle,Why are you doing this to me?
02:50,[Female Officer],"Joelle, no one's doing anything to you, okay? You're going to be on your way later on?"
02:54,Joelle,I want to go home.
02:57,Joelle,I want to go home.
02:58,[Female Officer],You're going to go home with her. You're going to go home with her. Sleep in your own bed tonight. You're not going to jail tonight. No one's going to jail. We told you.
03:05,Joelle,"Why are you guys doing this to me, though?"
03:08,[Female Officer],"No one's doing anything to you, Joelle."
03:09,Joelle,You guys are literally putting me in this.
03:13,[Female Officer],"Joelle, you were arrested. You were criminal trespassing. You were resisting arrest. You were criminal trespassing."
03:20,Joelle,Really? Why wouldn't you guys be literally just getting me home?
03:24,Sergeant,"Because we have to have somebody take liability for you, plain and simple."
03:28,Joelle,"Yeah, but you're I understand."
03:31,Sergeant,And I'm passing liability off to your friend's going to sign for you.
03:34,Joelle,"Yeah, but you should be able to go let me go home."
03:37,Sergeant,"I am letting you go home, but someone's going to sign for you. All right. What's going on?"
03:41,[Female Officer],What's going on?
03:42,Sergeant,You need to fill this out. Okay. This is basically saying that you're taking responsibility for her.
03:46,[Female Officer],For her? I'm her friend.
03:47,Sergeant,"Yes, because she's a friend."
03:49,[Female Officer],"Oh my God. And what are the implications, God forbid?"
03:53,Sergeant,"Basically, you just need to get her home safe. Make sure and also, she is not allowed back at Donovan's. She is not allowed back ever. Nope. They don't want her there."
03:55,[Female Officer],Okay.
04:01,[Female Officer],Permanent ban?
04:02,Sergeant,Yes.
04:03,[Narrator],This is when she could no longer hold her lust for the officer and decided to shoot her shot.
04:08,[Female Officer],"What? Thank you. You're not my central. No, I'm not. But here, come at me. Grab your tissues. You're not your own."
04:16,Joelle,"I don't want to uh, wear my shoes."
04:22,Sergeant,Yeah. You fought the cops.
04:27,Joelle,You are such a liar. It's insane.
04:30,Sergeant,"Somebody. So it's fine. All right, go ahead."
04:34,Joelle,You're so dumb. It hurts my brain.
04:37,Joelle,How can I get out of here?
04:39,Sergeant,You're going to take a photograph and then your friend's going to come pick you up. That's it.
04:41,Joelle,You're so
04:43,Sergeant,That's fine. That's fine.
04:44,Joelle,"He's like, you."
04:46,Sergeant,Okay.
04:47,Joelle,I have on.
04:49,[Female Officer],I'm sure.
04:52,Sergeant,because it's calling you.
