start_time,speaker_label,transcript
00:00,Jonathan,control.
00:02,Jonathan,Follow dictates of the government. Follow dictates of the power hungry.
00:08,Jonathan,"Stewardess or head stewardess, pushing people the entire time. Oh, you forgot your nose, pull it up. I did pull it up and then she still tried to grab me."
00:17,[Officer],We're going to the office here or what?
00:19,Jonathan,"Yeah, that'd be good."
00:20,[Officer],instruct the flight attendant.
00:22,Jonathan,"Lie, complete lie."
00:24,[Officer],"Therefore, thank you."
00:25,Jonathan,Complete false lie. Absolute lie.
00:29,Jonathan,Idiot. She says I struck her. What kind of idiot lies that?
00:33,Jonathan,Woman with two inch nails in my face ready to scratch me.
00:37,Jonathan,That is total lie.
00:39,[Officer],"You can lift your foot up, we're going to go on the stream."
00:41,Jonathan,Total lies. You let her get away that.
00:44,[Officer],swinging a little bit of water.
00:45,Jonathan,You let her get away with those total lies.
00:48,Jonathan,Can you please take these off so I can call the lawyer of my friend?
00:51,[Officer],"Nope, you're going to get a phone call when you get to the jail."
00:55,Jonathan,"A year ago I suffered a stroke. I actually don't need the wheelchair, but it did need did need help with the bags because they weren't fitting, so I"
01:08,Jonathan,"I put that one on. Actually, there's still another bag that I think either on this or a different uh flight, but I'm not sure because they're not helping me."
01:17,[Officer],Got you.
01:17,[Officer],When did we get the call?
01:18,Jonathan,help with that instead of get hell.
01:21,Jonathan,Come on. I'm recovering from a stroke. I've been in the hospital three months.
01:25,Jonathan,"Don't you think they could treat me with a little bit of humanity, kindness and consideration?"
01:31,Jonathan,So sometimes the map the what do you call mask slips down because I get a big nose and also I can't see because of the cloudiness on my glasses.
01:38,Jonathan,"And I got to breathe. I can't breathe. I can't breathe. You know, some some of us can't breathe either, you know, and I'm saying that and they were not listening."
01:46,Jonathan,For a woman yelling at me with two inch nails.
01:49,[Officer],downstairs to do it.
01:50,Jonathan,And me.
01:51,[Officer],the paperwork.
01:52,Jonathan,Ask you yelling. Please don't have your fingernails in my face.
01:56,[Officer],I got a print out.
01:57,Jonathan,She makes a false. I can't take him in my car anyway.
01:59,Jonathan,"A false charge that I hit her. What kind of crap is that? I never touched the woman. Unless this African-American tried to write another lie and portray it as racism. Complete lie. I sat next to the largest African lady, African-American lady on the plane and we formed a a good friendship."
02:15,Jonathan,And she's seventh day Adventist Christian and Christian background similar to mine.
02:20,Jonathan,"And we shared a lot of good things including the fact that the one of the most famous African-American singers Stevie Wonder, his son manager happens to be my cousin. And believe it or not, I was a member of the NACP since age eight. So where's racism? Not all on her part, not mine."
02:37,[Officer],Need to pull the video on this.
02:40,Jonathan,We don't need to see. Her nails are incredibly long. Did you see how long her nails are?
02:45,Jonathan,"And you might have freaked out if they were in your face too. Sorry, I don't take too well to being all that with two inch nails in my face."
02:52,[Officer],You know what I don't take too lightly too? You fighting the police.
02:57,Jonathan,That's BS too.
02:58,[Officer],"Okay, okay, I was there."
03:00,Jonathan,"Yeah, and why why did you put pressure on an innocent disabled elderly person? Why?"
03:07,[Officer],"Sir, you're not innocent. You're going to jail."
03:09,Jonathan,"For God's sake, for Jesus' sake, stop this lying game."
03:11,[Officer],You're going to jail. Stop your lying game.
03:13,[Officer],You're going to jail for battery. You're not innocent.
03:15,Jonathan,Total lies.
03:17,[Officer],We have witnesses. They're all lying. They're all lying on you.
03:20,Jonathan,"Yeah, that battery is complete bullshit. Complete."
03:24,Jonathan,"She almost scratched my face, but I never laid a hand on anyone. Don't give me that lie."
03:28,Jonathan,But I would watch myself.
03:30,Jonathan,"If I were you and you and me, we all need to watch ourselves and each other better than you guys have been doing."
03:38,[Officer],"How have I treated you poorly, sir?"
03:42,Jonathan,"Well, all of no, I'm not saying about you, um, Mr. Jonathan."
03:46,[Officer],"Okay, well, you just included us all in that statement, so I was just wondering."
03:48,Jonathan,"Well, you have been relieved the pain of this metal on my wrist is is actually very excruciating pain and hurtful."
03:55,[Officer],"I can fit a finger beneath each of those cuffs, which means they're not too tight."
03:58,Jonathan,Ow!
03:59,[Officer],Please take this off.
04:00,[Officer],And you screamed ow after my hand was already away from the cuff.
04:03,Jonathan,Please take this right one off right now.
04:04,[Officer],No.
04:06,Jonathan,"See. Uh, you're playing a power trip just like the stewardess. Power tripping me."
04:10,[Officer],One of your wrists has even got fabric underneath it.
04:15,Jonathan,Don't give me excuses for elderly abuse and and and uh abusing a disabled person.
04:21,Jonathan,"They're all BS excuses, all right?"
04:24,[Officer],Mhm. I hear you.
04:26,Jonathan,You want to be treated the same way?
04:27,[Officer],"I've got pretty big fingers and like I said, they can fit between your wrist and the cuff, so."
04:31,Jonathan,Excuses don't help when a person's in pain.
04:35,[Officer],I don't do anything that's going to get me put in jail.
04:37,Jonathan,"Go ahead, take this off. And I did nothing that anyone should take me anywhere. It's complete BS exaggeration, which is a form of a lie, as you know."
04:46,Jonathan,I didn't touch anyone. Power tripping control through using COVID to control people and abuse people.
04:53,Jonathan,I can't breathe. Not just Floyd can breathe. I can't breathe.
04:56,[Officer],Did you notice that the trash can is not going to get emptied?
04:59,[Officer],"Nah, I hadn't used it."
05:00,Jonathan,I never come in here.
05:01,[Officer],Who would do this?
05:02,[Officer],106 or anything.
05:03,Jonathan,I don't know.
05:04,[Officer],It has to be one of them.
05:05,[Officer],"Yeah, it's him."
05:06,Jonathan,"Not just some blacks, but some whites can't breathe either, you know?"
05:09,Jonathan,I can't I can't breathe with this mask.
05:12,Jonathan,I can't breathe and and my glasses get fogged so I can't see as well.
05:16,[Officer],Me either. I don't even wear a mask.
05:17,Jonathan,"So when I finally get off the plane, I got to find where's my bag and I can't see it. So it was"
05:21,[Officer],No working on 39 right now. We got to.
05:23,Jonathan,She's yelling in my face with her two inch nails. That's total professional.
05:29,[Officer],Do you remember what I told you?
05:30,Jonathan,I don't know.
05:31,[Officer],I'll be back sometime tomorrow.
05:33,[Officer],"I told you, that's between you and American. Complain on."
05:36,[Officer],He just a second. I'm going to call your supervisor.
05:38,[Officer],That has nothing to do with me.
05:40,[Officer],"Uh, yeah, because you're What has to do with me is you're being a liar. I ask you if you hit her and you wouldn't answer me. All you said is it's all lies."
05:48,Jonathan,It is. Of course I never I never touched anything.
05:52,[Officer],You never said that to me.
05:53,Jonathan,"I did from the beginning. I said it's a complete lie, which means I never did it."
05:56,[Officer],"But I I ask you, did you hit her? And you said complete lies. I said we're going to pull the video. Complete lies. You never would answer me."
06:04,Jonathan,Of course her lies. That's not true. Even what you're saying is false.
06:07,[Officer],"Oh, okay."
06:08,Jonathan,But power tripping feels good to your pride and ego. I guess.
06:11,[Officer],"Well, no, this is what I know. Everything is recorded. That's what she's doing. Everything is recorded."
06:16,Jonathan,Another story. I don't believe your fabrication.
06:18,[Officer],"Sir, do you see this? It's all recorded. Do you see that on him? We're all recording. On the other officer? We're all wearing it. It's all recorded."
06:27,Jonathan,You can make a one or 10 or 100 lies. They're all lies.
