start_time,speaker_label,transcript
00:00,Dan,"Hey, I'm with the sheriff's office. Were you guys just involved in an altercation of maybe a road rage incident with somebody?"
00:06,[Driver involved in a road rage incident],"Uh yeah, that bastard was a road rager."
00:08,Dan,"Okay, all right. Would you mind stepping out with me real quick? Just talk to me so I can get your side of the story?"
00:12,[Driver involved in a road rage incident],But I can talk to you right here.
00:13,Dan,"No, I'm asking you to step out, okay? So you can step out or I can help you out. It's your choice."
00:17,[Second law enforcement officer],"We're investigating a crime, sir."
00:18,[Driver involved in a road rage incident],"Listen, you don't have the right to put your hands on me. I'm talking to you."
00:21,Dan,Nobody's going to put their hands on you.
00:23,[Driver involved in a road rage incident],I'm I'm cooperating. I'm talking.
00:24,Dan,Okay. And I'm asking you to step out so I can talk to you.
00:27,[Driver involved in a road rage incident],I'm not going to step out of my vehicle for what?
00:28,[Second law enforcement officer],"Do you have your ID, sir?"
00:30,[Driver involved in a road rage incident],I sure do.
00:31,Dan,"Okay. Let me see it, please."
00:32,[Driver involved in a road rage incident],"Oh, let me get my video going."
00:34,Dan,"Okay, get your video going."
00:36,[Dispatcher],"253, he's in on your traffic."
00:40,[Law enforcement officer],I'll be out with 1320.
00:45,Dan,192.
00:49,Dan,02153.
00:54,[Bystander],Yeah.
00:55,[Bystander],Yeah.
00:58,Dan,So you want to tell me what's going on then?
01:07,[Driver involved in a road rage incident],I was turning
01:08,[Driver involved in a road rage incident],I was turning from coming from the beach.
01:11,Dan,192.
01:12,[Driver involved in a road rage incident],"I was getting over in the left lane. This asshole was speeding around me and cussing at me. So I come over here to McDonald's and I tell him, I said, look,"
01:20,[Dispatcher],"253, I'm 26 running in the southern for 192."
01:23,[Driver involved in a road rage incident],"You following me. So that means you need to wait to see what I'm going to do before you try to speed around me. He got in the the left far left lane, so I got in the far left lane behind him. And I came over here and I asked him, I said, what was the purpose of you cussing at me? And he started"
01:38,Dan,Okay. Just asked him.
01:41,[Driver involved in a road rage incident],So he was behind me.
01:42,Dan,"Cuz he's cussing at you, you punched him in the mouth."
01:45,[Driver involved in a road rage incident],"And I'm going to tell you why. It's because from here forward, y'all going to learn to respect what we are on earth. That shit was uncalled for. I was I had I was in front of him. So that means that wherever I go, if it's behind me, until I decide where I'm going to go."
01:54,Dan,192.
01:57,[Driver involved in a road rage incident],I was getting in the lane the left the only left lane that was open. He was trying to speed around me to get to the far left lane. That lane wasn't even open yet just to get to fucking McDonald's.
02:07,Dan,Illinois.
02:09,[Driver involved in a road rage incident],"He came beside us and he started cussing at us. I was like, I came over here to the lot and I asked him, I said, what was the purpose of you cussing at me? And I said, you going to learn to find a fucking."
02:17,Dan,Where was he standing when you punched him? Was he like at your window?
02:20,[Driver involved in a road rage incident],"He was sitting in his car right here. I walked over to the car and I asked him. I said, look, what was the purpose of you cussing at me? You were behind me and you had to wait until I moved and whatever I did, you decide what you're going to do after that. You started cussing. He said, well, you going to learn how to fucking drive. I said, well, you going to you going to learn how to respect what what I am on earth."
02:38,Dan,Yeah.
02:39,[Driver involved in a road rage incident],"And what I stand for on earth right now, y'all better stop messing with us. Y'all better stop messing with us. That guy, he got judged today. And if you knew who I was, you would know why he got judged. And if you knew the shit that he was into before this incident, this day, everything happens for a reason. Nothing is."
02:55,Dan,Somebody else with him over there?
02:57,[Driver involved in a road rage incident],I'm not 100% about that.
02:59,[Driver involved in a road rage incident],Everything happens for a reason. And y'all need to stop getting involved in people's personal business because all that does is just create more situations where people don't have to take responsibility for the shit they do.
03:11,Dan,"You understand when you make contact with somebody, it's considered a battery. So we got the call, so we have to investigate it. That's what we're here to do."
03:18,[Driver involved in a road rage incident],"Look, he verbally abused me, so that's battery."
03:21,Dan,Okay. Would you write a statement on saying what happened?
03:24,[Driver involved in a road rage incident],"I'm not listen, I'm not getting involved with y'all. We handle that ourselves. We're two grown fucking men. We don't need to be police. We don't need to be controlled. We are not we're not a preschool. Yes, we're two grown men. I handle my business like I was supposed to."
03:34,Dan,"I appreciate your your opinion on the matter, but he has a different opinion."
03:40,[Driver involved in a road rage incident],"Okay. As a man, he can have that."
03:42,[Driver involved in a road rage incident],"Okay. And whatever his opinion is, if he wants to write down stuff for y'all, then he can't. I don't have to do that. I'm not getting involved with y'all. I'm telling you what you want to know. I'm cooperating with you, but I'm not getting out of my car. I'm not writing nothing down. I all I had to do was deal with him. That was my problem. I dealt with him. And that's it."
04:03,Dan,"Are there any weapons in the vehicle? Any guns, knives, grenades, anything like that?"
04:06,[Driver involved in a road rage incident],"I am a spiritual being. I don't do no smoking, no drinking. I don't need no guns. I don't need none of that shit."
04:11,Dan,It's just a yes or no. I just want to know if you got any weapons in the car. That's all I'm asking for.
04:13,[Driver involved in a road rage incident],"No drugs, no guns, no alcohol, no nothing."
04:16,Dan,"Okay, perfect. That's all I'm asking."
04:18,Dan,You from Virginia?
04:19,[Driver involved in a road rage incident],Yes.
