start_time,speaker_label,transcript
00:00,[Officer],Hi. Sheriff's office.
00:01,"[Driver being questioned by the officer, claiming harassment from another individual.]",How are you?
00:02,[Officer],"Good. So, I'm having somebody tell me that"
00:04,"[Driver being questioned by the officer, claiming harassment from another individual.]","Yeah, he yeah, he was like harassing me, so I don't know."
00:07,[Officer],Okay. What did so what did you tell him?
00:08,"[Driver being questioned by the officer, claiming harassment from another individual.]",He was harassing me.
00:10,[Officer],"Well, how was he harassing you?"
00:11,"[Driver being questioned by the officer, claiming harassment from another individual.]","He was like, oh, you're just doing this disrespectful like, no. No."
00:16,[Officer],"Okay. What what do you mean he was harassing you? Again, all you said is all all he said is all I'm doing is disrespectful."
00:21,"[Driver being questioned by the officer, claiming harassment from another individual.]",Like he's like he's being he's being with his pitbull and everything like that. He was he was yelling at me for no reason.
00:29,[Officer],Okay. That's fine. I'll call Billy right now. Have you had anything to drink today?
00:32,"[Driver being questioned by the officer, claiming harassment from another individual.]",You didn't call both of them.
00:34,[Officer],"Hey, short heading over here. Possible one. Did you recently move?"
00:39,"[Driver being questioned by the officer, claiming harassment from another individual.]","No, I live."
00:40,[Officer],"No, no, no, I'm asking you. No, this the reason why I'm asking."
00:43,"[Driver being questioned by the officer, claiming harassment from another individual.]","No, I live there. That's why I own my car."
00:46,[Officer],Okay. So did you just pull over here because I pulled you over or?
00:50,"[Driver being questioned by the officer, claiming harassment from another individual.]","No, because you were sitting there around because that guy, he was there sitting harassing me."
00:55,[Officer],"Okay, but no, I'm just asking you're in the drive. I got you. No, no, I got you. I got I'm not trying to mess with him right now."
01:01,"[Driver being questioned by the officer, claiming harassment from another individual.]",He was down the road.
01:02,[Officer],"Hey, real quick, real quick. Hold on. Take a look at him. Listen."
01:06,"[Driver being questioned by the officer, claiming harassment from another individual.]","Cuz I was driving cuz I was trying to talk to you both of and he was like, who are you?"
01:12,[Officer],Have you ever have you ever seen him before or anything?
01:14,"[Driver being questioned by the officer, claiming harassment from another individual.]","Yeah, I've been here. They're pulling inside."
01:16,[Officer],316.
01:17,"[Driver being questioned by the officer, claiming harassment from another individual.]",Why?
01:18,"[Driver being questioned by the officer, claiming harassment from another individual.]","Dude, tell the cops right now, right now. Who's this?"
01:21,[Officer],Who's this?
01:21,"[Driver being questioned by the officer, claiming harassment from another individual.]",All right. Question for you. Do you have anything to drink today?
01:28,"[Driver being questioned by the officer, claiming harassment from another individual.]",Nope.
01:29,[Officer],Okay. I can smell the odor of alcohol coming from your breath.
01:32,"[Driver being questioned by the officer, claiming harassment from another individual.]","Okay, so I can go in his house."
01:33,[Officer],"No, you're right now you're detained."
01:35,"[Driver being questioned by the officer, claiming harassment from another individual.]","No, cuz I"
01:36,[Officer],"No, hold on. I'm telling you right now. Listen."
01:38,"[Driver being questioned by the officer, claiming harassment from another individual.]",I don't have I have no keys on me.
01:39,[Officer],"Okay, you are detained. I saw you driving the vehicle. You're detained. If you try to go in the house, I'll put you under arrest."
01:47,"[Driver being questioned by the officer, claiming harassment from another individual.]",How?
01:48,[Officer],"You are currently being detained. I'm giving you a lawful order to stay here while I have somebody do field sobriety exercises with you, okay? If you want to leave and go and try to go inside the house, at that point, you'd be impeding my investigation, going against a lawful order and therefore resisting. You'll go to jail."
02:02,[Officer],"Ma'am, stay here."
02:03,"[Driver being questioned by the officer, claiming harassment from another individual.]",You're not.
02:04,[Officer],"Ma'am, stay here."
02:05,"[Driver being questioned by the officer, claiming harassment from another individual.]",Can you not talk to me?
02:07,[Officer],"No, you're staying right here. If you want to try to go inside, I will put you in handcuffs right now and take you to jail."
02:11,"[Driver being questioned by the officer, claiming harassment from another individual.]",How are you going to put me in handcuffs?
02:12,[Officer],Cuz I'm giving you a lawful order to stay right here until we conduct field field sobriety exercises.
02:17,"[Driver being questioned by the officer, claiming harassment from another individual.]","Okay, then that's fine."
