start_time,speaker_label,transcript
00:00,[Detainee],I want a white shirt out here.
00:00,[Detainee's friend],I want a white shirt out here.
00:02,[Detainee],I want a white shirt out here.
00:03,[Detainee's friend],I want a white shirt out here.
00:04,[Detainee],I want a white shirt out here.
00:05,[Detainee's friend],I want a white shirt out here.
00:06,[Detainee],I want your sergeant out here.
00:07,[Police Officer],"Yeah, that's fine."
00:08,[Detainee],You talking to me? I don't give a fuck.
00:09,[Police Officer],What are you yelling about?
00:10,[Detainee],You know way.
00:11,[Detainee's friend],I don't try to wait. Don't touch me. Don't touch me.
00:14,[Police Officer],"Hey, roll her."
00:15,[Detainee's friend],Before I get you.
00:16,[Detainee],"Yeah, I want your sergeant out here."
00:19,[Detainee's friend],"Yeah, well, I want a white shirt out here."
00:22,[Detainee],I'm not being detained.
00:24,[Police Officer],You guys keep walking.
00:26,[Police Officer],"If you keep walking, you get detained."
00:27,[Police Officer],"If you keep walking, you get detained."
00:29,[Detainee's friend],Don't touch me. Don't touch me.
00:31,[Police Officer],Stop walking. Stop walking.
00:33,[Detainee's friend],You're not being detained.
00:35,[Police Officer],Detain her.
00:36,[Detainee's friend],Don't touch me.
00:39,[Detainee],Get off me.
00:40,[Detainee's friend],Get off me.
00:41,[Detainee],Get off me.
00:42,[Detainee's friend],Get off me.
00:44,[Detainee],Get off me.
00:45,[Detainee's friend],Get off me.
00:47,[Detainee],Get off me.
00:48,[Detainee's friend],Get off me.
00:51,[Detainee],You get the fuck off me.
00:52,[Detainee's friend],I can't breathe. I can't breathe.
00:55,[Police Officer],"Okay, well, you're gonna be on the ground real quick."
00:58,[Detainee's friend],"Like, really?"
01:00,[Police Officer],Get the back.
01:01,[Detainee's friend],You get the fuck out of me.
01:02,[Police Officer],Get the back.
01:03,[Detainee's friend],"No, you get the fuck back."
01:04,[Police Officer],Okay.
01:05,[Detainee's friend],I don't give a fuck about you.
01:06,[Police Officer],Repeat.
01:07,[Detainee's friend],"You repeat, get the fuck off me."
01:09,[Detainee's friend],You a motherfucking pig.
01:11,[Police Officer],"Okay, sweet. Thank you."
01:12,[Detainee's friend],You a pig.
01:13,[Police Officer],Sweet. What's up? What's up?
01:15,[Detainee's friend],Exactly.
01:16,[Police Officer],What the fuck you want to do? You ain't doing shit.
01:18,[Detainee's friend],Okay.
01:19,[Police Officer],Don't put your motherfucking hands on me.
01:21,[Detainee's friend],Okay.
01:22,[Detainee],I don't give a fuck.
01:24,[Detainee's friend],Y'all ain't got to put me down.
01:26,[Detainee],Y'all ain't got to put me down.
01:27,[Detainee's friend],You ain't got to put me down.
01:28,[Police Officer],Okay.
01:29,[Detainee's friend],You ain't got to put me down.
01:30,[Detainee],I don't give a fuck.
01:31,[Police Officer],Okay.
01:32,[Detainee's friend],I don't give a fuck.
01:33,[Detainee],I'm proud of you.
01:35,[Detainee's friend],You a pig.
01:37,[Detainee],You a pig.
01:38,[Detainee's friend],You a pig.
01:39,[Police Officer],Thank you.
01:41,[Detainee's friend],You a pig.
01:43,[Detainee],Y'all don't get your.
01:44,[Detainee's friend],"I promise you, Jesus Christ. You go to church every motherfucking day."
01:48,[Detainee],You a pig.
01:51,[Detainee's friend],Anybody says shit about no motherfucking.
01:54,[Police Officer],"Well, that's her."
01:56,[Detainee's friend],I don't give a fuck.
01:57,[Police Officer],Okay.
01:58,[Detainee's friend],Don't don't touch me.
02:00,[Police Officer],You're gonna stop.
02:01,[Detainee's friend],I don't give a fuck.
02:04,[Detainee's friend],I don't give a fuck.
02:05,[Detainee],I don't give a fuck.
02:06,[Detainee's friend],I don't give a fuck.
02:07,[Police Officer],Stop walking.
02:09,[Detainee's friend],Don't stop following me.
02:11,[Police Officer],Then walk.
02:12,[Detainee's friend],Stop following me.
02:13,[Detainee],I'm walking.
02:14,[Detainee's friend],Take this cuffs off. I swear to God. Take this motherfucking cuffs off. Take this cuffs off. I will beat your ass.
02:22,[Detainee],"On my dead baby, I will beat your ass. Take these cuffs off. Y'all go one-on-one with your."
02:29,[Detainee's friend],You better you better handle me nice.
02:32,[Detainee],"I got mama-in-law. Mama-in-law from Chicago. Lawyer, baby. You better handle me motherfucking nice."
02:40,[Detainee's friend],"I got mama-in-law lawyer. They go, I'm I'm I got mama-in-law. Chicago."
02:44,[Police Officer],Okay.
02:46,[Detainee's friend],Chicago lawyer.
02:48,[Police Officer],"Okay, go ahead and hop in."
02:50,[Detainee's friend],You better handle me motherfucking nice.
02:51,[Police Officer],Go ahead and hop in.
02:53,[Police Officer],Thank you.
02:54,[Police Officer],I appreciate it.
02:55,[Detainee's friend],I can't breathe. I can't breathe.
02:58,[Police Officer],Put your arms behind your back.
03:00,[Detainee's friend],I can't breathe. Put your arms behind your back.
03:02,[Detainee],I can't breathe. I can't breathe. I can't breathe.
03:07,[Police Officer],Put your arms behind your back.
03:10,[Detainee's friend],Get off me. Get off me. Get off me.
03:13,[Detainee],Stop touching me. I can't breathe. I can't breathe.
03:17,[Detainee's friend],I can't breathe. I can't breathe.
03:19,[Detainee],Get the fuck off me.
03:22,[Detainee's friend],I can't breathe.
03:24,[Detainee],Y'all sitting on her. Y'all sitting on her.
03:27,[Detainee's friend],Y'all sitting on her.
03:28,[Detainee],Y'all sitting on her.
03:31,[Detainee's friend],Y'all sitting on her.
03:32,[Detainee],Y'all sitting on her.
03:35,[Police Officer],Stop it.
03:36,[Detainee's friend],I'm about to do like this.
03:38,[Police Officer],Do not kick.
03:41,[Detainee's friend],"Yeah, I'm going to kick."
03:43,[Police Officer],Don't kick.
03:47,[Police Officer],Are you kidding me? Stop.
03:50,[Detainee's friend],No. Let's go.
03:52,[Police Officer],Now you're going for battery to PO.
03:54,[Detainee's friend],I don't know.
03:55,[Detainee],I don't know.
03:56,[Detainee's friend],You're not recording this shit.
03:57,[Police Officer],"Hey, get a hobble."
03:59,[Detainee's friend],Record this shit.
04:00,[Police Officer],"Yeah, we need a hobble."
04:01,[Detainee's friend],Move. Move. Move. Move. Move. Move. Get off me.
04:07,[Detainee],Get off me.
04:08,[Detainee's friend],"Yeah, you hate my skin."
04:11,[Detainee],Y'all hurting my arm.
04:13,[Detainee's friend],Y'all hurting my arm.
04:14,[Police Officer],Stop kicking. How about that?
04:16,[Detainee's friend],Get her up. Y'all hurting my arm.
04:19,[Detainee],Y'all hurting my arm.
