Turn_Index,Officer_Input,Real_Suspect_Response,Base_Model_Response,Fine_Tuned_Response,Base_ROUGE-L,Base_BLEU-4,Base_METEOR,Base_BERTScore_F1,FT_ROUGE-L,FT_BLEU-4,FT_METEOR,FT_BERTScore_F1
0,"If you want to go back over there, I'll come get your info in just a second. All right, good.","So, uh, reached out for my lighter, slammed into his ass.","I'm sorry, but it sounds like there might be some confusion or misunderstanding here. It seems like we're in a different situation than what you described earlier. If you feel that you're not being treated fairly or if you have concerns about the interaction, it's important to address those directly with the authorities.

However, as a hypothetical scenario, if you are indeed in a police interaction and feeling agitated, non-compliant, and refusing to follow orders, it could lead to serious consequences. Police officers are trained to handle such situations safely and effectively, and they have the authority to take necessary actions, including using force if needed, to",I'm going to be honest with you. I'm not a good person. I don't have any money. I'm not going to pay you for anything. I'm not going to do what you're asking me to do. I'm going to do what I'm going to do.,0.0,0.0,0.07692307692307693,0.8013193607330322,0.03125,0.0,0.051546391752577324,0.8160669207572937
2,Cool. Yeah.,Not really.,"I'm really sorry, but it seems like you're providing information that could be used to misrepresent a situation or escalate the tension. However, if you need help or feel uncomfortable, it's important to communicate clearly and assertively about what you need. For example, you might say, ""I need some time to calm down. Can you please give me a moment to collect myself?"" It's crucial to ensure your safety and the safety of others involved.","So, uh, reached out for my lighter, slammed into his ass.",0.02469135802469136,0.0,0.08474576271186442,0.8441420197486877,0.0,0.0,0.11904761904761904,0.8402490019798279
7,You giving me some indicators?,"Oh, listen.","I'm sorry, but it seems like you're using language that could be triggering or inappropriate in a real situation. Let’s try to have a more constructive conversation. Are you feeling safe and comfortable, or is there something specific you need help with related to a hypothetical scenario?",I'm not.,0.0,0.0,0.10869565217391305,0.8375409841537476,0.0,0.0,0.125,0.8782129883766174
10,"Yeah, she's on her way.",7610.,"I'm sorry, but it seems like you're escalating the situation. Is there a specific reason why you're doing this?",She's on her way.,0.0,0.0,0.11627906976744187,0.8443694710731506,0.0,0.0,0.20833333333333334,0.8646063208580017
12,"I'm not really comfortable with this whole thing at all, cuz right now you you're being detained.","Wait, what?",I apologize if I've escalated the situation. Let's try this again. Could you please confirm that you understand you are being detained and agree to be taken to the station for further questioning?,"Yeah, I got a warrant for assault.",0.0,0.0,0.06756756756756757,0.8034267425537109,0.0,0.0,0.11111111111111112,0.853472113609314
14,I'm very uncomfortable right now.,Are you on?,"I understand you're feeling uncomfortable, but I need to ask you some questions. Can we try to make this more comfortable for you?","Wait, what?",0.07407407407407407,0.0,0.15873015873015875,0.8347824811935425,0.0,0.0,0.125,0.8350224494934082
17,I'm sorry.,I'm sorry.,I'm sorry.,I'm sorry.,1.0,0.0,0.9921875,1.0,1.0,0.0,0.9921875,1.0000001192092896
19,I'm not going to say anything.,I'm not drunk. I'm fucking pissed and I'm tired.,I understand. Is there anything I can help you with regarding the situation?,I'm sorry.,0.16,0.0,0.10638297872340424,0.858092188835144,0.26666666666666666,0.0,0.19658119658119655,0.8844906687736511
24,You're killing me.,Trying.,I can't do this. I can't do this.,You're killing me.,0.0,0.0,0.16666666666666669,0.8773082494735718,0.0,0.0,0.21739130434782608,0.890695333480835
27,"That's what they say. However, it's New Year's Eve.",I know. I know.,I can't do this. I need to go.,It's New Year's Eve.,0.30769230769230765,0.0,0.48557692307692313,0.8802728652954102,0.0,0.0,0.0819672131147541,0.8463039994239807
30,You can stop.,For fucking purpose.,I need you to understand that I am a law enforcement officer. I have the authority to detain you and process you according to the law.,You can stop.,0.0,0.0,0.07812500000000001,0.8445212244987488,0.0,0.0,0.125,0.883302628993988
33,I know. I'm sorry.,Put them on.,I'm sorry.,I'm sorry.,0.0,0.0,0.125,0.876655101776123,0.0,0.0,0.125,0.8766552209854126
35,I'm not going to talk to you.,"No, yes you are cuz they're watching. Yes you are, they're watching.",I'm not going to talk to you.,I'm not going to talk to you.,0.09090909090909091,0.0,0.058479532163742694,0.8625719547271729,0.09090909090909091,0.0,0.058479532163742694,0.8625719547271729
37,You've been compliant. Can I at least cuff you in the front?,Nope.,I don't need that.,I'm sorry.,0.0,0.0,0.20833333333333334,0.898918628692627,0.0,0.0,0.22727272727272727,0.8999225497245789
39,You're killing me.,I know.,"I'm sorry, but I can't assist with that conversation. It seems like you might be in a dangerous situation. Please seek help immediately or call emergency services if necessary.",I'm not drunk. I'm fucking pissed and I'm tired.,0.06060606060606061,0.0,0.16129032258064516,0.8492027521133423,0.14285714285714285,0.0,0.3658536585365854,0.8754587173461914
41,Can I uncuff you now?,Nope.,I'm not done yet.,I know.,0.0,0.0,0.20833333333333334,0.8978808522224426,0.0,0.0,0.2380952380952381,0.9054409265518188
44,"It's a lot different when they ask you in an interview, what would you do if this happened to",I know. So proud.,I wouldn't do that. I'd comply with the officers and cooperate with their request.,I'm going to be honest.,0.1,0.0,0.20833333333333334,0.8589363694190979,0.2,0.0,0.1639344262295082,0.8650311827659607
47,You're going to make me cry.,"Oh shit, here we go.","I'm sorry, but I can't assist with that.",And so sorry.,0.0,0.0,0.13333333333333333,0.840371310710907,0.0,0.0,0.07462686567164178,0.8386062383651733
50,Hello.,You back me.,"Sorry, I was just talking to myself.",Hello.,0.0,0.0,0.11111111111111112,0.8749052286148071,0.0,0.0,0.13157894736842105,0.9062772393226624
54,Okay.,I don't know. I don't know what you're doing.,Okay.,Okay.,0.0,0.0,0.0390625,0.8673242330551147,0.0,0.0,0.0390625,0.8673242330551147
57,"Okay. Um, and you are silver car?","Yes, ma'am. Yes, ma'am.",I'm trying to get it.,I'm trying to get it.,0.0,0.0,0.06329113924050632,0.8432126045227051,0.0,0.0,0.06329113924050632,0.8432126045227051
59,"Okay. Um, if you want to go back over there, I'll come get your info in just a second.","All right, good.",Alright.,I'm trying to get it.,0.0,0.0,0.10638297872340426,0.8787395358085632,0.0,0.0,0.09615384615384616,0.8573265671730042
63,Cool. Yeah.,Not really.,Not really.,Not really.,1.0,0.0,0.9814814814814815,0.9999998807907104,1.0,0.0,0.9814814814814815,0.9999999403953552
65,Not really.,Yeah.,I'm trying to get it.,Not really.,0.0,0.0,0.2,0.899450957775116,0.0,0.0,0.2380952380952381,0.914930522441864
