start_time,speaker_label,transcript
00:00,[Narrator],"In November 2023, an officer was on routine patrol when he observed a particular silver vehicle in Oclair, Wisconsin. The officer knew that the female driver was on probation for drug-related activities. He was aware that she had been residing at a local hotel notorious for drug use, distribution, and other illegal activities."
00:21,[Narrator],"Eventually, the officer witnessed the female and another male entering a different hotel. He proceeded to follow them and approached the pair in the hallway."
00:31,[Police Officer],Hello. Your name's Jared?
00:33,[Police Officer],What's your name?
00:34,Jacob,My name's Chad.
00:35,[Police Officer],Chad what? I thought you're Jared. Somebody else.
00:38,[Police Officer],"Can I spell your last name, man? You don't have any warrants for anything, do you?"
00:41,[Police Officer],Who's who do you guys know here?
00:43,Jacob,"Oh, friend here."
00:44,[Police Officer],Where you guys coming from?
00:46,[Police Officer],"Oh, I'm just asking."
00:48,[Police Officer],Who stays here?
00:49,Jacob,"Oh, friend. Why are you questioning me so much?"
00:53,[Police Officer],"I'm just asking. They're not answering the door, though."
00:55,[Narrator],"The officer requested dispatch to conduct a records check on the male, revealing that he had no outstanding warrants."
01:02,[Police Officer],"Definitely. All right, man. You guys good to go. See you."
01:06,[Narrator],"Upon returning to his patrol car, he decided to conduct another records check on the male's identity. During this process, the image and description associated with the provided name did not align with the male's appearance. This led the officer to suspect that the male had given him a false identity."
01:23,[Narrator],"He then returned to the hotel parking lot and spotted the two individuals near the front door. The officer believed the male could be someone named Jared with a felony warrant, but the male denied being Jared."
01:34,[Police Officer],Jared.
01:37,[Police Officer],There you are.
01:38,Jacob,"No, I'm not."
01:39,[Police Officer],You're not Chad.
01:40,Jacob,I'm not Jared. My name is not Jared. My name is Chad.
01:43,[Police Officer],Chad what?
01:44,Jacob,Chad T-ring.
01:45,[Police Officer],You got an ID?
01:46,Jacob,I don't have an ID.
01:47,[Police Officer],Cuz I look look look lift up your head.
01:51,Jacob,I'm not. I'm not.
01:52,Jacob,I'm my name is Chad.
01:53,[Police Officer],You have an ID?
01:54,Jacob,"I don't have an ID, sir."
01:55,[Police Officer],"Come on here, I'll show you."
01:56,Jacob,"No, no."
01:57,[Police Officer],You can go. Cuz it looks like
01:58,Jacob,What did I do?
01:59,[Police Officer],"Cuz it looks like the thing, it looks like you're Jared Erikson."
02:02,Jacob,My name is not Jared Erikson.
02:04,[Police Officer],What is your name? It's not Chad.
02:05,Jacob,It's Chad.
02:06,[Police Officer],Chad what?
02:07,Jacob,T-ring.
02:07,[Police Officer],I'll show you the booking photo. It's not you.
02:09,Jacob,My name is not Jared Erikson.
02:11,[Police Officer],Then what is it? It's not Chad.
02:12,Jacob,"It's Chad, sir. This is not my name is Chad T-ring."
02:15,[Police Officer],"The Chad T-ring shows bald, 6'3"" and 180 something pounds. That's not you."
02:20,[Police Officer],Stop reaching for stuff.
02:21,Jacob,"I'm not reaching. I'm reaching my back, sir."
02:23,Jacob,I did not. You cannot you cannot put your hands on me.
02:25,[Police Officer],You're going to stay here. You lied about your name.
02:27,Jacob,"No, I did not. I did not. My name is not. Your name's not Chad."
02:29,Jacob,Don't put your hands on me.
02:31,[Police Officer],Your name's not Chad.
02:32,Jacob,"Yes, it is."
02:32,[Police Officer],"No, it's not."
02:33,Jacob,"Don't put your hands. Yes, it is. It's Chad T-ring."
02:36,[Police Officer],"No, it's not. Sir, don't put your hands on me. Why are you doing this to me?"
02:39,Jacob,My name is Chad.
02:40,[Police Officer],"No, it's not."
02:41,Jacob,"Yes, it is."
02:42,[Police Officer],"No, it's not."
02:42,Jacob,"Yes, it is."
02:43,[Police Officer],It's not Chad. You're Jared Erikson.
02:44,Jacob,"No, I'm not."
02:45,[Police Officer],Then stop stop resisting right now.
02:47,[Police Officer],Okay. Hang on. All right. We're going to figure out who you are because what you told me is not true.
02:51,[Police Officer],"You might be Chad, but you're not Chad T-ring."
02:53,Jacob,"Yes, it's T."
02:54,[Police Officer],"You're not you're not 6'3"" and you're not 185 pounds and you're not bald. She's leaving you."
02:59,Jacob,You leaving me?
03:01,[Police Officer],So you're going to tell me your real name or not?
03:02,Jacob,"My name is Chad T-ring, guy."
03:04,[Police Officer],I looked at your booking photo.
03:05,Jacob,This is illegal.
03:06,[Police Officer],"No, it's not."
03:06,Jacob,"Yes, it is."
03:07,[Police Officer],"Nope, because your name is not Chad."
03:09,Jacob,"Yes, it is, sir."
03:10,[Police Officer],"Nope, stop."
03:11,Jacob,"Will you let me go, please?"
03:13,[Police Officer],"Until we figure out your name, you got to stop."
03:15,Jacob,"Okay, dude. My name is Chad T-ring, bro."
03:18,[Police Officer],"Nope, turn turn around that way. We're going to tase you right now."
03:20,Jacob,"No. Your name's not Chad, dude."
03:22,Jacob,"Yes, it is, dude. Let me go."
03:24,[Police Officer],"No, it's not."
03:24,Jacob,"Will you let me go, dude?"
03:25,[Police Officer],I just looked up.
03:26,Jacob,Let me.
03:27,[Police Officer],"Stop, dude. Stop, stop."
03:28,Jacob,"No, dude. Come on. Stop. Stop."
03:31,[Police Officer],"Your name's not Chad, dude. Your name's not Chad."
03:39,[Police Officer],Your name's not Chad.
03:40,[Police Officer],He's fighting me. Hurry up.
03:42,Jacob,I'm not fighting you.
03:45,[Narrator],"While attempting to take him into custody, the officer observed him concealing a black box in the fender of a nearby vehicle."
03:53,[Police Officer],"I'm going to tase you, bro. You better stop now."
03:56,[Police Officer],I'm going to tase you.
