start_time,speaker_label,transcript
00:01,[Driver of the vehicle],I said don't.
00:03,[Police Officer],"23, who's that come back to?"
00:06,[Driver of the vehicle],"You better call your chief right now, you."
00:09,[Police Officer],That's not very nice.
00:11,[Driver of the vehicle],"Well, I have the right to pull you over. You were on the phone and you were doing something wrong."
00:15,[Police Officer],So you were so you were trying to pull me over?
00:18,[Driver of the vehicle],Did you not see the lights flashing?
00:20,[Police Officer],Okay. Sounds good. Get your chief down here now.
00:23,[Driver of the vehicle],He's not coming.
00:24,[Police Officer],And you're not free yet.
00:26,[Police Officer],"I'm sorry, com center, can you go ahead?"
00:28,[Driver of the vehicle],Your chief is coming down here whether or not I call them or your fat ass is bringing them down here.
00:35,[Police Officer],"And I'm not sure if I asked for another one, but I'll take one. He's refusing to identify himself."
00:40,[Driver of the vehicle],I'm asking for your supervisor.
00:43,[Police Officer],"Supervisor can come down, but not my chief."
00:46,[Driver of the vehicle],Your supervisor is going to come here.
00:47,[Police Officer],Okay.
00:48,[Driver of the vehicle],Because you have no business pulling me over.
00:50,[Police Officer],Okay.
00:51,[Police Officer],But you were trying to pull me over.
00:53,[Driver of the vehicle],I I didn't do nothing wrong. I was behind you.
00:57,[Driver of the vehicle],Can you determine from your mirrors what's safe? Because this says right here that may appear to be closer than they.
01:03,[Police Officer],"Ten four, do we have any recent contacts with it?"
01:05,[Dispatcher],Stand by. Confirm you said one's feeling to identify.
01:09,[Police Officer],"Ten four, the driver is."
01:11,[Dispatcher],Ten four.
01:12,[Driver of the vehicle],Get out of the car and scream for help.
01:15,[Narrator],The driver is talking to his own child who's also in the vehicle.
01:19,[Driver of the vehicle],Scream for help.
01:21,[Child of the driver],Wow!
01:23,[Police Officer],He's now got his child stepping out of the car to scream for help.
01:27,[Child of the driver],Help!
01:29,[Police Officer],But you don't have to do that.
01:31,[Driver of the vehicle],He's going to do it because you're.
01:32,[Child of the driver],Help!
01:35,[Child of the driver],Help!
01:37,[Child of the driver],Help!
01:39,[Child of the driver],Help!
01:40,[Child of the driver],Help!
01:41,[Police Officer],She's now requesting a supervisor now if one is available.
01:46,[Driver of the vehicle],That's not your supervisor.
01:47,[Police Officer],"Nope, he's on his way."
01:49,[Driver of the vehicle],Okay.
01:50,[Police Officer],We could just sit here and wait for him.
01:57,[Driver of the vehicle],Because you were doing something illegal. I wasn't. I was behind you.
02:01,[Police Officer],Okay.
02:02,[Driver of the vehicle],Honking my horn at you is not illegal. I'm allowed to honk my horn all I want.
02:05,[Police Officer],Okay. Sounds good.
02:07,[Driver of the vehicle],"Oh, what?"
02:10,[Child of the driver],Help!
02:12,[Child of the driver],Help!
02:13,[Child of the driver],Help!
02:15,[Child of the driver],Help!
02:17,[Child of the driver],Help!
02:18,[Police Officer],"Sir, do you want me to explain the law to you or do you want my supervisor to?"
02:22,[Driver of the vehicle],The law that I was honking my horn at you.
02:24,[Police Officer],"No, that you have to identify yourself."
02:27,[Driver of the vehicle],"Uh, only if I had committed a crime, which I have not done."
02:30,[Police Officer],I told you the reason.
02:31,[Driver of the vehicle],"No, that's not a crime. Honking the horn at you is not a crime."
02:35,[Police Officer],"You do realize that, right? You're just getting yourself more tickets."
02:38,[Driver of the vehicle],What law is honking the horn at you?
02:41,[Police Officer],Okay.
02:42,[Driver of the vehicle],"What law, you dumb fat is honking the horn at you?"
02:48,[Police Officer],So the tickets I'm going to give you is for following too closely and unlawful use of foreign are the two ones.
02:54,[Police Officer],"That's furthering my reason for the ticket. Um, and then if you don't your driver's license."
03:01,[Driver of the vehicle],"I'm waiting for your supervisor. Once I ask for your supervisor, you're supposed to go wait in your vehicle until he comes."
03:08,[Police Officer],Okay. I don't have to wait in my car and I'm not going to. I'm going to wait right here.
03:28,[Driver of the vehicle],It's going to be funny when I tell the judge that I was following behind you honking the horn because you were doing something wrong and I just had a conversation with the day officer yesterday that says that I have the right to do something.
03:38,[Police Officer],"Oh, I know who you are. Okay. Perfect. I know who he is. I'm going to go back to my squad real quick and get some tickets."
03:39,[Driver of the vehicle],"Yeah, you dumb."
03:47,[Driver of the vehicle],You can't give me tickets. I asked for your.
