start_time,speaker_label,transcript
00:00,[Police Officer],What are you doing in this neighborhood?
00:07,[Police Officer],You live in this neighborhood.
00:10,[Police Officer],And this is this is your car.
00:12,[Driver],The purpose of the neighborhood.
00:16,[Police Officer],It's not adding up.
00:18,[Driver],It's not adding up.
00:20,[Driver],What are you adding up?
00:22,[Police Officer],"Are there any firearms, illegal contraband, drugs, this vehicle I need to be made aware of?"
00:28,[Driver],"Uh, that would be a no."
00:32,[Police Officer],"Well, you hesitated."
00:34,[Driver],Because.
00:35,[Police Officer],You sure about that?
00:37,[Driver],"Yeah, I'm very sure."
00:38,[Driver],I don't know why you would even think that uh they would be any contraband. So what is it about my nice car or me that would suggest that I have those things?
00:52,[Police Officer],"Well, you're driving very suspiciously. That's why I pulled you over. The speed limit is 35 and you were doing 30. So that makes me question a lot."
01:01,[Driver],"Wow. I was like, you got slowed down to break or maybe make a turn or something. That's suspicious."
01:08,[Police Officer],I think you saw me and got nervous.
01:12,[Driver],Surprise. Really? What would make me nervous?
01:17,[Police Officer],"If you're hiding something, obviously. License and registration, please."
01:21,[Driver],"Okay, that's what I was waiting on you to ask."
01:25,[Driver],"So, this is my license."
01:29,[Driver],Probably should have asked that before you were so rude.
01:32,[Police Officer],"Man, I'll ask the questions, okay?"
01:35,[Police Officer],And this this vehicle's registered to you.
01:39,[Driver],Did I just give you those documents?
01:41,[Police Officer],"You know, you people always want to argue and make things way more difficult than they have to be. I just asked you a question. All you have to do is answer."
01:48,[Driver],You.
01:49,[Police Officer],"You know what, man, just stay right here. I'll be back."
03:05,[Police Officer],"Ma'am, here's your registration, your license."
03:14,[Police Officer],And there's your citation.
03:16,[Driver],The citation for.
03:18,[Police Officer],I just told you.
03:21,[Driver],So you can.
03:22,[Police Officer],"Reckless driving, endangering those around you. You're going too slow."
03:26,[Driver],"5 miles less than the Okay. And I uh I endangered people? Okay, by going too slow. Okay, and um you know, power doesn't come in uh in a uniform. It really comes from."
03:48,[Police Officer],"That's an interesting statement, ma'am. And what I do know is I have not searched this entire vehicle."
