start_time,speaker_label,transcript
00:00,[Bystander],Wow!
00:00,[Bystander],Wow!
00:01,[Bystander],Wow!
00:01,[Bystander],Wow!
00:02,[Bystander],Wow!
00:02,[Bystander],Wow!
00:03,[Bystander],Wow!
00:03,[Bystander],Wow!
00:04,[Bystander],Wow!
00:04,[Bystander],Wow!
00:05,[Bystander],Wow!
00:05,[Bystander],Wow!
00:06,[Bystander],Wow!
00:06,[Bystander],Wow!
00:07,[Bystander],Wow!
00:07,[Bystander],Wow!
00:08,[Bystander],Wow!
00:08,[Bystander],Wow!
00:09,[Bystander],Wow!
00:09,[Bystander],Wow!
00:10,[Bystander],Wow!
00:10,[Bystander],Wow!
00:11,[Bystander],Wow!
00:11,[Bystander],Wow!
00:13,[Police Officer],"Hey, we're"
00:14,Officer Dylan,Who's the victim?
00:15,[Smoke Shop Employee],"Oh, no."
00:16,Officer Dylan,"Okay, so you work at the smoke shop. What happened?"
00:22,[Smoke Shop Employee],"So this guy came in earlier, probably like two hours ago, just to use the bathroom. And I didn't think anything of it and he walked out. And then he came back like 20 minutes ago, went into the bathroom again, and then came out. And he was just looking around, came around the counter. And I was like, so you have to go back around. And then he started grabbing products. And he started like pushing me like out of the way and everything. And then eventually he walked back around the counter. And he started going towards the front. I was like, are you going to pay for anything and got in front of him. And he was like, what are you going to do about it? And he started pushing me out of the store. And then, um, he was like trying to hold back him getting out of the store because he was still holding product too. And then he pushed me all the way to the driver's side of the door for his truck. And he started dragging me inside with him."
01:02,Officer Dylan,"Okay, so he tried to force you to drag you inside with him?"
01:04,[Smoke Shop Employee],He was pulling me inside and then I was just like pushing myself away and then he like
01:07,Officer Dylan,How did you get away?
01:07,[Smoke Shop Employee],I was just pushing and kicking away and he just finally let go.
01:10,Officer Dylan,We got another unit. They're going to come and talk to you and get a statement. Is that injuries?
01:13,[Smoke Shop Employee],"Yeah, yeah, yeah. I've been hurt."
01:15,Officer Dylan,"Okay. I'm going to I'm going to go to his house because we have a flock hit, I think, the vehicle."
01:21,[Smoke Shop Employee],"Oh, okay."
01:22,Officer Dylan,"Um, the other unit's going to come here and grab it and interview, okay?"
01:25,[Smoke Shop Employee],Okay.
01:35,[Police Officer],Cover and top.
01:36,[Police Dispatcher],"Hold the tone, please."
01:39,[Police Officer],Fill it.
01:41,[Police Officer],County Sheriff's office. Come outside with your hands up.
01:45,[Police Dispatcher],"Hold the tone, please."
01:47,Officer Dylan,I'm going to push to the other side of my car so I can see the front door.
01:51,[Police Officer],Okay.
01:51,[Police Officer],Fill it.
01:53,[Police Officer],County Sheriff's office. Come outside with your hands up.
01:57,Officer Dylan,Did he push you onto the ground or anything?
01:59,[Smoke Shop Employee],No. I don't know. I think this was because I was like trying to hold myself from getting out and I think it dragged it against the door because he was pushing me out.
02:07,Officer Dylan,Okay.
02:08,[Police Dispatcher],"Hold the tone, please."
02:10,[Police Officer],Fill it.
02:11,[Police Officer],41.
02:12,[Police Officer],County Sheriff's office. Come outside with your hands up.
02:15,[Police Dispatcher],"Hold the tone, please."
02:16,Officer Dylan,What about a description of him?
02:18,[Smoke Shop Employee],"White guy, um, I want to say like I it was so hard to catch, but he was not old. He was like 20 to 30ish, like a in the younger category, probably under 30. Um, brown hair. I can't remember if it's curly or wavy. I believe he had a hat on."
02:35,Officer Dylan,"Hey, window."
02:36,[Police Officer],"Bottom window, bottom window."
02:37,[Police Officer],Bottom window.
02:38,[Police Officer],"Bottom window, bottom window."
02:39,[Police Officer],1012 with a female. 1012 with a female.
02:41,[Police Officer],Come outside with your hands up.
02:43,[Police Officer],We'll be there.
02:45,[Police Officer],"No, Dylan, come back to us."
02:48,[Police Officer],"Keep going, keep going."
02:52,[Police Officer],Hold behind the truck in case of hell.
02:55,Officer Dylan,"Yeah, something's not adding up."
02:57,[Police Officer],"Well, the pictures. Yeah, definitely my Walmart guy, but not him."
03:01,Officer Dylan,"No, that's not him at all."
03:02,[Police Officer],"So, sorry for the mix up."
03:05,[Police Officer],So we're working on a robbery and a hospital.
03:08,[Police Officer],"You know, we happen to be same area, same time as everything that was stolen from him. And that's what brought us here today."
03:17,Officer Dylan,"Same description, same everything."
03:20,[Police Officer],"Yeah, the description of the suspect, your driver's license video, your driver's license picture looks a lot like the subject. So, except they had had a beard. And once he came out without without a beard."
03:34,Officer Dylan,You guys have cameras on you?
03:35,[Police Officer],"He has really good cameras. So if you see us, Yeah, I just I was just trying to get both while we were here if y'all had one."
03:43,[Narrator],"The mixup caused the officers to waste quite a bit of time, and while they were busy checking the cameras, two patrolling FWC officers had an interesting update."
03:52,[Police Officer],"That's 10-4, the vehicle is not stopping. We're trying to get a 28 right now. Description is a silver, grayish Toyota Tundra. If you could get the to if you could get the county rolling this way, uh, probably they're going to need to be coming from A1A 206 area."
04:11,[Bystander],Get out!
04:12,[Bystander],Get out!
04:13,[Bystander],Get out!
04:14,[Bystander],Get out!
04:15,[Bystander],Get out!
04:15,[Bystander],Get out!
04:16,[Bystander],Get out!
04:16,[Bystander],Get out!
04:17,[Bystander],Get out!
04:17,[Bystander],Get out!
04:18,[Police Officer],"Just signal 14, the reason for the stop, it's reckless driving, past us, uh, in a bike lane, uh, and and currently traveling 65 miles per hour."
04:30,[Bystander],Wow!
04:30,[Bystander],Wow!
04:31,[Bystander],Wow!
04:31,[Bystander],Wow!
04:32,[Bystander],Wow!
04:32,[Bystander],Wow!
04:33,[Bystander],Wow!
04:33,[Bystander],Wow!
04:34,[Bystander],Wow!
04:34,[Bystander],Wow!
04:35,[Bystander],Wow!
04:35,[Bystander],Wow!
04:36,[Bystander],Wow!
04:36,[Bystander],Wow!
04:37,[Bystander],Wow!
04:37,[Bystander],Wow!
04:38,[Bystander],Wow!
04:38,[Bystander],Wow!
04:39,[Bystander],Wow!
04:39,[Bystander],Wow!
04:40,[Bystander],Wow!
04:40,[Bystander],Wow!
04:41,[Police Officer],"6341 still 10-4, direction of travel northbound, passing Port of the Tenzas, current speed 90 miles an hour."
04:50,[Bystander],Woo!
04:51,[Bystander],Woo!
04:52,[Bystander],Woo!
04:53,[Bystander],Woo!
04:54,[Bystander],Woo!
04:54,[Bystander],Woo!
04:55,[Bystander],Woo!
04:55,[Bystander],Woo!
04:56,[Bystander],Woo!
04:56,[Bystander],Woo!
04:57,[Bystander],Woo!
04:57,[Bystander],Woo!
04:58,[Bystander],Woo!
04:58,[Bystander],Woo!
04:59,[Police Officer],"Looks like he is pulling over in Port Winds, Miracle City."
05:06,[Police Officer],Get out now!
05:08,[Police Officer],Hands up! Get out!
05:10,[Police Officer],Get out now!
05:11,[Police Officer],"Driver, hands up! Out that side now!"
05:14,[Police Officer],Put your hands out the window!
05:15,[Police Officer],Out now!
05:17,[Police Officer],Out now!
05:20,[Police Officer],"Open your door with your hands up, the window now!"
05:23,[Police Officer],Now!
05:25,[Police Officer],Get down on your face now!
05:28,[Police Officer],Is there anybody else in the car?
05:31,[Police Officer],Hands on your head now!
05:34,[Police Officer],On your head now!
05:36,[Police Officer],Hands on your head!
05:38,[Police Officer],On your head!
05:39,[Police Officer],On your head!
05:41,[Police Officer],On your head!
05:43,[Police Officer],"Megan, you got you got lethal?"
05:45,[Police Officer],Get your hands on your head now!
05:47,[Police Officer],Hands on your head now!
05:49,[Police Officer],FSO has been notified.
05:52,[Police Officer],Don't move.
05:53,[Police Officer],Don't move.
05:57,[Police Officer],Hands behind your back now!
06:10,[Police Officer],"Nope, nope, nope."
06:18,[Police Officer],"What are you doing, man? What the hell are you doing?"
06:22,[Police Officer],You smoked.
06:23,[Police Officer],So you decided to run.
06:24,[Suspect],Yeah.
06:25,[Police Officer],That's a real dumb reason to run.
06:28,[Police Officer],Do you have any weapons on you?
06:29,[Suspect],No.
06:31,[Police Officer],Roll over.
06:33,[Police Officer],Get on your knees.
06:34,[Police Officer],"Hold on. Nope, we're going to do it here."
06:36,[Police Officer],Yep.
06:37,[Police Officer],Anything in your pockets?
06:39,[Police Officer],"Threw everything out the window, didn't you?"
06:41,[Police Officer],Roll him on that way.
06:42,[Police Officer],We need you to smoke.
06:44,[Police Officer],"I mean, I smell it."
06:44,[Police Officer],Yeah. Like within the last
06:46,[Police Officer],Roll him on that side.
06:52,[Police Officer],You smoke recent?
06:53,[Suspect],A little bit.
06:54,[Police Officer],How recent?
06:55,[Suspect],I don't know.
06:56,[Suspect],I don't know.
06:57,[Police Officer],10 minutes?
06:58,[Suspect],"10 minutes, yeah."
06:59,[Police Officer],"10 minutes, yeah."
07:00,[Police Officer],"I'm going to clear out that seat, Megan."
07:03,[Police Officer],You good?
07:03,[Police Officer],Yep.
07:04,[Narrator],"Apart from the attempted kidnapping, the male had shoplifted from a Walmart earlier in the day, and even the truck he was driving was stolen."
07:15,[Police Officer],Apparently.
07:16,[Police Officer],"Hey, dude."
07:18,[Police Officer],"Uh, I think I have a question."
07:20,[Police Officer],Put your foot in.
07:22,[Police Officer],Yeah.
07:23,[Police Officer],Yeah.
07:25,[Police Officer],You got your rapid ID?
07:26,[Suspect],Yeah.
07:27,[Police Officer],He's refusing to ID him for us.
07:29,[Suspect],"No, he's not the guy."
07:30,[Police Officer],"Uh, they got rapid ID. We'll see if he's out of the folder."
07:33,Officer Dylan,You'll find any vapes on him or anything?
07:36,[Police Officer],"Uh, a bunch of."
07:37,[Police Officer],"Yeah, like a container of this big."
07:40,Officer Dylan,"Well, he he robbed the vape shop. That's why we're trying to."
07:43,[Police Officer],Yeah.
07:44,Officer Dylan,"Yeah, so he robbed robbery and attempted kidnapping on top of some shoplifting from Walmart."
07:50,[Police Officer],Just right now.
07:51,[Police Officer],"Yeah, this guy."
07:51,Officer Dylan,That's why he ran.
07:52,[Police Officer],That's why.
07:53,[Suspect],What?
07:54,Officer Dylan,You guys want him?
07:55,[Police Officer],"I mean, that's all yours."
