start_time,speaker_label,transcript
00:00,[Suspect],swayed once. I haven't slurred my words and made an honest mistake. I put my car in reverse immediately and course corrected the situation.
00:07,[Police Officer],Okay. Okay.
00:10,[Police Officer],"All right, do you have any medical problems like diabetes, high blood pressure, stuff like that?"
00:16,[Suspect],"No, not those."
00:17,[Police Officer],"Okay, are you currently sick or injured?"
00:20,[Suspect],Not currently.
00:21,[Police Officer],"All right, do you take any medications or have you used any drugs tonight?"
00:24,[Suspect],"No, I've never drug in my life."
00:26,[Police Officer],I just have to ask. I don't know.
00:28,[Bystander],"She told me she's like, I was following him and but then I said, okay, but where is this guy? And she said, oh, he's he's behind me. And she's like, I got"
00:36,[Bystander],"You're following him, but he's behind you."
00:38,[Bystander],"Yeah, and she's like, well, I got in front of him because the traffic was terrible."
00:40,[Bystander],That makes no sense.
00:41,[Bystander],Exactly. There's no traffic.
00:43,[Police Officer],"As part of my investigation to help determine your level of sobriety, I'd like to check your eyes and have you do some sobriety exercises. Would you be willing to do that?"
00:50,[Suspect],My eyes are not going to work because I have like a disease with my eyes. Like disease and shit like that.
00:57,[Police Officer],"Okay, what is disease or how does that affect you?"
00:59,[Suspect],"So I know like your kind of shit because my parents are cops. It's not going to work with my eyes. But I'm telling you right now, if you ask this"
01:07,[Police Officer],How does that not work with your eyes? Explain it to me so that I understand because I don't know what.
01:11,[Suspect],"Because I have a medical condition that just makes my eyes like kind of bounce anyways. So it's really hard to gauge that. But I'm telling you right now, I haven't swayed once. I haven't slurred one word. I made an honest mistake."
01:26,[Police Officer],"Okay, I understand that."
01:27,[Suspect],I went on my first date.
01:28,[Police Officer],"Okay, I'm still going to ask you to do those sobriety exercises. Would you be willing to allow me to check your eyes and do the"
01:34,[Bystander],"She's like, she said she was deaf three times."
01:37,[Bystander],I see. She doesn't seem deaf.
01:39,[Bystander],She does not seem deaf.
01:40,[Police Officer],Would you mind removing her handcuffs?
01:43,[Police Officer],Yes. If you don't mind.
01:44,[Suspect],I haven't swayed once. I haven't slurred my words. I'm scared and I'm sorry that I went through this and I stopped my car.
01:46,[Police Officer],"Listen, I'm giving them to take her handcuffs off."
01:55,[Police Officer],"Yeah, if you can. Okay."
01:56,[Suspect],Like this is insane to me.
01:59,[Police Officer],"Yeah, she's she's going to be in our custody anyway, so don't worry about it."
02:03,[Bystander],This is either going to be a really like long investigation or like one of the shorter ones. Depends on how cooperative she's going to be.
02:13,[Police Officer],Here's what I need you to do. If you can stand with your feet together and put your hands down by your side just like this.
02:17,[Suspect],I need these heels off.
02:19,[Police Officer],"Sure, if you'd like to take your No, I don't mind if you want to take them off, that's fine."
02:23,[Suspect],Because they're really high and it's hard for me because I have two different length legs.
02:27,[Police Officer],Not a problem. Take them off.
02:29,[Bystander],"Could we have like all but two of you guys kind of evacuate the area as far as court is concerned, the more people we have watching, the more likely they are to throw it out."
02:44,[Police Officer],"Sure, keep your eye on the light over here."
02:46,[Suspect],I'm trying.
02:47,[Police Officer],All you're going to do is just follow the light with your eyes.
02:50,[Suspect],Freezing.
02:51,[Police Officer],"I well, I can't change the temperature outside, okay? I I would if I could, but I can't."
02:56,[Police Officer],"All right, let's walk over here. If you could stand right at the base of that line right there. We're going to use this croc right here in front of us, okay?"
03:03,[Suspect],I just have like 20 seconds that I'm really overwhelmed right now.
03:07,[Police Officer],"I understand you're overwhelmed, but spectrum."
03:09,[Police Officer],"Listen, I understand that, but you told me you're cold and I don't want to keep us out here any longer than we have to."
03:14,[Suspect],I'm also on the autism spectrum. So I just I just need a moment because this is really overwhelming.
03:24,[Suspect],All right.
03:25,[Police Officer],"Okay. Go ahead and put your left foot on that line. Take your right foot in front of left touching heel like so, just like that. When I say begin, you're going to take nine steps down the line, then you're going to turn around and walk nine steps back."
03:37,[Suspect],And you will take in consideration that like
