start_time,speaker_label,transcript
00:00,[Officer],conscious.
00:02,[Officer],She conscious?
00:03,[Officer],Yeah.
00:04,[Officer],"Ma'am, what's your name?"
00:07,[Officer],Huh?
00:08,Tiffany,Tiffany.
00:09,[Officer],I can't hear you.
00:10,Tiffany,Tiffany.
00:11,[Officer],Tiffany?
00:11,Tiffany,Uh-huh.
00:12,[Officer],"All right, Tiffany, I'm going to change these handcuffs out, okay? And then I'm going to roll you over and I'm going to sit you up, all right? And I'm going to pick your hands up so you can take these off. Do not struggle. Do you understand me? We're going to sit up at the same time. You understand? One, two, three."
00:29,[Officer],"Take this leg, hold it in, make that foot touch your knee. Now roll to the side. On the ground. Now, we're going to roll again this way and I'm going to assist you up on your feet, okay?"
00:37,[Officer],"Ready? One, two, three."
00:51,[Officer],She's saying she ain't feeling right either. She's breathing.
01:03,[Officer],She's alert.
01:04,[Officer],She's alert.
01:05,[Officer],You get the gun?
01:06,[Officer],"No, leave it."
01:07,[Officer],"It's somewhere in there, but they moved everything. EMS is fine. There's nobody else in the house."
01:11,[Officer],Okay.
01:12,[Officer],We did a clearing. Nobody in the basement. Nobody in the back.
01:15,[Officer],I got her in my car. She's handcuffed in my car.
01:18,[Detective],"All right. Um, detectives are on the way, so."
01:20,[Officer],"So we still got to pat her down. She's got on a dress. I don't think she has a weapon. When you get a second, we can get her back out and let you pat her down real quick."
01:27,[Officer],That's fine. She's locked in there.
01:34,[Officer],I'm going to throw all that on the couch.
01:36,[Officer],"The scene's in there, right?"
01:37,[Officer],"Yeah, the bedroom."
01:44,[Officer],What's that?
01:45,[Officer],The neighbors only know Tiffany.
01:46,[Officer],Okay.
01:47,[Officer],All right.
01:55,[Officer],What happened is that woman's on the other side.
01:57,[Officer],"Yeah, you got her in."
01:59,[Officer],"Yeah, she's in my car."
02:01,[Officer],She wasn't injured. I didn't see any injuries on her.
02:03,[Officer],Was it Peter's self?
02:04,[Officer],"Yeah, she called herself."
02:06,[Officer],I've been here before with CPS on an investigation about the kids and they wouldn't let them in.
02:11,[Officer],"It's been about a year, but yeah. That's the only time I've ever had to come back here for anything other than paperwork, subpoenas and stuff."
02:38,[Officer],"All right, EMS is going to check you out, all right? Take this off."
02:42,[Officer],I'm going to step out for a minute so they can check you out.
02:47,[Officer],You want to sit on the bed or what?
02:48,Tiffany,Yeah.
02:54,[Officer],Which way you want her feet? That way?
02:55,[Paramedic],She's right there. Hold her head up for us.
02:58,[Officer],There you go. Sit down right there.
03:02,[Officer],Turn your feet that way.
03:07,[Paramedic],"All right, are you hurt anywhere?"
03:08,[Officer],I'm going to ask you some real quick and you answer me. Do you have any weapons on you?
03:15,Tiffany,No.
03:16,[Officer],Okay.
03:17,[Officer],"When I walked up, he said, she just killed her kids, man, you better get her out of here."
03:21,[Officer],"Okay. Yep, they're they got some more emotion going on with his wife being pregnant with her too."
03:27,[Officer],"I was like, you go ahead and come with me."
03:29,[Officer],Hop in the car. I'll put the AC on half.
03:33,[Officer],"One, two, fifteen."
03:41,[Officer],I believe it's going to be a four range. We're still trying to find it. I think it's in the search.
03:47,[Narrator],"She had a lot of questions to answer. First and foremost being, why did she even try to kill them? However, she appeared unaffected by everything that had happened."
03:57,[Officer],Okay.
04:03,[Officer],Stay here with them. I'm going to get my wand.
04:06,[Officer],Okay. I'm going to do that myself.
04:08,[Officer],You got a light?
04:09,[Officer],Will this light turn on?
04:13,[Officer],"Okay. This is just the wand, okay? It's just to check you. You got anything on you? Nothing."
04:22,Tiffany,I shot myself.
04:23,[Officer],Huh?
04:24,Tiffany,I shot myself in the head.
04:26,[Officer],You what?
04:27,Tiffany,Shot myself in my ear.
04:28,[Officer],You shot yourself in the ear?
04:29,Tiffany,"Yes, sir."
04:31,[Officer],What's here?
04:32,Tiffany,"Yes, sir."
04:39,[Officer],I don't see anything.
04:47,[Officer],There's no there's nothing there.
04:49,Tiffany,Okay.
