start_time,speaker_label,transcript
00:06,[Bystander],"Hey, what's up with the tape on your car?"
00:08,[Car owner],Is there tape on my car?
00:09,[Bystander],Stop on quick.
00:11,[Bystander],Are you waiting for someone in the store?
00:12,[Car owner],"No, I've set my appearance head called, so I I don't like driving on my phone."
00:17,[Bystander],That's fine.
00:18,[Car owner],Yeah.
00:19,[Bystander],You just want to take it off quick?
00:20,[Car owner],"Yeah, that's fine."
00:22,[Car owner],Oh my gosh. I didn't even realize that. I drove. How embarrassing.
00:27,[Bystander],That's on here too. Do you want me to It's on your decals and your
00:31,[Car owner],Oh my gosh. How Jesus.
00:33,[Bystander],Is this your car?
00:34,[Car owner],It is. Yes.
00:35,[Bystander],Okay. All right.
00:36,[Car owner],Oh my gosh.
00:37,[Bystander],"Well, then now you won't get stopped, so."
00:38,[Car owner],"Jesus. That that's embarrassing, though."
00:41,[Bystander],It's all right. You have a good day.
00:42,[Car owner],"Yeah, you too."
00:43,[Bystander],"Yep, we'll see you."
00:44,[Narrator],"Security reported James was loading a cart with various items, including a chainsaw, machete, and other construction tools, totaling over $1,100. He then bypassed all points of sale and sprinted out of the store with the cart, repeatedly falling on his ass while security chased him."
01:02,[Police Officer],Stop.
01:07,James,Stop.
01:08,[Police Officer],Stop.
01:09,James,What are you doing?
01:12,[Police Officer],You're under arrest.
01:13,James,You're under arrest.
01:15,[Police Officer],You're under arrest.
01:16,James,You're under arrest.
01:17,[Police Officer],Where's that car? Hide something.
01:19,James,Let's go get that car too.
01:20,[Police Officer],Here. You go get that car.
01:22,James,Matt has. They'll be arriving together.
01:24,[Police Officer],"Yeah, yeah."
01:25,James,"41, we have one meal detained."
01:26,[Police Officer],Matt's with it.
01:28,James,"What's your name? Roll on your side, man, so you can breathe."
01:32,[Police Officer],What's your name?
01:34,James,So you can breathe. Now let's sit up.
01:37,[Police Officer],Let's get him up.
01:38,James,"Yeah. All right, sit up, put him in."
01:40,[Police Officer],You got warrants or anything or what? What?
01:42,James,"No, probation."
01:44,[Police Officer],Just probation? I thought you had a fake mustache on when you were running.
01:47,James,"Here, you want to grab him? I'm going to grab my paperwork that went flying."
01:50,[Police Officer],You got to take on you.
01:51,James,"Keep taking your breath, man."
01:52,[Police Officer],Left hand side.
01:53,James,"Okay, hold up. Take my water bottle."
01:55,[Police Officer],Is that yours?
01:56,James,Yeah. Graham ran it over.
01:57,[Police Officer],You ran it over?
01:58,James,Yeah.
02:00,James,"Yeah, he didn't last, man."
02:04,James,"Could have been a great Yeti commercial if he would have survived it, but he ran her over."
02:09,[Police Officer],You got anything in your jeans at all or no?
02:11,James,"Well, you want to sit in the car? That's right, standing."
02:13,[Police Officer],You can just keep the door open so you can catch your breath still. It's a little warmer.
02:17,James,"Can you breathe, man?"
02:18,[Police Officer],"All right, hey. Dude, it would have been a ticket. You didn't run. Whether you're on probation or not, it would have been a ticket. You get that, right?"
02:24,James,"So he had this tucked into his. I told him to oh, you got your lights on. It was obvious."
02:29,[Police Officer],I turned my siren on too.
02:30,James,She took off. I couldn't.
02:32,[Police Officer],"Yeah, I I've seen Matt was up with the vehicle and then"
02:34,James,"You can always Well, went that way and then I went down Island. I have no idea where."
02:37,[Police Officer],But you got her name there. You know who it is?
02:38,James,"Yeah, I have her ID too."
02:40,[Police Officer],"Okay, good. And I mean, we really don't have nothing on her. Maybe a party to a crime, yeah."
02:43,James,"Well, he would have got a ticket if he wouldn't have ran."
02:45,[Police Officer],"Yeah, exactly. Let me get a bag."
02:47,James,You would have had a break. If you would have just stopped. But when we got to run and chase you.
02:50,[Police Officer],I didn't even know who was chasing me. I got to the end of the.
02:53,James,"I'm sure you didn't know. Lights and sirens, man. Lights and sirens are usually a sign that the police are behind you."
02:59,[Police Officer],Is there anything else on you that we may have missed when we were searching you? Now is the time to let us know.
03:03,James,You're good to sit like that at that angle. You want to just stand up and it's easier. There's more room in that car than ours. And it's warmer. You good?
03:09,[Police Officer],Longer I sit in this straight back seat.
03:11,James,"What? I said the longer I sit in the straight up position, it starts hurting."
03:15,[Police Officer],What were they yelling over there?
03:16,James,"Oh, is that What was that lady yelling?"
03:18,[Police Officer],"Next look, Code Blue Cam episode."
03:21,James,I said probably not.
03:23,[Police Officer],"I don't know why I have to give my ID. Well, you were you were his wife."
03:26,James,You're not in trouble with me. I can always drink collar and t-shirt and everything so.
03:30,[Police Officer],"Yeah, I checked your deal photo on there. It's her."
03:32,James,Yeah. Besides like flying through the parking.
