start_time,speaker_label,transcript
00:00,[Police Officer],"Now, I understand that you I can smell that you've had a little bit to drink, okay?"
00:03,Edgar,"Yeah, a little bit."
00:04,[Police Officer],"So, I'm going to give you"
00:05,Edgar,"I've been drinking since like we got into over there at like what, 1:30 and I'm drinking till like 7:00 a.m."
00:12,[Police Officer],"Okay. So what I want you to do is I just want you to have a seat in that car. We gave you we did you a solid, right? Got you out, let you take a pee, right? You okay?"
00:18,Edgar,Thank you. I'm good.
00:20,[Police Officer],All right.
00:21,Edgar,I'm good for now.
00:21,[Narrator],"It is chilling to see Edgar act so nonchalant after taking the life of someone who wished to be friends with him. But this explains several of Edgar's mannerisms, the slurred speech, the lack of understanding, his stumbling while escaping from the casino, and most importantly, his sudden impulse to shoot Garcia."
00:42,[Narrator],"Although aggression to this extent stems from an individual's personal decisions, alcohol can often act as a catalyst. According to the NIH and WHO, alcohol is the most commonly associated drug with aggression compared to others that affect body function. This means that Garcia was murdered at the whims of a twisted drunkard, and Edgar needs to give them answers. But before an interview proceeds with him, detectives decide to interrogate his girlfriend, Savannah, in order to understand Edgar as a person, possibly giving them invaluable evidence to charge him with murder."
01:18,Nadine Jenkins,Hi Savannah.
01:20,Savannah,Hi.
01:20,Nadine Jenkins,My name is Nadine.
01:22,Savannah,Nice to meet you.
01:23,Nadine Jenkins,"Uh Jenkins is my last name. Nice to meet you as well. Um, I'm a detective with the Sheriff's office on the Nevada side. Um, I'd like to talk to you about what happened um over at the Hard Rock that kind of led up to you being contacted by El Dorado County Sheriff's office. So from the time that you arrived in Tahoe until the time you left Tahoe and tell me everything that happened from the beginning to the middle to the end in as much detail as you can."
01:48,Savannah,"So we got here, we went straight to the Hard Rock. We parked and the parking, we walked in, checked in. Um, after we checked in, we went and we parked in the parking garage and then we went to our hotel. We went up to the hotel room and then um, we went down to the casino area and we had a few drinks and then I was not feeling well, so we went back up to the room and I was puking and then he left. He said he was going to be back in 30 minutes and then I fell asleep on the bathroom floor."
02:20,Nadine Jenkins,Okay.
02:21,Savannah,"Um, and then I woke up to him calling me saying, let's go, we need to leave. And I kept asking him what happened and he just he just kept saying, um, let's go. I was getting frustrated. I was like, why? I'm like, I'm hung over. I want to sleep. What's going on? And he just kept saying over and over, let's go, let's go, let's go. And I assumed that he had like been gambling and he lost money and he was mad. Um, and so we we grabbed our stuff and we went we walked to the car and that's when we saw cops pulling up and the cops told us, they said there's someone with a gun or someone got shot and then he turned around, faced them, put his hands up and I looked at him. I was like, what are you doing?"
