start_time,speaker_label,transcript
00:00,[Police Officer],line in front of you.
00:01,Susan,Okay.
00:01,[Police Officer],Can you?
00:02,Susan,Yeah.
00:02,[Police Officer],Okay. Don't use any other line. I need you to imagine one. I want you to put your right foot on that line.
00:06,Susan,Okay.
00:07,[Police Officer],"Okay. And put your left foot, heel to toe, in front of your right, just like I'm doing."
00:11,Susan,Okay.
00:12,[Police Officer],And stand like that for me.
00:13,Susan,Okay.
00:19,[Police Officer],"Okay. So, this is called the walk and turn. You're going to take a series of nine heel to toe steps down that imaginary line. Take a series of small steps to turn around once you get down there, and then nine heel to toe steps back."
00:30,Susan,"Okay. So, nine forward."
00:31,[Police Officer],"Okay. So, it's going to look something like this. One, two, three, and so on until you get to nine. A series of small steps to turn around. And one, two, three, until you get to nine heel to toe steps back along that line."
00:46,Susan,Okay.
00:47,[Police Officer],"Okay. Look at your feet. Count your steps out loud. And once you've started, do not stop until you're finished, okay? You understand the instructions?"
00:54,Susan,"Yes, sir."
00:54,[Police Officer],Whenever you're ready.
00:55,Susan,Okay.
00:59,Susan,One.
01:01,Susan,Two.
01:01,[Police Officer],Keep your hands down by your sides.
01:03,Susan,Three.
01:07,Susan,Four.
01:09,Susan,Five.
01:11,Susan,Six.
01:14,Susan,Seven.
01:16,Susan,Eight.
01:19,Susan,Nine.
01:20,[Police Officer],And then turn around.
01:25,Susan,Right.
01:27,[Police Officer],You said you understood the instructions. Should I give them to you again?
01:30,Susan,"No, that's fine."
01:30,[Police Officer],Okay.
01:33,Susan,Right.
01:40,[Police Officer],Okay.
01:46,[Police Officer],"So, just so you're aware, this particular test is not admissible in court. It's something that just shows me a positive or negative presence and we go from there, okay?"
01:54,Susan,Okay.
01:55,[Police Officer],"Excuse me, sir. All right, I just have one more camera test to do, okay? If you'll stand in front of my car here, face that little red dot real quick."
02:02,Susan,Okay.
02:04,[Police Officer],"All right, and put your hands behind your back for me."
02:22,[Police Officer],"All right, Susan, you're being placed under arrest for driving under the influence, okay?"
02:28,[Police Officer],"All right, before we talk any further, just let rest against my bumper there. I have a card I got to read to you."
02:36,[Police Officer],22195. You can turn around and face me.
02:38,Susan,"Okay, mom."
02:41,[Police Officer],I want to check with him and see if he has somebody else that can come get the car or if he needs Does he want to go to the hospital?
02:47,Susan,"He does Well, he needs to go to the hospital still."
02:51,[Police Officer],"I mean, if you want for that."
02:55,Susan,"Yep. It's not an emergency, but he needs to go and they'll let him."
02:58,[Police Officer],"I got you. Okay. Uh, can you confirm your age for me?"
03:02,Susan,47.
03:02,[Police Officer],"47. Okay. So, this is Georgia's implied consent notice, all right? The state of Georgia has conditioned your privilege to drive upon the highways of this state upon your submission to state administered chemical tests of your blood, breath, urine, or other bodily substances for the purposes purpose of determining if you are under the influence of alcohol or drugs. If you refuse this testing, your Georgia driver's license or privilege to drive on the highways of this state will be suspended for a minimum period of one year. Your refusal to submit to blood or urine testing may be offered into evidence against you in trial. Sorry, at trial. If you submit to testing and the results indicate an alcohol concentration of 0.08 grams or more, your Georgia driver's license or privilege to drive on the highways of this state may be suspended for a minimum period of one year. After first submitting to the requested state test, you are entitled to additional chemical tests of your blood, breath, urine, or other bodily substances at your own expense and from qualified personnel of your own choosing. Will you submit to the state administered chemical test of your blood?"
03:57,Susan,Yes.
03:58,[Police Officer],Okay.
04:03,[Police Officer],"220 implied consent read and consent. Can you have 1080 me to headquarters, please?"
04:07,Susan,Is it all right to ask what the percentage was and what
04:11,[Police Officer],On what?
04:12,Susan,"Well, on the breathalyzer."
04:13,[Police Officer],"On that one right there? So, that one doesn't matter in court, but it was positive."
04:16,Susan,Okay.
04:17,[Police Officer],Okay.
04:18,Susan,"So, it doesn't matter if it's"
04:21,Susan,"What the percentage is, it's just if it's positive?"
04:24,[Police Officer],"So, since it's not admissible in court, that's all that really matters on that one as to help determine just how impaired you are. Um, but, um, you were over the legal limit on that particular test."
04:36,[Police Officer],"Okay. So, let's go back this way. And do you have anything on your person?"
04:39,Susan,"Um, no."
04:40,[Police Officer],"Lighter, cigarettes, wallet, anything?"
04:41,Susan,I think I do have lighter and cigarettes in my right pocket.
04:43,[Police Officer],Right pocket?
04:44,Susan,I believe I do.
04:45,[Police Officer],Okay.
04:47,[Police Officer],"So, can I leave those with your husband because they you can't have them in the jail."
04:52,Susan,That's fine.
04:52,[Police Officer],Okay. Carol.
04:54,Susan,I really
04:56,[Police Officer],Those going to stay with him.
04:58,Susan,I really hope that they do take him to the hospital because it took me a long time to try to get him to go to the hospital.
05:04,[Police Officer],Is this for the heart stuff or what?
05:06,Susan,"Yeah, it's for the congestive heart failure."
05:08,[Police Officer],"Gotcha. Uh, are you wearing a bra?"
05:10,Susan,"Um, no."
05:11,[Police Officer],No. Do you have anything concealed on your person anywhere in particular or anything illegal or contraband?
05:17,Susan,"No, sir, I do not."
05:18,[Police Officer],"Okay. So, I'm going to let them check at the jail since you're a female. Uh, and you're not wearing a bra. So, that doesn't really show me that you could be hiding a whole lot. Um, so, we're going to go ahead and go get in the back of the car here. I'm going to keep a hold of your arm there that way you don't fall."
05:31,Susan,Okay.
05:31,[Police Officer],Because you can't catch yourself in handcuffs.
05:42,Susan,"Oh, this will be hard with him."
