start_time,speaker_label,transcript
00:00,Deputy Hart,She denied.
00:01,Kenneth,Both my parents.
00:02,[Bystander],"Oh, she run away again."
00:03,[Bystander],He thinks that he's.
00:04,Deputy Hart,"Whether he thinks he's 25, mentally he's not even 13."
00:07,[Bystander],"Every time he told me you I popped him in his mouth. I even threatened to call the police. He said, I don't give a you hand the police. And he refuses to shower. He don't want to do nothing but eat. He keeps in his bedroom."
00:18,Deputy Hart,You remember me? Come have a talk with me. You're not in any trouble. Just sit down. Give you a place to sit besides on the ground. Tell me what happened.
00:25,Kenneth,"I mean, you know, I have to many times."
00:27,Deputy Hart,Let me see. Where who she denied?
00:29,Kenneth,Both my parents.
00:30,Deputy Hart,"Your mom and your dad, where did he at?"
00:32,Kenneth,"I live. I think I sprayed my arm on that road and I got my leg, I think."
00:37,Deputy Hart,"Hey, can we use your ambulance real quick?"
00:38,Kenneth,"Yeah. Yeah. Hey, let's get let's get night back to the ambulance real quick. So I can look at you real good."
00:43,Deputy Hart,"I'm going to stay with you this entire time, okay? But I'm I need to look at the marks and it's going to be much easier in the back of the ambulance than it is the car."
00:51,Kenneth,No.
00:52,Deputy Hart,No what?
00:52,Kenneth,They heal over time.
00:54,Deputy Hart,"Okay, let's jump in the back of this ambulance so I can look at you, okay? If you drive down, you'll see everybody. Just have a seat real quick."
01:00,Deputy Hewitt,"You can have a seat right there on that bench, baby. This is just for him, okay?"
01:03,Deputy Hart,All right. This is just so I can see. Where did you today? Let me see. Open your mouth for me. Okay.
01:09,Kenneth,My dad started choking me.
01:10,Deputy Hart,Your dad started choking you? And you said you think this happened on the road.
01:15,Kenneth,On the road.
01:16,Deputy Hart,On the road?
01:17,[Bystander],"Oh, she run away again."
01:19,Deputy Hart,Is that why they started you?
01:21,Deputy Hart,"How do you you in the mouth? Did it was a closed fist, an open fist?"
01:25,Kenneth,I think I think I kicked.
01:27,Deputy Hart,You think he kicked you? Is that where that mark's from?
01:30,Kenneth,Yeah.
01:31,Deputy Hart,"All right, you want to hang out right here for me for a few minutes?"
01:34,Kenneth,No.
01:34,Deputy Hart,Where do you want to hang out? You want to sit in the back of my patrol car?
01:37,Kenneth,Outside.
01:39,Deputy Hart,Okay. You can come out and have a seat right here.
01:41,Deputy Hewitt,We can't check your vitals and all that stuff. Make sure you're.
