start_time,speaker_label,transcript
00:00,[Officer],How do you know we're not finding out if they are the violators and we're going to find out what to do? That's what you're jumping to conclusion. Let us do our investigation.
00:07,Elijah's Mother,You are treating me like I'm the victim.
00:09,[Officer],You're not.
00:10,Elijah's Mother,You are treating me like I'm the problem here.
00:12,[Officer],"Hey, you're the victim."
00:12,Elijah's Mother,"Why is he not? Why is he not treating me like I'm the fucking problem? I got my son in the back seat, six years old. What the fuck do you think we doing? They lucky they, yeah, with my team in the back seat."
00:23,[Officer],He's asking them questions.
00:25,Elijah's Mother,I don't have them questions myself.
00:27,[Officer],"If they instigated, who's the victim?"
00:28,Elijah's Mother,"They ain't going to tell you they instigated or not. Hello, how long have you been a cop?"
00:33,[Officer],25 years.
00:34,Elijah's Mother,"All right, so they going to tell you they instigated or not? Are they or not?"
00:36,[Officer],You don't know that.
00:37,Elijah's Mother,"No, they ain't. You fucking dumb. You think you've been 25 years with a cop, you're a fucking idiot."
00:42,Elijah's Mother,It might be entertained or not.
00:44,[Officer],You're not free to go.
00:46,[Officer],You're not free to go.
00:47,Elijah's Mother,I might be detained.
00:48,[Officer],He is detaining you. You're not free to go.
00:50,Elijah's Mother,Am I being detained?
00:52,[Officer],"Yes, you are."
00:53,Elijah's Mother,Okay.
00:54,[Officer],"He's conducting an investigation. No, you're not under arrest."
00:56,[Officer],Here he comes.
00:57,[Officer],Get out of the road.
00:58,Elijah's Mother,We hard. We hard.
01:00,[Officer],Get over here.
01:01,Elijah's Mother,You better let me go.
01:04,[Officer],"He, here he comes right here to let you go."
01:08,[Officer],Don't pull off.
01:09,Elijah's Mother,You're not.
01:11,[Officer],He's conducting the investigation.
01:13,[Officer],"Can you step out of the vehicle? Let me, yeah, let me talk to you."
01:16,Elijah's Mother,"For what? You don't even know who's no, no, no, no, no, no."
01:16,[Officer],For what?
01:19,[Officer],You're going to talk to you.
01:21,[Officer],Cuz I wanted to talk to you away from her so I can talk.
01:24,Elijah's Mother,I told you what happened already. You're not under.
01:26,Elijah's Mother,He don't make to step out of the vehicle to tell you what happened.
01:30,Elijah's Mother,"No, bro. Shit."
01:32,[Officer],You're free.
01:33,Elijah's Mother,"I swear to God, I'm going to snap on these niggas."
01:36,Elijah's Mother,He just not need to step out of the vehicle to tell you what happened.
01:38,[Officer],Would you shut up?
01:39,Elijah's Mother,"No, I do what the fuck I want. No, I won't."
01:42,[Officer],"I want, I just need to talk to you."
01:44,Elijah's Mother,"No, no. That ain't no talking to you."
01:46,[Officer],That's the only way I can talk to you.
01:47,Elijah's Mother,"No, he's going to tell me the same thing that I told you."
01:50,[Officer],"I don't understand. We all have the same story, so what's the difference?"
01:53,Elijah's Mother,Please.
01:56,Elijah's Mother,You're ugly as fuck.
01:57,[Officer],"Who, you ugly."
01:58,Elijah's Mother,"Okay, so the police. Am I being detained?"
02:02,[Officer],"Yes, you're being detained."
02:03,Elijah's Mother,"Oh, for what?"
02:04,[Officer],You know what?
02:05,Elijah's Mother,"No, I don't. So please tell me because if not, I'm pulling off. Please tell me."
02:08,[Officer],"You're not. Pulling off, you're going to jail."
02:10,Elijah's Mother,What am I being detained for? Please tell me.
02:12,[Officer],For fleeing and eluding.
02:14,Elijah's Mother,Who the who and what?
02:16,Elijah's Mother,"No, you can't touch my phone."
02:18,Elijah's Mother,Who the who and what?
02:19,[Officer],Would you step out of the car?
02:20,Elijah's Mother,"No, no, no, no, no, no."
02:22,[Officer],Her.
02:23,[Officer],I'm trying to avoid taking anybody to jail.
02:25,Elijah's Mother,Good night. Please move your hand off my shit. Please move your hand off my shit. This ain't your car.
02:30,Elijah's Mother,Move your hand.
02:31,[Officer],"Ma'am, you're, you're, you're about to go to jail."
02:32,Elijah's Mother,This ain't your shit.
02:34,Elijah's Mother,You're about to.
02:35,Elijah's Mother,Please move your hand off my dick. I am not being detained. Good night. Good night.
02:39,Elijah's Mother,Am I being detained?
02:40,[Officer],You're being detained.
02:41,Elijah's Mother,Am I being detained?
02:42,[Officer],You're being detained.
02:43,Elijah's Mother,Am I being detained?
02:45,[Officer],"Yes, I've told you that."
02:46,Elijah's Mother,For what? You have to be told what for.
02:47,[Officer],You're being detained.
02:50,[Officer],You'll find out when you get to me.
02:51,Elijah's Mother,"No, tell me now. You ain't got hands hard to hold me on."
03:03,[Officer],Get on the ground.
03:05,Elijah's Mother,"Fuck you. Fuck you. My kid in the car. Elijah, get out, get out, get out, get out."
03:12,Elijah's Mother,You was pushing with my kid in the car. You was pushing. You like my ass home. That bitch fat. That bitch fat. That bitch is fat. You like your home.
03:23,Elijah's Mother,Six of the videos if you want to buy them.
03:26,Elijah's Mother,"That's what I thought. He's gone. He ran ass. Good luck, honey. Can I call somebody for my son? He's gone. He gone, boy. He gone. Good luck."
03:37,Elijah's Mother,Get my phone out of the front and hand it to me. Don't worry about these cops. Give me my phone now.
03:44,[Officer],Run across the cow field.
03:50,[Officer],Police.
03:53,Elijah's Mother,This shit hurts. Y'all still have not found this motherfucker. I'm about to go back there and help you find him so I can go.
04:02,Elijah's Mother,"He does not have kids. This is not fair. I have two children to be home too, bro. He has nothing."
04:10,Elijah's Mother,"I don't just run. I've never ran from police. I have never ran from a police in my fucking life ever, never. I want y'all to understand, bro. I am not the fucking."
