start_time,speaker_label,transcript
00:00,[Interviewer],"in the top, okay? You want to sit down?"
00:04,[Interviewer],"Tell me about um, mommy or daddy or somebody else."
00:08,[Child],My my dad is bad now.
00:11,[Interviewer],Your dad is bad now? Tell me about dad being bad now.
00:14,[Interviewer],"What what happened at the house with your wife, with Jasmine?"
00:17,Julian Valenzuela,I remember.
00:19,Julian Valenzuela,AK-47.
00:24,[Interviewer],AK-47?
00:26,[Interviewer],Okay.
00:27,[Interviewer],What did you do?
00:28,Julian Valenzuela,I'm sorry.
00:29,[Interviewer],Yeah. What did you do?
00:31,Julian Valenzuela,I don't find it.
00:34,Julian Valenzuela,I was three times.
00:41,[Interviewer],Okay.
00:49,[Narrator],"On March 4th, 2022, a mother's worst nightmare occurred for Jasmine Serena."
00:58,[Narrator],A man armed with a gun entered her home. He would notice four children watching television in their living room.
01:07,[Narrator],"They would freeze up and look at him in horror, unable to do anything. But the man would pass by."
01:16,[Narrator],"He wasn't looking to harm Jasmine's children. Instead, he made his way over to the kitchen where Jasmine was standing and shot."
01:31,[Narrator],"Three bullets struck Jasmine, and she was left in critical condition, lying helplessly in her kitchen. The suspect left the scene in a hurry, thinking she was done for."
01:45,[Narrator],"But unfortunately for him, Jasmine managed to survive. Despite her critical condition, she managed to call 911 and ask for help. Officer Baker was the first cop to arrive at the scene, seeing all the kids surrounding their mother, crying for help. She was immediately transferred to the El Paso Hospital by helicopter. Now it's a race against time for doctors, with each passing second, her chances of survival rapidly decrease."
02:14,[Narrator],"And for the detectives, they needed to find their suspect fast before he struck another innocent victim. Right now, they needed any clue that could lead them to the possible killer. So multiple officers would go back to the crime scene to take a closer look at exactly what just went down."
02:32,Officer Baker,"Okay, so I have bullets or casings, excuse me. One there, one on the table. I have one where she was sitting or where she was standing. Yeah, because you can see there's impacts right there and right there. And there's another casing back over there on the floor. All right, guy here, she's sitting facing me with her legs out. She had a strike here, here, and what looks like a through and through here with her shirt up. She had nothing that went through completely on the back. No, she's distended. It it's all internal right here."
03:06,[Investigator],"Oh, so the rounds are in here? I thought it was a round like"
03:11,[Narrator],"According to the police report, the victim, Jasmine Serena, took two bullets to her abdomen and the third bullet landed right in her leg. Despite her critical condition, she gathered the little energy she had and told Officer Baker the attacker's name."
03:28,Jasmine Serena,"Um, she said that it was Julian that did it."
03:32,Jasmine Serena,Valenzuela.
03:34,[Narrator],"That was the name of her own husband, Julian Valenzuela, and the father of four children who just saw their dad shoot their mom. However, this wasn't the only thing she was able to tell the cops. Jasmine also mentioned the car Julian drove to the house before shooting, a red sedan."
