start_time,speaker_label,transcript
00:00,Tiambra,No. I love you.
00:02,Jason,T.
00:03,Tiambra,Be quiet. I love you.
00:05,Jason,"No, they said goofy, bro."
00:08,Tiambra,We finna be out in a few hours.
00:10,Jason,"I know that's what they said, bro."
00:12,Jason,"He said, you hear me?"
00:13,Tiambra,What?
00:14,Jason,He said money cases. He said money cases we get right out.
00:18,Tiambra,"Yeah, it's not."
00:19,Jason,Huh?
00:20,Tiambra,It's not nothing. I got three charges.
00:22,Jason,"Why? Cuz you got that resistant, bro."
00:25,Tiambra,them.
00:26,Jason,"No, bro. He said you want to have extensive charges. He said, you hear me?"
00:30,Tiambra,Yeah.
00:31,Jason,"He said normally this case that we got, he talking about you for the part or knowing assumption, you hear me?"
00:37,Tiambra,Yeah.
00:38,Jason,"I don't know what he talking about, you hear me?"
00:39,Tiambra,Yeah.
00:40,Jason,Then he said
00:41,Tiambra,I got theft.
00:42,Jason,"Yeah, right. He said this time determination."
00:46,Tiambra,"Yeah, I got theft."
00:47,Jason,You hear me?
00:48,Tiambra,Yeah.
00:49,Jason,Why? Cuz they trying to say you know.
00:51,Tiambra,Theft over 500.
00:52,Jason,"Oh, you should have been you finna get out."
00:55,Jason,You hear me?
00:55,Tiambra,Yeah.
00:57,Tiambra,I love you.
00:58,Jason,"I love you too, bro. You hear me?"
00:59,Tiambra,Yeah.
01:00,Jason,"Yeah, they said goofy, bro."
01:02,Tiambra,We got to leave for you. I don't want to be in here no more.
01:05,Jason,Huh?
01:05,Tiambra,I don't want to be out here no more.
01:08,Jason,"Hey, you hear me?"
01:09,Tiambra,What?
01:09,Jason,I'm trying to see somebody who supposed to get fingerprinted.
01:12,Tiambra,I'm ready. T.
01:13,Jason,What?
01:15,Tiambra,"I love you. Just leave me alone, it's okay."
01:18,Jason,"I said, bro."
01:19,Tiambra,I don't care about none of this. My name good. I I never been to jail before.
01:23,Jason,Huh?
01:24,Tiambra,I said I don't care about any of this. My name is good. I never been to jail before.
01:28,Jason,"Yeah, I know."
01:29,Tiambra,So this new I don't have my new fingerprints. I never been to jail.
01:33,Jason,What?
01:34,Tiambra,What?
01:34,Jason,They got that car ticket and all that on my name. All that public ain't nobody get it unless they go get it.
01:40,Jason,You hear me?
01:40,Tiambra,"Yeah, I told them that was my car."
01:42,Tiambra,I love you too.
01:44,Jason,I love you.
01:45,Tiambra,I love you.
01:48,Tiambra,I love you so much.
01:58,Jason,"I love you too, babe."
01:59,Tiambra,I love you so much.
02:03,Tiambra,"God, please protect me. Protect me. I want eyes around me. In Jesus name. Amen."
02:10,Tiambra,This officer going to try to tell me what the.
02:14,Tiambra,"He going to try to tell me what the my name is. How you going to tell me what the my name is, bro?"
02:19,Tiambra,Yeah.
02:20,Jason,You a skinny motherfucker?
02:21,Tiambra,Yeah.
02:22,Jason,What do you say?
02:23,Tiambra,"He talking about um, what the you say? What's your middle initial?"
02:28,Tiambra,He asked me what's my middle name. I told him my middle name. He going to talk about from that's not coming up. I never been to jail.
02:36,Tiambra,So he had to look it up on something else.
02:38,Jason,Where you going?
02:41,Tiambra,Where you going?
02:43,Tiambra,"I know, I'm tired of this. They gave me three charges. Three charges."
02:47,Jason,Huh?
02:48,Tiambra,They gave me three charges.
02:50,Jason,He said what?
02:51,Tiambra,They gave me three charges.
